"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00053973","2011","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        21"," ","         2"," ","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053973","2012","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","","","   1520.9","","    1520.9","W","        67","W","        44","W","         8","W","        0","","         0","W","         0","W","        20","W","         0","W","       288","W","       106","W","        84"," ","        13"," ","        52"," ","   -2.1","W,1230,+","     0"," ,W,1231,+","     0"," ,W,1231,+","  64.3"," ,W,0320, ","   40.0","W,0810, ","-1.0","W,1113","","","-1.0","W,0212","","","","","","","","","","","    739.8"," ,W","        0"," ,W","     20.46","W","     26.65","W","     14.26","W","","","",""
"USW00053973","2013","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","","","   1607.6","","    1607.6","W","        80","W","        48","W","        11","W","        0","","         0","W","         0","W","        30","W","         1","W","       272","W","       115","W","        89"," ","        10"," ","        38"," ","   -3.2","W,1224,+","     0"," ,W,1231,+","     0"," ,W,1231,+","  77.2"," ,W,1013, ","   40.6","W,0629, ","-1.0","W,1113","-2.7","W,1210","-1.6","W,0326","","","","","","","     914.6","6","     914.6","W","    848.8"," ,W","        0"," ,W","     19.64","W","     26.01","W","     13.28","W","","","",""
"USW00053973","2014","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","       2.9","W","","","","","        78","W","        36","W","         9","W","        0","","         0","W","","","","","","","","","","","       112"," ","         9"," ","        43"," ","","","     0"," ,W,1231,+","     0"," ,W,1231,+","  77.5"," ,W,0912, ","","","","","","","","","","","","","","","    1265.6","6","    1265.6"," ","    659.4"," ,W","        0"," ,W","","","","","","","       320","W","      13.4","W"
"USW00053973","2015","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","       2.5","W","   1594.9","","    1594.9","W","       100","W","        47","W","        13","W","        0","","         0","W","         0","W","        22","W","         0","W","       268","W","       113","W","       120"," ","        12"," ","        53"," ","   -6.6","W,0108, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  95.0"," ,W,1024, ","   40.6","W,0811, ","-1.0","W,1122","","","-1.6","W,0307","-5.5","W,0306","-5.5","W,0306","","","","","","","   1054.6"," ,W","        0"," ,W","     19.83","W","     25.76","W","     13.91","W","       330","W","      14.3","W"
"USW00053973","2016","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","       104"," ","        19"," ","        56"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053973","2017","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","       2.7","W","","","","","        66","W","        45","W","         6","W","        0","","         0","W","         0","W","        16","W","","","","","","","        90"," ","         9"," ","        42"," ","   -8.8","W,0107, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  93.7"," ,W,0827, ","","","0.0","W,1028","-3.2","W,1209","0.0","W,0216","-8.2","W,0108","-8.2","W,0108","-8.2","W,0108","","","","","    781.9"," ,W","        0"," ,W","","","","","     14.45","W","       290","W","      13.0","W"
"USW00053973","2018","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","       2.7","W","","","","","        94","W","        56","W","         7","W","        0","","","","","","","","","","","","","","        73"," ","         8"," ","        54"," ","","","     0"," ,W,1231,+","","","  68.6"," ,W,1207, ","","","","","","","","","","","","","","","","","","","    847.0"," ,W","","","","","","","","","       310","W","      13.0","W"
"USW00053973","2019","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","       2.7","W","   1672.4","","    1672.4","W","        77","W","        40","W","        12","W","        0","","","","         0","W","        29","W","         0","W","       256","W","       123","W","        94"," ","        23"," ","        46"," ","   -4.9","W,0306,+","     0"," ,W,1231,+","","","  91.2"," ,W,0503, ","   38.9","W,0907,+","0.0","W,1031","-3.8","W,1113","-4.9","W,0306","-4.9","W,0306","-4.9","W,0306","","","","","","","    826.2"," ,W","","","     19.85","W","     25.92","W","     13.78","W","       310","W","      17.9","W"
"USW00053973","2020","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","       2.6","W","   1716.0","","    1716.0","W","","","","","","","","","","","         0","W","        24","W","         0","W","       288","W","       112","W","        98"," ","        24"," ","        35"," ","   -4.3","W,0227, ","","","","","","","   40.0","W,0828,+","-1.6","W,1130","-2.7","W,1201","-0.5","W,0228","-4.3","W,0227","","","","","     916.7","7","     916.7","W","","","","","     20.71","W","     27.05","W","     14.37","W","       360","W","      21.0","W"
"USW00053973","2021","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","       1.7","W","","","","","","","","","","","","","","","","","","","","","","","","","       102"," ","        12"," ","        35"," ","","","","","","","","","","","","","","","","","","","","","","","     999.2","2","     999.2","W","","","","","","","","","","","","","",""
"USW00053973","2022","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","       2.7","W","","","","","        57","W","        45","W","         4","W","","","","","","","","","","","","","","","        53"," ","        11"," ","        24"," ","","","","","","","  44.5"," ,W,0521, ","","","","","","","","","","","","","","","","","","","    606.0"," ,W","","","","","","","","","       330","W","      13.0","W"
"USW00053973","2023","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","       2.5","W","   2010.0","","    2010.0","W","        68","W","        36","W","        10","W","","","","","         0","W","        20","W","         0","W","       286","W","       127","W","       103"," ","        13"," ","        27"," ","   -2.1","W,1211,+","","","","","  90.9"," ,W,0420, ","   43.9","W,0827, ","0.0","W,1127","","","-2.1","W,0218","","","","","","","     856.6","6","     856.6","W","    771.5"," ,W","","","     21.60","W","     27.92","W","     15.28","W","       310","W","      19.2","W"
"USW00053973","2024","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","","","","","","","        77","W","        49","W","        12","W","","","","","","","","","","","","","","","        97"," ","        16"," ","        30"," ","","","","","","","  63.8"," ,W,0122, ","","","","","","","","","","","","","","","     842.8","8","     842.8","D","    906.7"," ,W","","","","","","","","","","","",""
"USW00053973","2025","30.87194","-96.62222","86.9","HEARNE MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        43"," ","         7"," ","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
