"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00315796","1917","35.65","-82.31667","793.1","MONTREAT, NC US","    288.9","","     288.9","6","","","","","","","","","         3","6","       101","6","        13","6","       166","6","         4","6","         1"," ","  -20.0","6,0205, ","","","","","   34.4","6,0729, ","-2.8","6,1013","-2.8","6,1013","-4.4","6,1024","-7.2","6,1031","-8.9","6,1125","-0.6","6,0506","-2.2","6,0415","-4.4","6,0410","-8.3","6,0319","-11.1","6,0306","","","","","","","","","     11.79","6","     18.63","6","      4.95","6"
"USC00315796","1918","35.65","-82.31667","793.1","MONTREAT, NC US","    245.3","","     245.3","6","       152","6","       101","6","        18","6","         3","6","         1","6","        87","6","        10","6","       174","6","         5","6","","","  -18.3","6,0113, ","   173"," ,6,0111, "," 152.4"," ,6,1025, ","   34.4","6,0806, ","-1.1","6,0922","-3.9","6,1102","-4.4","6,1113","-6.7","6,1226","-10.6","6,1227","-2.2","6,0502","-2.2","6,0502","-5.0","6,0316","-7.2","6,0223","-14.4","6,0205","    2624.4","4","    2624.4","6","   1681.4"," ,6","      283"," ,6","     12.50","6","     18.89","6","      6.11","6"
"USC00315796","1919","35.65","-82.31667","793.1","MONTREAT, NC US","    376.8","","     376.8","6","       128","6","        92","6","        17","6","","","         1","6","        99","6","         2","6","       189","6","         4","6","","","  -17.8","6,0104, ","","","  39.6"," ,6,0625, ","   33.3","6,0713, ","0.0","6,1106","-6.7","6,1114","-6.7","6,1114","-6.7","6,1114","-12.2","6,1215","-1.7","6,0427","-3.3","6,0426","-5.6","6,0402","-7.8","6,0219","-10.6","6,0217","    2335.1","1","    2335.1","6","   1217.4"," ,6","","","     13.37","6","     20.20","6","      6.54","6"
"USC00315796","1920","35.65","-82.31667","793.1","MONTREAT, NC US","    337.5","","     337.5","6","       142","6","        98","6","        16","6","","","         1","6","       118","6","         5","6","       184","6","         6","6","","","  -18.9","6,0105, ","","","  77.2"," ,6,0402, ","   33.9","6,0724, ","-0.6","6,1002","-5.6","6,1030","-5.6","6,1030","-9.4","6,1113","-9.4","6,1113","-2.8","6,0415","-2.8","6,0415","-7.8","6,0414","-7.8","6,0414","-9.4","6,0309","    2296.1","1","    2296.1","6","   1535.6"," ,6","","","     12.40","6","     19.41","6","      5.40","6"
"USC00315796","1921","35.65","-82.31667","793.1","MONTREAT, NC US","    454.6","","     454.6","6","       147","6","        95","6","        13","6","","","         0","6","        97","6","         2","6","       199","6","        18","6","         1"," ","   -9.4","6,0119, ","","","  74.4"," ,6,0416, ","   34.4","6,0614, ","0.0","6,1006","-3.9","6,1009","-4.4","6,1013","-7.2","6,1113","-8.9","6,1230","-0.6","6,0502","-5.0","6,0412","-5.0","6,0412","-6.7","6,0303","-8.9","6,0128","    2168.6","6","    2168.6","6","   1350.8"," ,6","","","     13.68","6","     20.90","6","      6.45","6"
"USC00315796","1922","35.65","-82.31667","793.1","MONTREAT, NC US","","","","","       138","6","        95","6","        15","6","         2","6","         0","6","        97","6","","","","","","","","","  -13.9","6,0114,+","   102"," ,6,0207, ","  50.8"," ,6,0121, ","","","-1.7","6,1013","-2.2","6,1025","-7.8","6,1121","-7.8","6,1121","-10.6","6,1126","-1.1","6,0430","-3.3","6,0423","-4.4","6,0323","-13.3","6,0217","-13.3","6,0217","    2263.4","4","    2263.4","6","   1299.3"," ,6","      209"," ,6","","","","","      6.01","6"
"USC00315796","1923","35.65","-82.31667","793.1","MONTREAT, NC US","    311.2","","     311.2","6","       144","6","       101","6","        15","6","         2","6","         0","6","       101","6","         3","6","       170","6","         1","6","","","  -15.0","6,0218, ","    56"," ,6,0124, ","  66.5"," ,6,0528, ","   32.2","6,0715, ","0.0","6,1021","-5.6","6,1101","-5.6","6,1101","-6.7","6,1109","","","-1.1","6,0510","-2.8","6,0410","-7.2","6,0402","-7.2","6,0402","-11.1","6,0401","","","","","   1470.5"," ,6","      122"," ,6","     12.56","6","     19.21","6","      5.90","6"
"USC00315796","1924","35.65","-82.31667","793.1","MONTREAT, NC US","    366.5","","     366.5","6","       119","6","        90","6","        13","6","","","         1","6","       113","6","         8","6","       182","6","        17","6","","","  -21.7","6,0106, ","","","  54.6"," ,6,0928, ","   35.6","6,0620, ","-2.2","6,1001","-2.2","6,1001","-4.4","6,1023","-7.8","6,1126","-12.2","6,1202","-1.7","6,0423","-5.6","6,0403","-5.6","6,0403","-7.2","6,0402","-12.2","6,0222","    2589.9","9","    2589.9","6","   1338.1"," ,6","","","     12.17","6","     19.34","6","      4.99","6"
"USC00315796","1925","35.65","-82.31667","793.1","MONTREAT, NC US","    495.0","","     495.0","6","       102","6","        75","6","         8","6","         2","6","         1","6","       103","6","         2","6","       176","6","        24","6","","","  -19.4","6,1228, ","    94"," ,6,0305, ","  47.5"," ,6,1112, ","   36.7","6,0908,+","-3.3","6,1011","-3.3","6,1011","-5.6","6,1029","-11.1","6,1124","-11.1","6,1124","0.0","6,0503","-2.2","6,0407","-4.4","6,0401","-7.8","6,0315","-15.0","6,0303","    2185.2","2","    2185.2","6","    901.7"," ,6","      158"," ,6","     13.20","6","     20.28","6","      6.12","6"
"USC00315796","1926","35.65","-82.31667","793.1","MONTREAT, NC US","    535.8","","     535.8","6","       126","6","        90","6","         9","6","         3","6","         0","6","       114","6","         0","6","       183","6","        30","6","","","  -15.0","6,0314, ","   264"," ,6,0311, ","  90.7"," ,6,0729, ","   39.4","6,0721,+","-1.1","6,1025","-2.2","6,1026","-8.3","6,1111","-8.3","6,1111","-8.9","6,1122","0.0","6,0429","-5.0","6,0420","-5.0","6,0420","-7.8","6,0328","-15.0","6,0314","    2561.3","3","    2561.3","6","   1259.0"," ,6","      424"," ,6","     13.03","6","     20.17","6","      5.88","6"
