"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093145","1893","32.73333","-114.61667","73.2","YUMA WEATHER BUREAU CITY, AZ US","   1970.7","","    1970.7","0","        18","0","        10","0","         0","0","        0","","         0","0","         0","0","         2","0","         0","0","       330","0","       174","0","","","","","    0.0","0,1119,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.7"," ,0,0321, ","   43.9","0,0802,+","0.0","0,1119","","","","","0.0","0,0216","","","","","","","","","     76.4"," ,0","        0"," ,0","     22.32","0","     30.74","0","     13.91","0"
"USW00093145","1894","32.73333","-114.61667","73.2","YUMA WEATHER BUREAU CITY, AZ US","   2021.3","","    2021.3","0","        13","0","         7","0","         0","0","        0","","         0","0","         0","0","         9","0","         0","0","       293","0","       186","0","","","","","   -2.2","0,0120, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.3"," ,0,1027, ","   45.0","0,0725, ","","","","","","","0.0","0,0224","-2.2","0,0120","","","     724.6","6","     724.6","0","     74.9"," ,0","        0"," ,0","     21.89","0","     30.00","0","     13.79","0"
"USW00093145","1895","32.73333","-114.61667","73.2","YUMA WEATHER BUREAU CITY, AZ US","   2091.7","","    2091.7","0","         8","0","         4","0","         0","0","        0","","         0","0","         0","0","         6","0","         0","0","       299","0","       170","0","","","","","   -1.1","0,1231,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  19.8"," ,0,0117, ","   45.6","0,0805, ","0.0","0,1219","","","","","","","","","","","     495.3","3","     495.3","0","     33.8"," ,0","        0"," ,0","     22.44","0","     30.41","0","     14.48","0"
"USW00093145","1896","32.73333","-114.61667","73.2","YUMA WEATHER BUREAU CITY, AZ US","   2123.4","","    2123.4","0","        20","0","         7","0","         0","0","        0","","         0","0","         0","0","         1","0","         0","0","       319","0","       164","0","","","","","   -0.6","0,0106, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  18.5"," ,0,1229, ","   47.2","0,0616,+","","","","","","","-0.6","0,0106","","","","","     565.7","7","     565.7","0","     64.8"," ,0","        0"," ,0","     22.86","0","     30.74","0","     14.97","0"
"USW00093145","1897","32.73333","-114.61667","73.2","YUMA WEATHER BUREAU CITY, AZ US","   2069.3","","    2069.3","0","        21","0","         8","0","         1","0","        0","","         0","0","         0","0","         4","0","         0","0","       288","0","       168","0","","","","","   -2.2","0,1217, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.1"," ,0,0114, ","   44.4","0,0817,+","-0.6","0,1216","-2.2","0,1217","","","","","","","","","     576.8","8","     576.8","0","    106.3"," ,0","        0"," ,0","     22.07","0","     29.56","0","     14.56","0"
"USW00093145","1898","32.73333","-114.61667","73.2","YUMA WEATHER BUREAU CITY, AZ US","   2067.8","","    2067.8","0","        15","0","         9","0","         0","0","        0","","         0","0","         0","0","         6","0","         0","0","       292","0","       165","0","","","","","   -3.3","0,0122, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.0"," ,0,1210, ","   45.0","0,0818,+","0.0","0,1211","","","","","-2.2","0,0125","-2.2","0,0125","","","     704.3","3","     704.3","0","     60.6"," ,0","        0"," ,0","     21.96","0","     29.78","0","     14.15","0"
"USW00093145","1899","32.73333","-114.61667","73.2","YUMA WEATHER BUREAU CITY, AZ US","   1949.1","","    1949.1","0","         5","0","         1","0","         0","0","        0","","         0","0","         0","0","         4","0","         0","0","       317","0","       154","0","","","","","   -2.2","0,0207, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  12.7"," ,0,1114, ","   44.4","0,0902,+","","","","","","","-2.2","0,0207","-2.2","0,0207","","","     674.2","2","     674.2","0","     15.3"," ,0","        0"," ,0","     22.09","0","     30.22","0","     13.97","0"
"USW00093145","1900","32.73333","-114.61667","73.2","YUMA WEATHER BUREAU CITY, AZ US","","","","","        10","0","         2","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  11.2"," ,0,0428, ","","","","","","","","","","","","","","","     417.9","9","     417.9","0","     21.7"," ,0","        0"," ,0","","","","","",""
"USW00093145","1901","32.73333","-114.61667","73.2","YUMA WEATHER BUREAU CITY, AZ US","   1965.3","","    1965.3","0","        10","0","         4","0","         1","0","        0","","         0","0","         0","0","         6","0","         0","0","       322","0","       167","0","","","","","   -4.4","0,1214, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  64.0"," ,0,0210, ","   45.6","0,0709, ","-4.4","0,1214","-4.4","0,1214","-4.4","0,1214","-0.6","0,0202","-3.9","0,0103","","","","","","","     92.7"," ,0","        0"," ,0","     22.28","0","     30.39","0","     14.17","0"
"USW00093145","1902","32.73333","-114.61667","73.2","YUMA WEATHER BUREAU CITY, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     544.4","4","     544.4","0","","","","","","","","","",""
