"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00298090","1948","35.68333","-105.93333","2208.0","SANTA FE 2 SE, NM US","","","","","","","","","","","         1"," ","","","","","","","","","","","","","",""
"USC00298090","1949","35.68333","-105.93333","2208.0","SANTA FE 2 SE, NM US","        80","0","        48","0","         5","0","        9","","        13","0","","","   102"," ,0,0410,+","   102"," ,0,0410, ","  49.5"," ,0,0611, ","    3449.9","9","    3449.9","0","    482.0"," ,0","      707"," ,0"
