"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00040767","1989","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","   1156.1"," ,a"
"ASN00040767","1990","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","   1272.5"," ,a"
"ASN00040767","1991","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","    709.7"," ,a"
"ASN00040767","1992","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","   1071.6"," ,a"
"ASN00040767","1993","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","    536.2"," ,a"
"ASN00040767","1994","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","    852.7"," ,a"
"ASN00040767","1996","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","   1512.4"," ,a"
"ASN00040767","1997","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","    778.8"," ,a"
"ASN00040767","1998","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","    962.3"," ,a"
"ASN00040767","1999","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","   1451.6"," ,a"
"ASN00040767","2004","-27.4983","153.0337","32.0","BRISBANE RPA HOSPITAL, AS","   1078.2"," ,a"
