"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00014285","1996","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1785.2"," ,a"
"ASN00014285","1998","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   2540.7"," ,a"
"ASN00014285","1999","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1933.3"," ,a"
"ASN00014285","2001","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1392.8"," ,a"
"ASN00014285","2002","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1288.4"," ,a"
"ASN00014285","2003","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   2109.0"," ,a"
"ASN00014285","2004","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1734.0"," ,a"
"ASN00014285","2006","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1850.4"," ,a"
"ASN00014285","2017","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   2128.4"," ,a"
"ASN00014285","2018","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1615.0"," ,a"
"ASN00014285","2019","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1060.7"," ,a"
"ASN00014285","2020","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1810.0"," ,a"
"ASN00014285","2021","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1900.2"," ,a"
"ASN00014285","2022","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   1668.9"," ,a"
"ASN00014285","2024","-12.3551","130.8857","20.0","DARWIN HOSPITAL, AS","   2006.1"," ,a"
