"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00207255","1997","43.26778","-84.17417","190.5","ST CHARLES 3 SSW, MI US","         3"," ","",""
"USC00207255","1998","43.26778","-84.17417","190.5","ST CHARLES 3 SSW, MI US","         2"," ","      486"," ,0"
"USC00207255","1999","43.26778","-84.17417","190.5","ST CHARLES 3 SSW, MI US","         8"," ","",""
"USC00207255","2000","43.26778","-84.17417","190.5","ST CHARLES 3 SSW, MI US","         1"," ","",""
