"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CTAL","2002","33.4781","-117.4858","366.7","TALEGA CALIFORNIA, CA US","    596.2","","     596.2","U","         0","U","         0","U","         0","U","       246","U","        29","U","    2.8","U,0130, ","   42.8","U,0901, ","     740.3","3","     740.3","U","     17.91","U","     23.85","U","     11.97","U"
"USR0000CTAL","2003","33.4781","-117.4858","366.7","TALEGA CALIFORNIA, CA US","    857.2","","     857.2","U","         0","U","         0","U","         0","U","       238","U","        52","U","    5.0","U,1226, ","   40.0","U,1021,+","     729.2","2","     729.2","U","     18.70","U","     24.44","U","     12.95","U"
"USR0000CTAL","2004","33.4781","-117.4858","366.7","TALEGA CALIFORNIA, CA US","    668.2","","     668.2","U","         0","U","         0","U","         0","U","       248","U","        42","U","    5.0","U,1121, ","   38.3","U,0905,+","     627.9","9","     627.9","U","     18.33","U","     24.16","U","     12.50","U"
"USR0000CTAL","2005","33.4781","-117.4858","366.7","TALEGA CALIFORNIA, CA US","    692.7","","     692.7","U","         0","U","         0","U","         0","U","       250","U","        37","U","    5.6","U,0409,+","   38.3","U,0929,+","     743.5","5","     743.5","U","     18.50","U","     24.35","U","     12.66","U"
"USR0000CTAL","2006","33.4781","-117.4858","366.7","TALEGA CALIFORNIA, CA US","    849.2","","     849.2","U","         0","U","         0","U","         0","U","       246","U","        61","U","    3.9","U,0312,+","   43.9","U,0722, ","     690.1","1","     690.1","U","     18.72","U","     24.77","U","     12.66","U"
"USR0000CTAL","2007","33.4781","-117.4858","366.7","TALEGA CALIFORNIA, CA US","    711.8","","     711.8","U","         0","U","         0","U","         0","U","       256","U","        41","U","    2.8","U,0114, ","   43.9","U,0903, ","     726.9","9","     726.9","U","     18.08","U","     24.07","U","     12.08","U"
"USR0000CTAL","2008","33.4781","-117.4858","366.7","TALEGA CALIFORNIA, CA US","    995.5","","     995.5","U","         0","U","         0","U","         0","U","       257","U","        70","U","    3.3","U,1226, ","   40.6","U,0621, ","     822.2","2","     822.2","U","     18.97","U","     25.28","U","     12.65","U"
"USR0000CTAL","2009","33.4781","-117.4858","366.7","TALEGA CALIFORNIA, CA US","    827.0","","     827.0","U","         0","U","         0","U","         0","U","       259","U","        49","U","    3.3","U,0210, ","   42.2","U,0829, ","     685.5","5","     685.5","U","     18.69","U","     24.67","U","     12.71","U"
"USR0000CTAL","2010","33.4781","-117.4858","366.7","TALEGA CALIFORNIA, CA US","    521.8","","     521.8","U","         0","U","         0","U","         0","U","       224","U","        28","U","    2.8","U,1230, ","   43.3","U,0927, ","     776.8","8","     776.8","U","     17.38","U","     23.05","U","     11.71","U"
"USR0000CTAL","2011","33.4781","-117.4858","366.7","TALEGA CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","     883.3","3","     883.3"," ","","","","","",""
