"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093108","1945","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","","","","","","","","","","","","","         3"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093108","1946","35.11667","-118.15","841.9","MOJAVE MCAS, CA US","        16","X","        13","X","         0","X","         0","X","         0","X","        42","X","         3"," ","         2"," ","   -4.4","X,1231,+","     0","T,X,0313,+","  20.1"," ,X,1113, ","-2.2","X,1104","-2.2","X,1104","-4.4","X,1231","-1.1","X,0320","-3.9","X,0212","-4.4","X,0131","     86.9"," ,X","        0","T,X","     10.27","X"
