"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00115943","1896","38.362","-88.8598","149.4","MOUNT VERNON 3 NE, IL US","","","    871.4","","     871.4","6","        69","6","        58","6","        11","6","","","","","         0","6","        87","6","         6","6","       195","6","        57","6","","","","","","","  -14.4","6,0220,+","","","",""," 103.4"," ,6,0720, ","   37.2","6,0807,+","-1.1","6,1018","-5.6","6,1109","-5.6","6,1109","-6.7","6,1127","-11.7","6,1128","-0.6","6,0404","-3.9","6,0324","-4.4","6,0317","-11.1","6,0313","-11.1","6,0313","    2358.1","1","    2358.1","6","   1047.9"," ,6","","","     14.45","6","     20.45","6","      8.44","6","","","","","","","",""
"USC00115943","1898","38.362","-88.8598","149.4","MOUNT VERNON 3 NE, IL US","","","","","","","       110","6","        95","6","        15","6","","","","","         1","6","       106","6","","","","","","","","","","","","","  -21.7","6,1214, ","","","","","  82.6"," ,6,0626, ","","","-3.3","6,1023","-3.3","6,1023","-4.4","6,1027","-9.4","6,1122","-9.4","6,1122","-1.1","6,0414","-2.2","6,0325","-4.4","6,0306","-8.3","6,0304","-10.6","6,0225","","","","","   1445.4"," ,6","","","","","","","      6.06","6","","","","","","","",""
"USC00115943","1899","38.362","-88.8598","149.4","MOUNT VERNON 3 NE, IL US","","","    745.5","","     745.5","6","       103","6","        73","6","         5","6","","","","","        11","6","       120","6","        39","6","       175","6","        52","6","","","","","","","  -30.0","6,0210, ","","","","","  47.5"," ,6,1017, ","   40.0","6,0906,+","-5.0","6,0930","-5.0","6,0930","-5.0","6,0930","-11.1","6,1204","-11.1","6,1204","-1.7","6,0408","-2.2","6,0404","-5.0","6,0401","-7.8","6,0308","-17.8","6,0307","    3154.9","9","    3154.9","6","    855.6"," ,6","","","     11.77","6","     17.59","6","      5.95","6","","","","","","","",""
"USC00115943","1900","38.362","-88.8598","149.4","MOUNT VERNON 3 NE, IL US","","","    830.3","","     830.3","6","","","","","","","","","","","         1","6","       122","6","        26","6","       192","6","        67","6","","","","","","","  -23.3","6,0217, ","","","","","","","   39.4","6,0821, ","-0.6","6,1018","-3.9","6,1108","-7.2","6,1109","-7.2","6,1109","-9.4","6,1113","-1.1","6,0414","-3.3","6,0411","-13.3","6,0317","-13.3","6,0317","-13.3","6,0317","    2891.2","2","    2891.2","6","","","","","     12.84","6","     19.21","6","      6.47","6","","","","","","","",""
"USC00115943","1901","38.362","-88.8598","149.4","MOUNT VERNON 3 NE, IL US","","","","","","","        78","0","        59","0","         6","0","","","         4","0","         2","0","       118","0","","","","","","","","","","","         1"," ","  -18.9","0,1221,+","","","   127"," ,0,1209, ","  53.3"," ,0,1213, ","","","0.0","0,1018","-5.6","0,1104","-5.6","0,1104","-10.0","0,1117","-10.0","0,1117","-0.6","0,0421","-5.6","0,0321","-5.6","0,0321","-6.7","0,0316","-12.8","0,0306","","","","","    695.1"," ,0","      306"," ,0","","","","","      5.98","0","","","","","","","",""
"USC00115943","1902","38.362","-88.8598","149.4","MOUNT VERNON 3 NE, IL US","","","    745.5","","     745.5","0","        94","0","        70","0","        10","0","","","         2","0","         1","0","       104","0","        26","0","       194","0","        50","0","","","","","","","  -17.8","0,0205, ","","","    51"," ,0,1229, ","  57.2"," ,0,0524, ","   37.8","0,0813, ","0.0","0,0915","-2.2","0,1029","-9.4","0,1208","-9.4","0,1208","-9.4","0,1208","-0.6","0,0415","-2.8","0,0408","-9.4","0,0318","-9.4","0,0318","-9.4","0,0318","","","","","    905.3"," ,0","      131"," ,0","     13.16","0","     19.09","0","      7.23","0","","","","","","","",""
"USC00115943","1903","38.362","-88.8598","149.4","MOUNT VERNON 3 NE, IL US","","","    793.4","","     793.4","0","        92","0","        74","0","         5","0","","","         5","0","         1","0","       109","0","        17","0","       179","0","        49","0","         1"," ","","","         9"," ","  -18.3","0,0219, ","","","    51"," ,0,1125, ","  44.7"," ,0,1004, ","   37.2","0,0727, ","-1.1","0,1024","-2.2","0,1028","-9.4","0,1118","-9.4","0,1118","-9.4","0,1118","-1.7","0,0501","-2.2","0,0325","-7.2","0,0301","-7.2","0,0301","-11.1","0,0220","    2295.8","8","    2295.8","0","    806.1"," ,0","      234"," ,0","     13.05","0","     18.92","0","      7.18","0","","","","","","","",""
"USC00115943","1904","38.362","-88.8598","149.4","MOUNT VERNON 3 NE, IL US","","","    623.6","","     623.6","0","       105","0","        77","0","        12","0","       24","","        10","0","         4","0","       115","0","        27","0","       174","0","        25","0","","","","","        35"," ","  -19.4","0,0127,+","   229"," ,0,0127,+","   152"," ,0,0126, ","  93.0"," ,0,0326, ","   34.4","0,0721,+","0.0","0,1023","-2.8","0,1026","-4.4","0,1112","-11.7","0,1213","-11.7","0,1213","-2.8","0,0421","-2.8","0,0421","-5.0","0,0327","-7.2","0,0304","-10.0","0,0220","    3093.0","0","    3093.0","0","   1237.7"," ,0","      725"," ,0","     12.16","0","     18.19","0","      6.14","0","","","","","","","",""
"USC00115943","1905","38.362","-88.8598","149.4","MOUNT VERNON 3 NE, IL US","","","    765.9","","     765.9","0","        94","0","        73","0","        12","0","       37","","         5","0","         6","0","       109","0","        25","0","       197","0","        52","0","","","","","","","  -28.9","0,0213, ","   152"," ,0,0110, ","   152"," ,0,0110, ","  78.7"," ,0,0917, ","   37.8","0,0618, ","-0.6","0,1012","-5.0","0,1102","-5.0","0,1102","-9.4","0,1130","-9.4","0,1130","0.0","0,0422","-2.2","0,0313","-4.4","0,0226","-14.4","0,0218","-14.4","0,0218","    2710.3","3","    2710.3","0","   1140.5"," ,0","      419"," ,0","     12.89","0","     19.39","0","      6.39","0","","","","","","","",""
"USC00115943","1906","38.362","-88.8598","149.4","MOUNT VERNON 3 NE, IL US","","","    864.6","","     864.6","0","        91","0","        68","0","        14","0","","","         7","0","         3","0","       115","0","        16","0","       189","0","        82","0","","","","","","","  -19.4","0,0228,+","","","   305"," ,0,0226, ","  54.6"," ,0,0926, ","   38.3","0,0805, ","-0.6","0,1009","-4.4","0,1010","-4.4","0,1010","-7.8","0,1113","-8.9","0,1224","-0.6","0,0507","-2.2","0,0402","-5.6","0,0321","-7.2","0,0320","-8.9","0,0318","    2553.5","5","    2553.5","0","   1013.8"," ,0","      577"," ,0","     13.52","0","     20.12","0","      6.92","0","","","","","","","",""
