"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"USC00310750","2011","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","         7"," ","",""
"USC00310750","2012","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","         2"," ","         3"," "
"USC00310750","2013","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","         3"," ","         1"," "
"USC00310750","2014","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","        13"," ","",""
"USC00310750","2015","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","        22"," ","         1"," "
"USC00310750","2016","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","        12"," ","         4"," "
"USC00310750","2017","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","         9"," ","         3"," "
"USC00310750","2018","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","        13"," ","        10"," "
"USC00310750","2019","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","         9"," ","         5"," "
"USC00310750","2020","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","        15"," ","",""
"USC00310750","2021","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","        10"," ","        12"," "
"USC00310750","2022","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","        13"," ","        14"," "
"USC00310750","2023","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","         9"," ","         9"," "
"USC00310750","2024","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","         8"," ","        14"," "
"USC00310750","2025","35.65468","-79.07085","94.5","B. EVERETT JORDAN DAM, NC US","         2"," ","         1"," "
