"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TUM00017070","1991","40.733","31.6","743.0","BOLU, TU","","","","","","","","","","","        12","S","       118","S","         4","S","","","","","   33.6","S,0802, ","","","","","","","","","","","","","","","","","","","     16.04","S","",""
"TUM00017070","1996","40.733","31.6","743.0","BOLU, TU","       134","S","        59","S","         2","S","","","","","         8","S","       139","S","         8","S","","","  26.9"," ,S,0723, ","   37.0","S,0703,+","","","","","","","","","","","","","","","","","    529.9"," ,S","     17.17","S","",""
"TUM00017070","1997","40.733","31.6","743.0","BOLU, TU","","","","","","","","","","","         9","S","       118","S","         3","S","","","","","   36.9","S,0707, ","","","","","","","","","","","","","","","","","","","     15.76","S","",""
"TUM00017070","1999","40.733","31.6","743.0","BOLU, TU","","","","","","","","","","","         1","S","       137","S","        13","S","","","","","   36.4","S,0819,+","","","","","","","","","","","","","","","","","","","     18.01","S","",""
"TUM00017070","2000","40.733","31.6","743.0","BOLU, TU","","","","","","","","","","","        13","S","       152","S","        15","S","","","","","   39.3","S,0713, ","","","","","","","","","","","","","","","","","","","     17.58","S","",""
"TUM00017070","2001","40.733","31.6","743.0","BOLU, TU","","","","","","","","","","","         4","S","       162","S","        19","S","","","","","   38.4","S,0721, ","","","","","","","","","","","","","","","","","","","     18.69","S","",""
"TUM00017070","2002","40.733","31.6","743.0","BOLU, TU","","","","","","","","","","","        16","S","       152","S","        13","S","","","","","   37.2","S,0812, ","","","","","","","","","","","","","","","","","","","     18.02","S","",""
"TUM00017070","2006","40.733","31.6","743.0","BOLU, TU","","","","","","","","","","","        13","S","       148","S","        21","S","","","","","   39.7","S,0805, ","","","","","","","","","","","","","","","","","","","     17.76","S","",""
"TUM00017070","2007","40.733","31.6","743.0","BOLU, TU","       105","S","        53","S","         2","S","","","","","         1","S","       158","S","        33","S","","","  36.3"," ,S,0128, ","   37.9","S,0725, ","","","","","","","","","","","","","","","","","    506.0"," ,S","     18.79","S","",""
"TUM00017070","2008","40.733","31.6","743.0","BOLU, TU","       123","S","        60","S","         2","S","","","","","        10","S","       147","S","        18","S","","","  28.7"," ,S,0928, ","   36.6","S,0818, ","","","","","","","","","","","","","","","","","    568.2"," ,S","     18.33","S","",""
"TUM00017070","2009","40.733","31.6","743.0","BOLU, TU","       152","S","        57","S","         2","S","","","","","         1","S","       157","S","         4","S","","","  56.9"," ,S,0716, ","   34.4","S,0805, ","","","","","","","","","","","","","","","","","    574.5"," ,S","     17.82","S","",""
"TUM00017070","2011","40.733","31.6","743.0","BOLU, TU","","","","","","","","","","","         1","S","       139","S","         8","S","","","","","   35.2","S,0729, ","","","","","","","","","","","","","","","","","","","     16.73","S","",""
"TUM00017070","2015","40.733","31.6","743.0","BOLU, TU","       127","S","        62","S","         2","S","","","","","","","","","","","","","  32.5"," ,S,0605, ","","","","","","","","","","","","","","","","","","","    622.4"," ,S","","","",""
"TUM00017070","2016","40.733","31.6","743.0","BOLU, TU","       141","S","        68","S","         2","S","","","","","","","","","","","","","  32.5"," ,S,0225, ","","","","","","","","","","","","","","","","","","","    605.1"," ,S","","","",""
"TUM00017070","2017","40.733","31.6","743.0","BOLU, TU","       138","S","        66","S","         1","S","","","","","        15","S","       133","S","        18","S","","","  32.0"," ,S,1002, ","   37.5","S,0703, ","","","","","","","","","","","","","","","","","    575.6"," ,S","     17.11","S","",""
"TUM00017070","2018","40.733","31.6","743.0","BOLU, TU","       162","S","        70","S","         1","S","","","","","         6","S","       168","S","         2","S","","","  36.3"," ,S,0620, ","   33.0","S,0824, ","","","","","","","","","","","","","","","","","    646.0"," ,S","     18.37","S","",""
"TUM00017070","2020","40.733","31.6","743.0","BOLU, TU","","","","","","","         0","S","        83","S","","","","","","","  -10.6","S,0125, ","","","","","-0.5","S,1102","-2.6","S,1121","-4.7","S,1128","-0.9","S,0426","-6.1","S,0318","-6.1","S,0318","-7.0","S,0211","-9.0","S,0126","","","","","      5.90","S"
"TUM00017070","2021","40.733","31.6","743.0","BOLU, TU","       156","S","        78","S","         1","S","","","","","        10","S","       139","S","        13","S","","","  30.2"," ,S,0615, ","   36.9","S,0806, ","","","","","","","","","","","","","","","","","    672.2"," ,S","     17.33","S","",""
"TUM00017070","2024","40.733","31.6","743.0","BOLU, TU","       112","S","        53","S","         1","S","","","","","","","","","","","","","  37.1"," ,S,1124, ","","","","","","","","","","","","","","","","","","","    485.0"," ,S","","","",""
