"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SFM00068816","1978","-33.965","18.602","46.0","CAPE TOWN INTERNATIONAL, SF","        84","S","        43","S","         1","S","","","","","","","","","","","","","  25.9"," ,S,0408, ","","","    379.9"," ,S","","","",""
"SFM00068816","1979","-33.965","18.602","46.0","CAPE TOWN INTERNATIONAL, SF","        63","S","        35","S","         2","S","","","","","","","","","","","","","  27.9"," ,S,0530, ","","","    386.9"," ,S","","","",""
"SFM00068816","1980","-33.965","18.602","46.0","CAPE TOWN INTERNATIONAL, SF","        84","S","        42","S","         2","S","         0"," ","         0","S","","","","","","","    2.0","S,0919,+","  38.1"," ,S,0514, ","","","    403.8"," ,S","","","     11.65","S"
"SFM00068816","1981","-33.965","18.602","46.0","CAPE TOWN INTERNATIONAL, SF","        85","S","        46","S","         7","S","","","","","","","","","","","","","  40.9"," ,S,0126, ","","","    586.0"," ,S","","","",""
"SFM00068816","1982","-33.965","18.602","46.0","CAPE TOWN INTERNATIONAL, SF","","","","","","","","","","","         0","S","       224","S","         9","S","","","","","   33.5","S,0310,+","","","     22.84","S","",""
"SFM00068816","1983","-33.965","18.602","46.0","CAPE TOWN INTERNATIONAL, SF","","","","","","","","","","","         0","S","       221","S","        11","S","","","","","   39.4","S,0114, ","","","     23.05","S","",""
"SFM00068816","1984","-33.965","18.602","46.0","CAPE TOWN INTERNATIONAL, SF","","","","","","","","","","","         0","S","       238","S","        24","S","","","","","   36.7","S,0403, ","","","     23.49","S","",""
"SFM00068816","1985","-33.965","18.602","46.0","CAPE TOWN INTERNATIONAL, SF","","","","","","","","","","","         0","S","       233","S","        15","S","","","","","   37.2","S,1010, ","","","     23.73","S","",""
"SFM00068816","1986","-33.965","18.602","46.0","CAPE TOWN INTERNATIONAL, SF","","","","","","","","","","","         0","S","       238","S","        11","S","","","","","   34.2","S,0227,+","","","     23.43","S","",""
"SFM00068816","1987","-33.965","18.602","46.0","CAPE TOWN INTERNATIONAL, SF","","","","","","","","","","","         0","S","       236","S","         2","S","","","","","   32.6","S,0208,+","","","     23.13","S","",""
