"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BL000085043","2002","-11.0","-66.117","141.0","RIBERALTA, BL","","","","","         0","I","         0","I","","","","","","","   13.2","I,0803,+","","","","","","","     21.25","I"
"BL000085043","2006","-11.0","-66.117","141.0","RIBERALTA, BL","","","","","         0","S","         0","S","","","","","","","   12.3","S,0514, ","","","","","","","     20.93","S"
"BL000085043","2007","-11.0","-66.117","141.0","RIBERALTA, BL","","","","","         0","S","         0","S","","","","","","","   12.0","S,0712,+","","","","","","","     20.67","S"
"BL000085043","2009","-11.0","-66.117","141.0","RIBERALTA, BL","","","","","         0","S","         0","S","         0","S","       345","S","       217","S","    9.4","S,0725, ","   38.8","S,1020,+","     27.06","S","     32.72","S","     21.40","S"
"BL000085043","2010","-11.0","-66.117","141.0","RIBERALTA, BL","","","","","         0","S","         0","S","","","","","","","    9.3","S,0717, ","","","","","","","     20.97","S"
"BL000085043","2012","-11.0","-66.117","141.0","RIBERALTA, BL","","","","","         0","S","         0","S","         0","S","       346","S","       211","S","   11.0","S,0828, ","   38.2","S,0921,+","     26.86","S","     32.51","S","     21.20","S"
"BL000085043","2016","-11.0","-66.117","141.0","RIBERALTA, BL","   3093.1","","    3093.1","S","","","","","","","","","","","","","","","","","","","",""
"BL000085043","2017","-11.0","-66.117","141.0","RIBERALTA, BL","","","","","         0","S","         0","S","","","","","","","    8.4","S,0719, ","","","","","","","     21.34","S"
"BL000085043","2018","-11.0","-66.117","141.0","RIBERALTA, BL","   2816.5","","    2816.5","S","","","","","         0","S","       342","S","       211","S","","","   37.9","S,0926,+","","","     32.33","S","",""
"BL000085043","2019","-11.0","-66.117","141.0","RIBERALTA, BL","","","","","         0"," ","         0","S","","","","","","","    9.7","S,0805, ","","","","","","","     21.33","S"
"BL000085043","2022","-11.0","-66.117","141.0","RIBERALTA, BL","","","","","         0","S","         0","S","","","","","","","   10.2","S,0820, ","","","","","","","     20.62","S"
