"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012931","1949","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","   1747.0","","    1747.0","X","        79","X","        55","X","        12","X","        2","","         1","X","         0","X","        12","X","         1","X","       281","X","       127","X","        91"," ","        52"," ","  -15.6","X,0131, ","   127"," ,X,0130, ","   127"," ,X,0130, "," 260.9"," ,X,0625, ","   38.3","X,0829,+","0.0","X,1216","-2.2","X,1223","","","","","0.0","X,0201","-15.6","X,0131","-15.6","X,0131","-15.6","X,0131","-15.6","X,0131","","","","","   1147.5"," ,X","      127"," ,X","     21.12","X","     26.52","X","     15.72","X","","","",""
"USW00012931","1950","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","   1894.4","","    1894.4","X","        60","X","        27","X","         7","X","        0","","         0","X","         0","X","        11","X","         0","X","       300","X","       126","X","        96"," ","        28"," ","   -6.7","X,1207, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  79.2"," ,X,0713, ","   37.8","X,0806,+","0.0","X,1111","-2.2","X,1205","-5.6","X,1206","-6.7","X,1207","0.0","X,0314","-2.2","X,0107","","","","","","","     556.0","0","     556.0","X","    510.7"," ,X","        0"," ,X","     21.82","X","     27.69","X","     15.95","X","       360","X","      25.9","X"
"USW00012931","1951","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","   1962.4","","    1962.4","X","        58","X","        34","X","         6","X","        1","","         0","X","         0","X","        18","X","         3","X","       298","X","       127","X","        76"," ","        31"," ","  -11.1","X,0202, ","    25"," ,X,0131, ","    13"," ,X,0131, ","  82.8"," ,X,0913, ","   40.6","X,0719, ","-1.1","X,1103","-4.4","X,1216","-4.4","X,1216","","","-0.6","X,0313","-2.8","X,0214","-8.3","X,0203","-8.3","X,0203","-11.1","X,0202","     654.3","3","     654.3","X","    562.6"," ,X","       13"," ,X","     21.70","X","     27.75","X","     15.65","X","        45","X","      31.3","X"
"USW00012931","1952","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","   1607.5","","    1607.5","X","        60","X","        43","X","         8","X","        0","","         0","X","         0","X","         1","X","         0","X","       290","X","       101","X","        71"," ","        35"," ","   -1.1","X,1215, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  55.9"," ,X,0409, ","   38.9","X,0901,+","-1.1","X,1215","","","","","","","","","","","","","","","","","     578.2","2","     578.2","X","    664.9"," ,X","        0"," ,X","     20.98","X","     26.78","X","     15.18","X","       315","X","      27.7","X"
"USW00012931","1953","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","   1902.9","","    1902.9","X","        64","X","        37","X","         6","X","        0","","         0","X","         0","X","         7","X","         0","X","       297","X","       122","X","        86"," ","        26"," ","   -2.8","X,1224, ","     0"," ,X,1231,+","     0","T,X,1213, ","  62.0"," ,X,0904, ","   40.6","X,0809, ","-1.7","X,1223","-2.8","X,1224","","","","","0.0","X,0222","","","","","","","","","     649.7","7","     649.7","X","    552.5"," ,X","        0","T,X","     21.71","X","     27.52","X","     15.90","X","        90","X","      36.2","X"
"USW00012931","1954","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","   1994.6","","    1994.6","X","        42","X","        25","X","         2","X","        0","","         0","X","         0","X","         4","X","         0","X","       308","X","       133","X","        44"," ","        26"," ","   -1.7","X,0122, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  67.6"," ,X,0626, ","   42.2","X,0726, ","","","","","","","","","-1.7","X,0122","","","","","","","","","     675.8","8","     675.8","X","    337.6"," ,X","        0"," ,X","     22.35","X","     28.38","X","     16.33","X","       248","X","      32.6","X"
"USW00012931","1955","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","   1976.4","","    1976.4","X","        64","X","        36","X","         4","X","        0","","         0","X","         0","X","         9","X","         0","X","       289","X","       144","X","        78"," ","        40"," ","   -2.8","X,0212, ","     0"," ,X,1231,+","     0","T,X,1108,+","  89.9"," ,X,0205, ","   39.4","X,0524, ","0.0","X,1129","-2.2","X,1216","","","","","-0.6","X,0328","-2.8","X,0212","","","","","","","     601.5","5","     601.5","X","    559.9"," ,X","        0","T,X","     21.78","X","     27.67","X","     15.88","X","        90","X","      31.4","X"
"USW00012931","1956","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","   1970.6","","    1970.6","X","        56","X","        25","X","         5","X","        0","","         0","X","         0","X","         7","X","         0","X","       297","X","       144","X","        62"," ","        25"," ","   -2.2","X,0205,+","     0"," ,X,1231,+","     0","T,X,0203, ","  72.4"," ,X,0709, ","   39.4","X,0716, ","","","","","","","","","-2.2","X,0205","-2.2","X,0205","","","","","","","     706.6","6","     706.6","X","    469.9"," ,X","        0","T,X","     21.89","X","     27.94","X","     15.84","X","","","",""
"USW00012931","1957","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","   1703.8","","    1703.8","X","        90","X","        52","X","        15","X","        0","","         0","X","         0","X","         7","X","         0","X","       273","X","       100","X","        88"," ","        40"," ","   -4.4","X,1212, ","     0"," ,X,1231,+","     0","T,X,1124,+"," 102.9"," ,X,0922, ","   38.9","X,0730, ","0.0","X,1130","-4.4","X,1212","-4.4","X,1212","","","-3.3","X,0118","-3.3","X,0118","","","","","","","     593.3","3","     593.3","X","   1132.1"," ,X","        0","T,X","     21.12","X","     26.35","X","     15.90","X","       158","X","      35.0","X"
"USW00012931","1958","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","   1686.5","","    1686.5","X","        93","X","        55","X","        13","X","        1","","         1","X","         0","X","        11","X","         0","X","       254","X","       110","X","       112"," ","        31"," ","   -3.9","X,0213, ","    25"," ,X,0212, ","    33"," ,X,0212, ","  98.6"," ,X,0707, ","   38.3","X,0803, ","0.0","X,1129","-2.8","X,1214","","","","","-1.1","X,0216","-3.9","X,0213","","","","","","","     928.2","2","     928.2","X","   1080.7"," ,X","       33"," ,X","     20.25","X","     25.37","X","     15.13","X","       293","X","      21.1","X"
