"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027625","1987","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","        1","","         3","0","","","","","","","","","","","","","         7"," ","","","    51"," ,0,1225, ","   102"," ,0,1226, ","","","","","","","","","","","","","","","","","","","","","","","","","","","      178"," ,0","","","",""
"USC00027625","1988","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","","","","","         0","0","        83","0","","","","","","","","","","","  -12.8","0,1228, ","","","","","","","","","0.0","0,1115","-3.3","0,1116","-5.6","0,1119","-11.1","0,1227","-11.1","0,1227","0.0","0,0508","-2.2","0,0502","-5.0","0,0318","-7.2","0,0313","","","","","","","","","      6.74","0"
"USC00027625","1989","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","        39","0","        25","0","         1","0","","","         0","0","         0","0","        63","0","","","","","","","","","","","  -10.0","0,0101, ","","","     0"," ,0,1231,+","  44.2"," ,0,1005, ","","","-0.6","0,1028","-3.9","0,1128","-5.6","0,1130","-8.9","0,1212","-8.9","0,1212","-4.4","0,0306","-4.4","0,0306","-4.4","0,0306","-6.7","0,0213","-10.0","0,0101","    309.8"," ,0","        0"," ,0","","","      6.92","0"
"USC00027625","1990","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","        62","0","        43","0","         6","0","        0","","         0","0","         0","0","        85","0","","","","","","","","","","","  -10.0","0,0217,+","     0","T,0,0118, ","     0","T,0,0215,+","  65.5"," ,0,0714, ","","","0.0","0,1020","-2.2","0,1105","-4.4","0,1127","-7.2","0,1218","-9.4","0,1223","-7.2","0,0318","-7.2","0,0318","-7.2","0,0318","-7.2","0,0318","-10.0","0,0217","    647.1"," ,0","        0","T,0","","","      6.39","0"
"USC00027625","1991","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","        44","0","        36","0","         2","0","        0","","         0","0","","","","","","","","","","","         1"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.8"," ,0,0321, ","","","","","","","","","","","","","","","","","","","","","","","    414.8"," ,0","        0"," ,0","","","",""
"USC00027625","1992","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","        0","","         0","0","","","","","","","","","","","         2"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","",""
"USC00027625","1993","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","     0","T,0,0215,+","","","","","","","","","","","","","","","","","","","","","","","","","","","        0","T,0","","","",""
"USC00027625","1997","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","",""
"USC00027625","1998","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","",""
"USC00027625","1999","31.5716","-111.5055","1065.3","SASABE 6 NNE, AZ US","        26","0","        24","0","         3","0","","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","  55.6"," ,0,0715, ","","","","","","","","","","","","","","","","","","","","","","","    296.0"," ,0","        0"," ,0","","","",""
