"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00001025","1988","-15.3797","126.3114","385.0","DOONGAN, AS","        76","a","        58","a","         9","a","","","","","","","","","","","","","  84.6"," ,a,1215, ","","","    864.9"," ,a","","","","","",""
"ASN00001025","1989","-15.3797","126.3114","385.0","DOONGAN, AS","        79","a","        58","a","        13","a","         0","a","         0","a","","","","","","","    1.8","a,0708, "," 135.6"," ,a,0311, ","","","   1184.8"," ,a","","","","","     18.75","a"
"ASN00001025","1990","-15.3797","126.3114","385.0","DOONGAN, AS","        66","a","        45","a","        12","a","","","","","","","","","","","","","  61.0"," ,a,1127, ","","","    751.0"," ,a","","","","","",""
"ASN00001025","1991","-15.3797","126.3114","385.0","DOONGAN, AS","        70","a","        53","a","        11","a","","","","","         0","a","       354","a","       215","a","","","  77.4"," ,a,0112, ","   40.0","a,1024, ","    942.5"," ,a","","","     33.44","a","",""
"ASN00001025","1992","-15.3797","126.3114","385.0","DOONGAN, AS","        70","a","        48","a","         5","a","","","","","","","","","","","","","  41.6"," ,a,0213, ","","","    786.4"," ,a","","","","","",""
"ASN00001025","1993","-15.3797","126.3114","385.0","DOONGAN, AS","        62","a","        52","a","        15","a","","","","","         0","a","       355","a","       218","a","","","  71.6"," ,a,0129, ","   41.5","a,1029, ","   1055.5"," ,a","","","     33.15","a","",""
"ASN00001025","1994","-15.3797","126.3114","385.0","DOONGAN, AS","        66","a","        53","a","        12","a","","","","","         0","a","       355","a","       205","a","","","  48.6"," ,a,0302, ","   40.5","a,1110, ","    914.1"," ,a","","","     33.03","a","",""
"ASN00001025","1995","-15.3797","126.3114","385.0","DOONGAN, AS","        87","a","        65","a","        13","a","","","","","","","","","","","","","  80.0"," ,a,0129, ","","","   1091.9"," ,a","","","","","",""
"ASN00001025","1996","-15.3797","126.3114","385.0","DOONGAN, AS","        78","a","        61","a","        19","a","","","","","","","","","","","","","  68.0"," ,a,0228, ","","","   1206.6"," ,a","","","","","",""
"ASN00001025","1997","-15.3797","126.3114","385.0","DOONGAN, AS","        78","a","        55","a","        17","a","","","","","","","","","","","",""," 132.6"," ,a,0224, ","","","   1197.6"," ,a","","","","","",""
"ASN00001025","1998","-15.3797","126.3114","385.0","DOONGAN, AS","","","","","","","","","","","","","","","","","","","","","","","   1453.2"," ,a","","","","","",""
"ASN00001025","1999","-15.3797","126.3114","385.0","DOONGAN, AS","       110","a","        72","a","         9","a","","","","","","","","","","","","","  64.4"," ,a,1103, ","","","   1063.1"," ,a","","","","","",""
"ASN00001025","2000","-15.3797","126.3114","385.0","DOONGAN, AS","       113","a","        76","a","        16","a","","","","","","","","","","","",""," 139.8"," ,a,0101, ","","","   1580.4"," ,a","","","","","",""
"ASN00001025","2003","-15.3797","126.3114","385.0","DOONGAN, AS","        82","a","        62","a","        12","a","","","","","","","","","","","","","  65.0"," ,a,1115, ","","","   1196.4"," ,a","","","","","",""
"ASN00001025","2004","-15.3797","126.3114","385.0","DOONGAN, AS","        86","a","        60","a","        13","a","","","","","","","","","","","",""," 167.2"," ,a,0101, ","","","   1274.8"," ,a","","","","","",""
"ASN00001025","2005","-15.3797","126.3114","385.0","DOONGAN, AS","        70","a","        54","a","         8","a","","","","","","","","","","","","","  88.2"," ,a,0317, ","","","    915.1"," ,a","","","","","",""
"ASN00001025","2006","-15.3797","126.3114","385.0","DOONGAN, AS","","","","","","","","","","","","","","","","","","","","","","","   1372.3"," ,a","","","","","",""
"ASN00001025","2007","-15.3797","126.3114","385.0","DOONGAN, AS","        74","a","        54","a","        17","a","","","","","","","","","","","","","  89.0"," ,a,0305, ","","","   1321.2"," ,a","","","","","",""
"ASN00001025","2008","-15.3797","126.3114","385.0","DOONGAN, AS","        83","a","        66","a","        16","a","","","","","","","","","","","",""," 148.2"," ,a,1222, ","","","   1365.8"," ,a","","","","","",""
"ASN00001025","2009","-15.3797","126.3114","385.0","DOONGAN, AS","        76","a","        62","a","        15","a","","","","","","","","","","","",""," 145.5"," ,a,1216, ","","","   1229.8"," ,a","","","","","",""
"ASN00001025","2010","-15.3797","126.3114","385.0","DOONGAN, AS","        82","a","        66","a","        16","a","","","","","","","","","","","",""," 118.7"," ,a,0114, ","","","   1279.1"," ,a","","","","","",""
"ASN00001025","2011","-15.3797","126.3114","385.0","DOONGAN, AS","       106","a","        97","a","        35","a","         0","a","         0","a","         0","a","       361","a","       140","a","    2.4","a,0615, "," 126.0"," ,a,0220, ","   40.2","a,1012, ","   2458.1"," ,a","     24.31","a","     31.37","a","     17.24","a"
"ASN00001025","2012","-15.3797","126.3114","385.0","DOONGAN, AS","        87","a","        74","a","        22","a","","","","","","","","","","","",""," 243.0"," ,a,0316, ","","","   1722.2"," ,a","","","","","",""
"ASN00001025","2013","-15.3797","126.3114","385.0","DOONGAN, AS","        93","a","        66","a","        11","a","","","","","         0","a","       351","a","       235","a","","","  72.0"," ,a,1206, ","   40.0","a,1010, ","   1043.8"," ,a","","","     33.39","a","",""
"ASN00001025","2014","-15.3797","126.3114","385.0","DOONGAN, AS","        93","a","        64","a","        12","a","         0","a","         0","a","         0","a","       354","a","       214","a","    2.6","a,0817, "," 112.8"," ,a,0209, ","   40.4","a,1010, ","   1157.5"," ,a","     25.60","a","     33.08","a","     18.12","a"
"ASN00001025","2015","-15.3797","126.3114","385.0","DOONGAN, AS","        81","a","        60","a","         7","a","         0","a","         0","a","         0","a","       355","a","       243","a","    4.0","a,0720, ","  62.0"," ,a,0302, ","   40.3","a,1130, ","    846.0"," ,a","     25.69","a","     33.44","a","     17.93","a"
"ASN00001025","2016","-15.3797","126.3114","385.0","DOONGAN, AS","        86","a","        69","a","        16","a","         0","a","         0","a","         0","a","       345","a","       280","a","    3.5","a,0717, "," 172.0"," ,a,1221, ","   41.2","a,1105, ","   1340.6"," ,a","     26.92","a","     34.34","a","     19.50","a"
"ASN00001025","2017","-15.3797","126.3114","385.0","DOONGAN, AS","        96","a","        73","a","        18","a","","","","","","","","","","","",""," 148.0"," ,a,0125, ","","","   1569.1"," ,a","","","","","",""
