"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA00614NFK0","1987","43.5833","-80.9","382.0","NEWTON, ON CA","","","","","       130","C","        81","C","         4","C","        16","C","        15","C","       157","C","","","","","","","  -30.0","C,0215, ","   160"," ,C,0119, ","  54.0"," ,C,0802, ","","","0.0","C,1003","-4.0","C,1013","-6.0","C,1106","-8.0","C,1111","-16.0","C,1121","0.0","C,0513","-3.0","C,0501","-5.0","C,0404","-7.0","C,0403","-9.0","C,0318","","","","","    789.4"," ,C","     1260"," ,C","","","","","      2.39","C"
"CA00614NFK0","1988","43.5833","-80.9","382.0","NEWTON, ON CA","","","","","       144","C","        84","C","         3","C","        16","C","","","","","","","","","","","","","   100"," ,C,0201, ","  79.0"," ,C,0902, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    887.6"," ,C","     1260"," ,C","","","","","",""
"CA00614NFK0","1989","43.5833","-80.9","382.0","NEWTON, ON CA","    141.1","","     141.1","C","       138","C","        81","C","         3","C","        17","C","        17","C","       175","C","        88","C","       102","C","         0","C","  -27.0","C,1222, ","   120"," ,C,0412, ","  51.4"," ,C,0804, ","   31.5","C,0726, ","0.0","C,0924","-7.0","C,1104","-7.0","C,1104","-7.0","C,1104","-9.0","C,1122","0.0","C,0509","-3.0","C,0424","-5.0","C,0414","-8.0","C,0410","-16.0","C,0323","    4467.6","6","    4467.6","C","    810.1"," ,C","     1560"," ,C","      5.70","C","     10.52","C","      0.87","C"
"CA00614NFK0","1990","43.5833","-80.9","382.0","NEWTON, ON CA","","","","","       151","C","        99","C","         8","C","        16","C","","","","","","","","","","","","","   100"," ,C,0214, ","  41.0"," ,C,0708, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1061.4"," ,C","     1006"," ,C","","","","","",""
"CA00614NFK0","1991","43.5833","-80.9","382.0","NEWTON, ON CA","    222.8","","     222.8","C","       161","C","       101","C","         5","C","        26","C","         8","C","       155","C","        77","C","       119","C","         0","C","  -23.0","C,0216,+","   130"," ,C,1128, ","  48.0"," ,C,0706, ","   32.0","C,0516, ","0.0","C,0921","-2.5","C,1014","-5.0","C,1103","-7.0","C,1104","-10.0","C,1109","0.0","C,0508","-3.0","C,0412","-5.0","C,0331","-7.0","C,0330","-14.0","C,0312","    4036.0","0","    4036.0","C","   1028.9"," ,C","     1618"," ,C","      7.60","C","     12.20","C","      3.01","C"
"CA00614NFK0","1992","43.5833","-80.9","382.0","NEWTON, ON CA","","","","","       165","C","       100","C","         8","C","        15","C","","","","","","","","","","","","","   160"," ,C,1116, ","  53.2"," ,C,1112, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1187.6"," ,C","     1250"," ,C","","","","","",""
"CA00614NFK0","1993","43.5833","-80.9","382.0","NEWTON, ON CA","    133.3","","     133.3","C","       161","C","        91","C","         5","C","        21","C","        21","C","       173","C","        90","C","        84","C","         0","C","  -26.0","C,1227,+","   150"," ,C,0221,+","  47.4"," ,C,0620, ","   31.0","C,0827,+","-4.0","C,0930","-4.0","C,0930","-5.0","C,1014","-8.0","C,1121","-10.0","C,1125","0.0","C,0522","-3.0","C,0427","-5.0","C,0404","-8.0","C,0327","-10.0","C,0322","    4725.5","5","    4725.5","C","    920.7"," ,C","     1514"," ,C","      5.74","C","     10.30","C","      1.18","C"
"CA00614NFK0","1994","43.5833","-80.9","382.0","NEWTON, ON CA","","","","","       136","C","        83","C","         2","C","        18","C","","","","","","","","","","","","","    80"," ,C,0108, ","  38.0"," ,C,0424, ","","","","","","","","","","","","","","","","","","","","","","","    4919.9","9","    4919.9","C","    809.8"," ,C","     1122"," ,C","","","","","",""
"CA00614NFK0","1995","43.5833","-80.9","382.0","NEWTON, ON CA","    205.4","","     205.4","C","       149","C","        85","C","         7","C","        20","C","        15","C","       163","C","        88","C","        95","C","         2","C","  -24.0","C,0206, ","   150"," ,C,0106, ","  57.6"," ,C,0810, ","   34.0","C,0714, ","-1.0","C,1017","-3.0","C,1104","-5.0","C,1105","-13.0","C,1114","-13.0","C,1114","0.0","C,0508","-3.0","C,0417","-6.0","C,0416","-11.0","C,0405","-11.0","C,0405","","","","","    943.9"," ,C","     1490"," ,C","      6.19","C","     10.70","C","      1.69","C"
"CA00614NFK0","1996","43.5833","-80.9","382.0","NEWTON, ON CA","    102.8","","     102.8","C","       146","C","        92","C","         2","C","        19","C","        20","C","       174","C","        88","C","        82","C","         0","C","  -24.0","C,0216,+","   150"," ,C,0319, ","  44.4"," ,C,0520, ","   31.0","C,0629, ","0.0","C,1004","-4.0","C,1102","-5.0","C,1103","-9.0","C,1112","-9.0","C,1112","0.0","C,0514","-3.0","C,0429","-6.0","C,0409","-8.0","C,0408","-12.0","C,0327","    4818.5","5","    4818.5","C","   1012.0"," ,C","     1542"," ,C","      5.80","C","     10.11","C","      1.49","C"
