"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00234911","2009","39.157","-93.8905","263.7","LEXINGTON 2 SSW, MO US","","","","","        10"," ","        13"," ","","","","","","","",""
"USC00234911","2010","39.157","-93.8905","263.7","LEXINGTON 2 SSW, MO US","       42","","","","        33"," ","        38"," ","   279"," ,0,0110,+","","","   1320.9"," ,0","      547"," ,0"
"USC00234911","2011","39.157","-93.8905","263.7","LEXINGTON 2 SSW, MO US","","","","","        33"," ","        39"," ","","","","","","","",""
"USC00234911","2012","39.157","-93.8905","263.7","LEXINGTON 2 SSW, MO US","","","","","        18"," ","        25"," ","","","","","","","",""
"USC00234911","2013","39.157","-93.8905","263.7","LEXINGTON 2 SSW, MO US","","","","","        21"," ","        21"," ","","","","","","","",""
"USC00234911","2014","39.157","-93.8905","263.7","LEXINGTON 2 SSW, MO US","       22","","         4","7","        20"," ","        29"," ","   203"," ,7,0206,+","   193"," ,7,0205, ","","","      399"," ,7"
"USC00234911","2015","39.157","-93.8905","263.7","LEXINGTON 2 SSW, MO US","","","","","        18"," ","        29"," ","","","","","","","",""
"USC00234911","2016","39.157","-93.8905","263.7","LEXINGTON 2 SSW, MO US","","","","","        14"," ","        18"," ","","","","","","","",""
"USC00234911","2017","39.157","-93.8905","263.7","LEXINGTON 2 SSW, MO US","        6","","         2","7","        17"," ","        22"," ","    51"," ,7,0108,+","    46"," ,7,0105, ","    966.5"," ,7","       77"," ,7"
"USC00234911","2018","39.157","-93.8905","263.7","LEXINGTON 2 SSW, MO US","","","","","         7"," ","        13"," ","","","","","","","",""
