"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087121","2001","-26.841","-65.105","455.7","TENIENTE BENJAMIN MATIENZO, AR","         0","S","         1","S","   -0.4","S,0728, ","-0.4","S,0728","","","     14.37","S"
"ARM00087121","2008","-26.841","-65.105","455.7","TENIENTE BENJAMIN MATIENZO, AR","         0","S","         0","S","    0.4","S,0906, ","","","","","     14.32","S"
"ARM00087121","2009","-26.841","-65.105","455.7","TENIENTE BENJAMIN MATIENZO, AR","         0","S","         4","S","   -1.5","S,0724, ","0.0","S,0611","0.0","S,0821","     14.63","S"
