"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00083081","1978","-36.9833","147.1478","1750.0","MOUNT HOTHAM, AS","","","","","","","         0","a","       170","a","        35","a","        17","a","         0","a","   -8.5","a,0813, ","","","   25.0","a,0220,+","-2.7","a,0111","-2.7","a,0111","-5.0","a,0426","-7.0","a,0626","","","-2.7","a,1221","-2.7","a,1221","-5.2","a,1220","-7.0","a,1014","    4653.9","9","    4653.9","a","","","      5.63","a","      9.38","a","      1.88","a"
"ASN00083081","1980","-36.9833","147.1478","1750.0","MOUNT HOTHAM, AS","       166","a","       109","a","        18","a","","","","","","","","","","","","","  70.2"," ,a,0424, ","","","","","","","","","","","","","","","","","","","","","","","","","   1792.8"," ,a","","","","","",""
"ASN00083081","1982","-36.9833","147.1478","1750.0","MOUNT HOTHAM, AS","       141","a","        88","a","         9","a","         0","a","       136","a","        28","a","        22","a","         0","a","   -8.5","a,0719, "," 103.4"," ,a,0126, ","   27.5","a,0124, ","0.0","a,0127","-4.0","a,0426","-5.1","a,0522","-6.8","a,0624","","","-0.9","a,1221","-2.5","a,1119","-4.5","a,1020","-6.8","a,0930","","","","","   1284.5"," ,a","      6.82","a","     10.55","a","      3.08","a"
"ASN00083081","1984","-36.9833","147.1478","1750.0","MOUNT HOTHAM, AS","       154","a","        99","a","        14","a","","","","","","","","","","","","","  67.0"," ,a,1004, ","","","","","","","","","","","","","","","","","","","","","","","","","   1408.8"," ,a","","","","","",""
"ASN00083081","1985","-36.9833","147.1478","1750.0","MOUNT HOTHAM, AS","       158","a","        94","a","        18","a","         0","a","       150","a","        51","a","        12","a","         0","a","  -10.0","a,0724, ","  98.2"," ,a,0318, ","   25.6","a,0113, ","-1.5","a,0208","-5.4","a,0228","-5.4","a,0228","-7.2","a,0622","-9.0","a,0623","-0.7","a,1224","-2.2","a,1122","-4.5","a,1031","-8.0","a,0820","    4614.5","5","    4614.5","a","   1660.9"," ,a","      5.26","a","      8.63","a","      1.89","a"
"ASN00083081","1987","-36.9833","147.1478","1750.0","MOUNT HOTHAM, AS","       129","a","        99","a","        26","a","","","","","","","","","","","","","  65.2"," ,a,0503, ","","","","","","","","","","","","","","","","","","","","","","","","","   1923.0"," ,a","","","","","",""
"ASN00083081","1988","-36.9833","147.1478","1750.0","MOUNT HOTHAM, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   2498.3"," ,a","","","","","",""
"ASN00083081","1989","-36.9833","147.1478","1750.0","MOUNT HOTHAM, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   2355.8"," ,a","","","","","",""
