"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00050052","1975","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        70","a","        33","a","         2","a","","","","","","","","","","","","","  66.0"," ,a,1024, ","","","","","","","","","","","","","","","","","","","","","    408.9"," ,a","","","","","",""
"ASN00050052","1976","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        82","a","        41","a","         5","a","         0","a","        45","a","         0","a","       199","a","        35","a","   -5.5","a,0703, "," 127.2"," ,a,0122, ","   41.0","a,0104, ","-0.6","a,0505","-4.5","a,0529","-4.5","a,0529","","","-1.0","a,0915","-2.3","a,0816","","","    1506.3","3","    1506.3","a","    721.6"," ,a","     15.78","a","     22.94","a","      8.62","a"
"ASN00050052","1977","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        57","a","        31","a","         2","a","         0","a","        44","a","","","","","","","   -5.7","a,0705, ","  49.8"," ,a,0528, ","","","-0.8","a,0605","-2.3","a,0613","-5.0","a,0704","","","-1.0","a,0918","-2.5","a,0916","-4.5","a,0809","","","","","    315.4"," ,a","","","","","      9.21","a"
"ASN00050052","1978","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    872.9","","     872.9","a","        96","a","        53","a","         6","a","         0","a","        24","a","         0","a","       201","a","        52","a","   -3.5","a,0825,+","  47.4"," ,a,0124, ","   40.8","a,0115, ","-2.2","a,0427","-2.2","a,0427","","","","","-0.2","a,0829","-3.5","a,0825","","","    1369.3","3","    1369.3","a","    677.4"," ,a","     16.55","a","     23.14","a","      9.95","a"
"ASN00050052","1979","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    929.4","","     929.4","a","        62","a","        28","a","         0","a","         0","a","        38","a","         0","a","       219","a","        94","a","   -4.0","a,0715, ","  21.6"," ,a,0828,+","   43.7","a,0213, ","-0.4","a,0515","-2.3","a,0516","","","","","-1.5","a,0921","-3.1","a,0824","","","    1285.9","9","    1285.9","a","    239.2"," ,a","     17.91","a","     25.18","a","     10.63","a"
"ASN00050052","1980","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    993.8","","     993.8","a","        55","a","        28","a","         0","a","         0","a","        23","a","         0","a","       235","a","        93","a","   -3.5","a,0816, ","  22.6"," ,a,0510, ","   43.1","a,0221, ","-0.7","a,0522","-2.5","a,0622","","","","","-1.0","a,0828","-3.5","a,0816","","","    1170.0","0","    1170.0","a","    273.8"," ,a","     18.03","a","     25.33","a","     10.73","a"
"ASN00050052","1981","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1192.7","","    1192.7","a","        77","a","        43","a","         3","a","         0","a","        10","a","         0","a","       225","a","        76","a","   -2.2","a,0711, ","  34.0"," ,a,0222, ","   43.0","a,0127, ","0.0","a,0617","-2.2","a,0711","","","","","-1.8","a,0824","","","","","    1176.4","4","    1176.4","a","    421.6"," ,a","     18.06","a","     24.62","a","     11.51","a"
"ASN00050052","1982","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1038.9","","    1038.9","a","        42","a","        16","a","         3","a","         0","a","        47","a","         0","a","       240","a","        77","a","   -5.4","a,0721, ","  80.4"," ,a,0324, ","   44.5","a,0125, ","-0.3","a,0522","-2.8","a,0619","-5.4","a,0721","","","-1.0","a,0912","-2.2","a,0802","","","    1318.1","1","    1318.1","a","    276.2"," ,a","     17.91","a","     25.33","a","     10.49","a"
"ASN00050052","1983","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","   1171.4","","    1171.4","a","        82","a","        54","a","         4","a","         0","a","        23","a","         0","a","       199","a","        70","a","   -3.3","a,0711, ","  40.6"," ,a,0528, ","   42.6","a,0209, ","-1.3","a,0612","-3.1","a,0627","","","","","0.0","a,0829","","","","","    1320.8","8","    1320.8","a","    604.8"," ,a","     17.42","a","     23.73","a","     11.10","a"
"ASN00050052","1984","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","    565.0","","     565.0","a","        82","a","        50","a","         8","a","         0","a","        27","a","         0","a","       207","a","        41","a","   -5.2","a,0622, ","  80.4"," ,a,0101, ","   40.6","a,1225, ","-0.5","a,0509","-2.9","a,0610","-5.2","a,0622","","","-2.0","a,0930","","","","","    1401.6","6","    1401.6","a","    669.6"," ,a","     16.06","a","     23.46","a","      8.67","a"
