"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"TSM00060715","1958","36.851","10.227","6.7","CARTHAGE, TS","","","","","","","","","","","","","","","","","     950.0","0","     950.0"," ","","","",""
"TSM00060715","1975","36.851","10.227","6.7","CARTHAGE, TS","","","","","","","         0","S","       184","S","        42","S","","","   40.0","S,0718, ","","","","","","","     23.24","S"
"TSM00060715","1978","36.851","10.227","6.7","CARTHAGE, TS","","","","","","","         0","S","       189","S","        26","S","","","   42.0","S,0803, ","","","","","","","     23.07","S"
"TSM00060715","1979","36.851","10.227","6.7","CARTHAGE, TS","","","","","","","         0","S","       179","S","        44","S","","","   44.0","S,0806, ","","","","","","","     23.69","S"
"TSM00060715","1980","36.851","10.227","6.7","CARTHAGE, TS","","","","","","","         0","S","       185","S","        31","S","","","   39.0","S,0804,+","","","","","","","     23.05","S"
"TSM00060715","1983","36.851","10.227","6.7","CARTHAGE, TS","        59","S","        29","S","         3","S","","","","","",""," 156.0"," ,S,0427, ","","","","","","","    463.2"," ,S","",""
"TSM00060715","1984","36.851","10.227","6.7","CARTHAGE, TS","        87","S","        44","S","         3","S","","","","","","","  52.1"," ,S,1204, ","","","","","","","    511.7"," ,S","",""
"TSM00060715","1985","36.851","10.227","6.7","CARTHAGE, TS","        73","S","        33","S","         0","S","","","","","","","  22.1"," ,S,0506, ","","","","","","","    268.9"," ,S","",""
"TSM00060715","1987","36.851","10.227","6.7","CARTHAGE, TS","        84","S","        36","S","         2","S","","","","","","","  65.0"," ,S,1001, ","","","","","","","    388.6"," ,S","",""
"TSM00060715","1988","36.851","10.227","6.7","CARTHAGE, TS","        83","S","        29","S","         1","S","","","","","","","  29.0"," ,S,1020, ","","","","","","","    309.9"," ,S","",""
"TSM00060715","1990","36.851","10.227","6.7","CARTHAGE, TS","        92","S","        45","S","         5","S","","","","","","","  34.0"," ,S,1224, ","","","","","","","    589.1"," ,S","",""
"TSM00060715","1991","36.851","10.227","6.7","CARTHAGE, TS","        88","S","        47","S","         4","S","","","","","","","  66.0"," ,S,0127, ","","","","","","","    556.2"," ,S","",""
"TSM00060715","1992","36.851","10.227","6.7","CARTHAGE, TS","        70","S","        46","S","         3","S","","","","","",""," 102.1"," ,S,0122, ","","","","","","","    651.0"," ,S","",""
"TSM00060715","1994","36.851","10.227","6.7","CARTHAGE, TS","        60","S","        28","S","         2","S","","","","","","","  68.1"," ,S,0522, ","","","","","","","    322.3"," ,S","",""
"TSM00060715","1995","36.851","10.227","6.7","CARTHAGE, TS","        81","S","        27","S","         0","S","","","","","","","  16.0"," ,S,1011, ","","","","","","","    241.8"," ,S","",""
"TSM00060715","1996","36.851","10.227","6.7","CARTHAGE, TS","        93","S","        42","S","         4","S","","","","","","","  86.1"," ,S,0228, ","","","","","","","    549.7"," ,S","",""
"TSM00060715","1997","36.851","10.227","6.7","CARTHAGE, TS","        95","S","        55","S","         3","S","","","","","","","  38.1"," ,S,0918, ","","","","","","","    537.4"," ,S","",""
"TSM00060715","1998","36.851","10.227","6.7","CARTHAGE, TS","        77","S","        39","S","         2","S","","","","","","","  80.0"," ,S,0503, ","","","","","","","    422.7"," ,S","",""
"TSM00060715","2003","36.851","10.227","6.7","CARTHAGE, TS","        94","S","        44","S","         5","S","","","","","",""," 101.1"," ,S,0925, ","","","","","","","    695.5"," ,S","",""
