"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UPM00034415","1945","49.183","37.3","78.0","IZIUM, UP","       123","I","        54","I","         2","I","","","","","","","","","","","","","  34.1"," ,I,0816, ","","","","","","","","","","","","","","","","","","","","","","","    435.8"," ,I","","","",""
"UPM00034415","1948","49.183","37.3","78.0","IZIUM, UP","       112","I","        54","I","         0","I","","","","","","","","","","","","","  22.6"," ,I,1020, ","","","","","","","","","","","","","","","","","","","","","","","    439.4"," ,I","","","",""
"UPM00034415","1949","49.183","37.3","78.0","IZIUM, UP","        96","I","        42","I","         1","I","","","","","","","","","","","","","  31.7"," ,I,0628, ","","","","","","","","","","","","","","","","","","","","","","","    348.3"," ,I","","","",""
"UPM00034415","1950","49.183","37.3","78.0","IZIUM, UP","       125","I","        53","I","         2","I","","","","","","","","","","","","","  46.2"," ,I,1014, ","","","","","","","","","","","","","","","","","","","","","","","    482.5"," ,I","","","",""
"UPM00034415","1951","49.183","37.3","78.0","IZIUM, UP","        87","I","        42","I","         0","I","","","","","","","","","","","","","  18.7"," ,I,0121, ","","","","","","","","","","","","","","","","","","","","","","","    296.8"," ,I","","","",""
"UPM00034415","1952","49.183","37.3","78.0","IZIUM, UP","       128","I","        59","I","         0","I","","","","","","","","","","","","","  21.8"," ,I,0701, ","","","","","","","","","","","","","","","","","","","","","","","    490.1"," ,I","","","",""
"UPM00034415","1953","49.183","37.3","78.0","IZIUM, UP","       103","I","        39","I","         3","I","","","","","","","","","","","","","  37.4"," ,I,0628, ","","","","","","","","","","","","","","","","","","","","","","","    414.8"," ,I","","","",""
"UPM00034415","1954","49.183","37.3","78.0","IZIUM, UP","        88","I","        41","I","         1","I","","","","","","","","","","","","","  26.7"," ,I,1117, ","","","","","","","","","","","","","","","","","","","","","","","    351.4"," ,I","","","",""
"UPM00034415","1955","49.183","37.3","78.0","IZIUM, UP","       107","I","        56","I","         2","I","","","","","","","","","","","","","  30.0"," ,I,0813, ","","","","","","","","","","","","","","","","","","","","","","","    489.3"," ,I","","","",""
"UPM00034415","1956","49.183","37.3","78.0","IZIUM, UP","       125","I","        57","I","         2","I","","","","","","","","","","","","","  49.9"," ,I,0626, ","","","","","","","","","","","","","","","","","","","","","","","    546.6"," ,I","","","",""
"UPM00034415","1957","49.183","37.3","78.0","IZIUM, UP","        92","I","        39","I","         0","I","","","","","","","","","","","","","  21.2"," ,I,0507, ","","","","","","","","","","","","","","","","","","","","","","","    335.0"," ,I","","","",""
"UPM00034415","1958","49.183","37.3","78.0","IZIUM, UP","       119","I","        70","I","         1","I","","","","","","","","","","","","","  26.9"," ,I,0706, ","","","","","","","","","","","","","","","","","","","","","","","    542.6"," ,I","","","",""
"UPM00034415","1959","49.183","37.3","78.0","IZIUM, UP","       104","I","        44","I","         2","I","","","","","","","","","","","","","  71.5"," ,I,0902, ","","","","","","","","","","","","","","","","","","","","","","","    420.3"," ,I","","","",""
"UPM00034415","1960","49.183","37.3","78.0","IZIUM, UP","       111","I","        54","I","         4","I","","","","","","","","","","","","","  40.1"," ,I,0730, ","","","","","","","","","","","","","","","","","","","","","","","    577.9"," ,I","","","",""
"UPM00034415","1961","49.183","37.3","78.0","IZIUM, UP","       104","I","        48","I","         0","I","","","","","","","","","","","","","  21.8"," ,I,0515, ","","","","","","","","","","","","","","","","","","","","","","","    402.1"," ,I","","","",""
"UPM00034415","1962","49.183","37.3","78.0","IZIUM, UP","        87","I","        51","I","         0","I","","","","","","","","","","","","","  18.4"," ,I,0607, ","","","","","","","","","","","","","","","","","","","","","","","    434.5"," ,I","","","",""
"UPM00034415","1963","49.183","37.3","78.0","IZIUM, UP","       113","I","        55","I","         0","I","","","","","","","","","","","","","  20.8"," ,I,0930, ","","","","","","","","","","","","","","","","","","","","","","","    493.6"," ,I","","","",""
"UPM00034415","1965","49.183","37.3","78.0","IZIUM, UP","        98","I","        56","I","         0","I","","","","","","","","","","","","","  24.4"," ,I,0620, ","","","","","","","","","","","","","","","","","","","","","","","    465.4"," ,I","","","",""
"UPM00034415","1966","49.183","37.3","78.0","IZIUM, UP","       163","I","        80","I","         1","I","","","","","","","","","","","","","  25.4"," ,I,0628, ","","","","","","","","","","","","","","","","","","","","","","","    719.9"," ,I","","","",""
"UPM00034415","1967","49.183","37.3","78.0","IZIUM, UP","       131","I","        65","I","         2","I","","","","","","","","","","","","","  56.5"," ,I,0528, ","","","","","","","","","","","","","","","","","","","","","","","    586.7"," ,I","","","",""
"UPM00034415","1968","49.183","37.3","78.0","IZIUM, UP","       135","I","        61","I","         0","I","","","","","","","","","","","","","  23.9"," ,I,0926,+","","","","","","","","","","","","","","","","","","","","","","","    540.2"," ,I","","","",""
