"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00020040","1971","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    264.7","","     264.7","m","       112","m","        75","m","         3","m","         0","m","         0","m","         0","m","       324","m","        17","m","    0.6","m,0217,+","  34.8"," ,m,0717, ","   35.6","m,0426,+","","","","","","","","","","","     550.3","3","     550.3","m","    679.3"," ,m","     17.72","m","     26.13","m","      9.30","m"
"MXN00020040","1972","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    370.0","","     370.0","m","       112","m","        74","m","         5","m","         0","m","         1","m","         0","m","       328","m","        13","m","    0.0","m,0222, ","  48.3"," ,m,0503, ","   33.9","m,0523, ","","","","","0.0","m,0222","","","","","     483.7","7","     483.7","m","    781.0"," ,m","     18.22","m","     26.25","m","     10.19","m"
"MXN00020040","1973","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    463.3","","     463.3","m","       128","m","        75","m","         6","m","         0","m","         1","m","         0","m","       316","m","        36","m","    0.0","m,0114, ","  71.9"," ,m,0729,+","   36.7","m,0527,+","","","","","0.0","m,0114","","","","","     311.6","6","     311.6","m","    917.9"," ,m","     18.52","m","     26.40","m","     10.64","m"
"MXN00020040","1974","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    213.6","","     213.6","m","       105","m","        68","m","         7","m","         0","m","         1","m","         0","m","       314","m","         4","m","   -1.1","m,0302, ","  60.2"," ,m,0920, ","   35.0","m,0511, ","","","","","-1.1","m,0302","","","","","     486.5","5","     486.5","m","    823.3"," ,m","     17.51","m","     25.50","m","      9.51","m"
"MXN00020040","1975","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    181.5","","     181.5","m","       117","m","        68","m","         5","m","         0","m","         0","m","         0","m","       333","m","         0","m","    2.8","m,0101, ","  47.0"," ,m,0913, ","   31.7","m,0328, ","","","","","","","","","","","     412.6","6","     412.6","m","    785.7"," ,m","     17.85","m","     25.15","m","     10.55","m"
"MXN00020040","1976","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    250.9","","     250.9","m","       125","m","        69","m","         2","m","         0","m","         0","m","         0","m","       321","m","         2","m","    0.6","m,0213, ","  30.2"," ,m,0708, ","   32.8","m,0601,+","","","","","","","","","","","     498.2","2","     498.2","m","    745.9"," ,m","     17.77","m","     24.99","m","     10.56","m"
"MXN00020040","1977","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    307.9","","     307.9","m","       103","m","        46","m","         2","m","         0","m","         0","m","         0","m","       344","m","         2","m","    0.6","m,1223, ","  34.8"," ,m,0611, ","   32.8","m,0521,+","","","","","","","","","","","     358.2","2","     358.2","m","    474.3"," ,m","     18.28","m","     25.88","m","     10.68","m"
"MXN00020040","1978","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    269.2","","     269.2","m","       127","m","        78","m","         6","m","         0","m","         0","m","         0","m","       316","m","         1","m","    2.8","m,1216, ","  54.6"," ,m,0603, ","   33.9","m,0508, ","","","","","","","","","","","     348.3","3","     348.3","m","    867.1"," ,m","     17.85","m","     24.70","m","     11.01","m"
"MXN00020040","1979","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    269.1","","     269.1","m","        98","m","        70","m","         6","m","         0","m","         0","m","         0","m","       305","m","         4","m","    1.7","m,0110, ","  43.9"," ,m,0910, ","   33.9","m,0521, ","","","","","","","","","","","     447.9","9","     447.9","m","    816.8"," ,m","     17.87","m","     24.78","m","     10.95","m"
"MXN00020040","1980","17.2667","-96.5333","1925.7","IXTEPEJI, MX","    296.5","","     296.5","m","        95","m","        64","m","         9","m","         0","m","         0","m","         0","m","       330","m","         9","m","    1.7","m,1230,+","  48.8"," ,m,0926, ","   32.8","m,0529,+","","","","","","","","","","","     443.5","5","     443.5","m","    818.5"," ,m","     17.92","m","     25.46","m","     10.38","m"
