"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00027480","1931","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        62","6","        37","6","         5","6","","","","","","","","","","","","","","","         2"," ","","","","","","","","","  52.8"," ,6,1122, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    462.3"," ,6","","","","","","","","","",""
"USC00027480","1932","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        51","6","        30","6","         1","6","","","","","","","","","","","","","","","","","","","","","","","","","  36.8"," ,6,0210, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    294.9"," ,6","","","","","","","","","",""
"USC00027480","1933","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        49","6","        27","6","         3","6","","","","","","","","","","","","","","","         2"," ","","","","","","","","","  30.5"," ,6,0207, ","","","","","","","","","","","","","","","","","","","","","","","","","    1156.2","2","    1156.2"," ","","","","","    291.1"," ,6","","","","","","","","","",""
"USC00027480","1934","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        30","6","        20","6","         3","6","","","","","","","","","","","","","","","         1"," ","","","","","","","","","  40.9"," ,6,1229, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    250.3"," ,6","","","","","","","","","",""
"USC00027480","1935","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        57","6","        37","6","         5","6","","","","","","","","","","","","","","","         4"," ","","","","","","","","","  45.2"," ,6,0409, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    495.9"," ,6","","","","","","","","","",""
"USC00027480","1936","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        53","6","        37","6","         0","6","","","","","","","","","","","","","","","","","","","","","","","","","  23.9"," ,6,0217, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    337.9"," ,6","","","","","","","","","",""
"USC00027480","1937","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        41","6","        21","6","         1","6","","","","","","","","","","","","","","","","","","","","","","","","","  47.5"," ,6,0208, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    243.9"," ,6","","","","","","","","","",""
"USC00027480","1938","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        39","6","        23","6","         4","6","","","","","","","","","","","","","","","","","","","","","","","","","  40.6"," ,6,0304, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    334.5"," ,6","","","","","","","","","",""
"USC00027480","1939","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        44","6","        27","6","         1","6","","","","","","","","","","","","","","","         1"," ","","","","","","","","","  51.6"," ,6,1129, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    280.0"," ,6","","","","","","","","","",""
"USC00027480","1940","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1322.3","","    1322.3","6","        68","6","        40","6","         5","6","","","","","         0","6","        30","6","         0","6","       220","6","       123","6","","","","","   -3.3","6,0119,+","","","","","  56.4"," ,6,1119, ","   43.9","6,0619, ","","","-0.6","6,1111","","","","","","","","","0.0","6,0314","-2.2","6,0219","","","","","","","","","","","","","","","    481.2"," ,6","","","     19.10","6","     27.25","6","     10.96","6","",""
