"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0017C04S","2001","46.18","-117.54","1737.4","SPRUCE SPRINGS, WA US","","","     95.0","","      95.0","T","       121","T","       121","T","         5","T","      167","","         0","T","       189","T","        49","T","        81","T","         1","T","  -16.2","T,0207, ","  1067"," ,T,1218, ","  38.1"," ,T,1128, ","   32.9","T,0812, ","-2.1","T,1009","-2.6","T,1011","-5.2","T,1023","-9.0","T,1126","-9.0","T,1126","-0.3","T,0625","-2.4","T,0612","-4.6","T,0506","-8.3","T,0414","-10.0","T,0303","","","","","    856.5"," ,T","      5.79","T","     10.91","T","      0.67","T"
"USS0017C04S","2002","46.18","-117.54","1737.4","SPRUCE SPRINGS, WA US","","","     78.0","","      78.0","T","       116","T","       116","T","         2","T","      182","","         0","T","       200","T","        57","T","        62","T","         4","T","  -16.4","T,1031, ","  1803"," ,T,0319, ","  27.9"," ,T,1214, ","   34.6","T,0713, ","-1.3","T,0929","-2.7","T,1001","-5.7","T,1011","-12.0","T,1029","-12.0","T,1029","-1.5","T,0609","-4.1","T,0608","-4.6","T,0510","-7.1","T,0507","-12.7","T,0318","    4815.4","4","    4815.4","T","    806.3"," ,T","      5.21","T","     10.21","T","      0.20","T"
"USS0017C04S","2003","46.18","-117.54","1737.4","SPRUCE SPRINGS, WA US","","","    148.8","","     148.8","T","       124","T","       124","T","         5","T","      185","","         0","T","       193","T","        53","T","        91","T","         6","T","  -16.8","T,0223, ","  1803"," ,T,0308, ","  58.4"," ,T,0307, ","   33.7","T,0723, ","-0.2","T,0916","-2.2","T,1024","-7.8","T,1029","-7.8","T,1029","-12.9","T,1030","-0.2","T,0622","-2.8","T,0519","-4.8","T,0518","-6.8","T,0406","-9.8","T,0301","    4543.0","0","    4543.0","T","    938.4"," ,T","      6.21","T","     11.11","T","      1.31","T"
"USS0017C04S","2004","46.18","-117.54","1737.4","SPRUCE SPRINGS, WA US","","","     95.0","","      95.0","T","       114","T","       114","T","         1","T","      151","","         2","T","       185","T","        45","T","        61","T","         0","T","  -23.3","T,0105, ","  1245"," ,T,0305,+","  30.5"," ,T,0519, ","   31.7","T,0814, ","0.0","T,0919","-2.3","T,1018","-7.6","T,1031","-7.6","T,1031","-9.5","T,1120","-0.3","T,0615","-2.8","T,0513","-8.2","T,0401","-8.2","T,0401","-9.0","T,0303","    4547.9","9","    4547.9","T","    757.9"," ,T","      5.96","T","     10.78","T","      1.13","T"
"USS0017C04S","2005","46.18","-117.54","1737.4","SPRUCE SPRINGS, WA US","       0.8","T","     82.9","","      82.9","T","       104","T","       104","T","         4","T","      149","","         0","T","       168","T","        45","T","        59","T","         0","T","  -15.8","T,1206, ","   660"," ,T,1203, ","  40.6"," ,T,0327, ","   32.1","T,0821, ","-0.1","T,1001","-2.5","T,1003","-4.4","T,1102","-8.1","T,1108","-10.8","T,1114","-0.4","T,0612","-4.8","T,0428","-4.8","T,0428","-6.8","T,0405","-9.3","T,0216","    4591.9","9","    4591.9","T","    732.3"," ,T","      5.85","T","     10.83","T","      0.87","T"
"USS0017C04S","2006","46.18","-117.54","1737.4","SPRUCE SPRINGS, WA US","       0.8","T","    127.8","","     127.8","T","       115","T","       115","T","         6","T","      185","","         4","T","       196","T","        59","T","        77","T","         2","T","  -24.2","T,0217, ","  1626"," ,T,0325, ","  43.2"," ,T,1107, ","   33.4","T,0723, ","-1.2","T,0914","-3.2","T,1025","-7.6","T,1029","-7.6","T,1029","-12.4","T,1030","-0.7","T,0527","-5.5","T,0509","-5.5","T,0509","-6.8","T,0502","-10.7","T,0313","    4761.7","7","    4761.7","T","   1052.9"," ,T","      5.57","T","     10.49","T","      0.65","T"
"USS0017C04S","2007","46.18","-117.54","1737.4","SPRUCE SPRINGS, WA US","","","     88.4","","      88.4","T","       119","T","       119","T","         2","T","      162","","         4","T","       177","T","        66","T","        66","T","         0","T","  -19.9","T,0111, ","  1219"," ,T,0302, ","  61.0"," ,T,1203, ","   31.8","T,0705, ","-0.3","T,0923","-3.4","T,0928","-4.8","T,1026","-6.8","T,1113","-9.9","T,1120","-0.7","T,0625","-2.4","T,0528","-4.6","T,0505","-8.1","T,0403","-9.3","T,0321","    4713.3","3","    4713.3","T","    803.4"," ,T","      5.33","T","     10.03","T","      0.63","T"
"USS0017C04S","2008","46.18","-117.54","1737.4","SPRUCE SPRINGS, WA US","","","     71.9","","      71.9","T","       152","T","       152","T","         6","T","      189","","         3","T","       196","T","        67","T","        55","T","         0","T","  -19.8","T,0121, ","  2083"," ,T,0408, ","  35.6"," ,T,0131, ","   31.9","T,0817, ","-1.3","T,0922","-2.7","T,1008","-4.8","T,1009","-6.8","T,1011","-10.6","T,1204","-0.4","T,0611","-5.4","T,0610","-5.4","T,0610","-7.6","T,0501","-9.6","T,0421","    5151.6","6","    5151.6","T","   1060.4"," ,T","      4.55","T","      9.11","T","     -0.01","T"
"USS0017C04S","2009","46.18","-117.54","1737.4","SPRUCE SPRINGS, WA US","","","     81.4","","      81.4","T","       123","T","       123","T","        12","T","      208","","         5","T","       194","T","        61","T","        64","T","         0","T","  -23.7","T,1208, ","  2515"," ,T,0402, ","  50.8"," ,T,0305, ","   31.8","T,0801, ","-0.8","T,0929","-3.5","T,0930","-7.8","T,1009","-7.8","T,1009","-9.0","T,1010","-0.2","T,0622","-3.6","T,0520","-4.8","T,0513","-7.8","T,0424","-8.9","T,0414","    4846.0","0","    4846.0","T","   1161.8"," ,T","      4.95","T","      9.61","T","      0.28","T"
"USS0017C04S","2010","46.18","-117.54","1737.4","SPRUCE SPRINGS, WA US","       0.1","T","     43.1","","      43.1","T","       134","T","       134","T","         4","T","      183","","         3","T","       193","T","        45","T","        47","T","         0","T","  -24.6","T,1124, ","   787"," ,T,1229,+","  30.5"," ,T,0602,+","   29.5","T,0825,+","-0.7","T,1011","-2.5","T,1024","-5.2","T,1108","-6.7","T,1111","-10.0","T,1122","-0.1","T,0617","-2.3","T,0524","-6.2","T,0506","-7.8","T,0504","-10.2","T,0409","    4970.8","8","    4970.8","T","    874.6"," ,T","      4.99","T","      9.43","T","      0.55","T"
