"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00053592","1940","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","     14.9","","      14.9","6","        90","6","        39","6","         1","6","","","        21","6","        34","6","       228","6","        34","6","       113","6","         0","6","","","  -40.0","6,0119, ","","","   356"," ,6,0311, ","  27.2"," ,6,0703, ","   31.7","6,0725, ","-3.3","6,1002","-3.3","6,1002","-5.6","6,1007","-8.9","6,1029","-8.9","6,1029","-0.6","6,0624","-2.8","6,0610","-4.4","6,0519","-8.9","6,0423","-8.9","6,0423","    4819.7","7","    4819.7","6","    310.9"," ,6","     1612"," ,6","      4.97","6","     13.86","6","     -3.91","6","",""
"USC00053592","1941","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      1.2","","       1.2","6","       128","6","        54","6","         2","6","","","","","        39","6","       233","6","        39","6","       103","6","         0","6","","","  -28.9","6,0203, ","","","","","  30.7"," ,6,0908, ","   30.6","6,0723, ","0.0","6,0904","-2.2","6,0905","-4.4","6,0909","-6.7","6,1007","-12.2","6,1031","-1.1","6,0609","-2.8","6,0430","-5.0","6,0425","-6.7","6,0423","-10.6","6,0421","    4946.7","7","    4946.7","6","    427.1"," ,6","","","      4.19","6","     13.11","6","     -4.74","6","",""
"USC00053592","1942","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      0.8","","       0.8","6","        87","6","        50","6","         0","6","","","","","        62","6","       245","6","        68","6","       114","6","         0","6","","","  -40.0","6,0218, ","","","","","  20.1"," ,6,0319, ","   31.1","6,0713, ","0.0","6,0907","-5.0","6,0919","-5.0","6,0919","-6.7","6,0920","-8.9","6,1019","0.0","6,0629","-2.2","6,0601","-6.7","6,0514","-6.7","6,0514","-10.6","6,0403","    5492.3","3","    5492.3","6","    364.6"," ,6","","","      2.93","6","     12.21","6","     -6.35","6","",""
"USC00053592","1943","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      1.1","","       1.1","6","        97","6","        43","6","         1","6","","","        20","6","        42","6","       244","6","        44","6","       128","6","         0","6","","","  -32.8","6,0119, ","","","   203"," ,6,0117, ","  33.0"," ,6,0602, ","   29.4","6,0815,+","-0.6","6,0901","-2.8","6,0904","-5.0","6,1007","-6.7","6,1015","-8.9","6,1024","-0.6","6,0618","-2.2","6,0616","-5.0","6,0520","-10.0","6,0414","-10.0","6,0414","    4945.3","3","    4945.3","6","    392.1"," ,6","     1433"," ,6","      4.58","6","     13.88","6","     -4.72","6","",""
"USC00053592","1944","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      3.6","","       3.6","6","        65","6","        55","6","         1","6","","","        29","6","        48","6","       236","6","        38","6","       126","6","         0","6","","","  -31.1","6,0114, ","","","   305"," ,6,0409, ","  30.5"," ,6,0409, ","   31.1","6,0814,+","0.0","6,0831","-3.3","6,0911","-4.4","6,0916","-7.2","6,1020","-12.2","6,1111","0.0","6,0623","-4.4","6,0505","-4.4","6,0505","-13.9","6,0504","-13.9","6,0504","    5263.4","4","    5263.4","6","    303.5"," ,6","     1920"," ,6","      4.17","6","     13.46","6","     -5.14","6","",""
"USC00053592","1945","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      5.7","","       5.7","6","        96","6","        76","6","         0","6","","","        38","6","        40","6","       253","6","        33","6","       111","6","         3","6","","","  -26.7","6,1219, ","","","   229"," ,6,1101,+","  24.1"," ,6,0423, ","   34.4","6,0907, ","-0.6","6,0908","-5.0","6,0913","-5.0","6,0913","-6.7","6,1021","-10.6","6,1025","0.0","6,0702","-4.4","6,0617","-4.4","6,0617","-7.8","6,0426","-18.3","6,0415","    4995.3","3","    4995.3","6","    568.5"," ,6","     3306"," ,6","      4.33","6","     13.33","6","     -4.66","6","",""
"USC00053592","1946","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      7.3","","       7.3","6","        57","6","        51","6","         0","6","","","        23","6","        38","6","       250","6","        33","6","       120","6","         0","6","","","  -29.4","6,0127, ","","","   305"," ,6,1124, ","  24.1"," ,6,0618, ","   31.7","6,0806,+","-1.7","6,0909","-3.3","6,0910","-6.7","6,0923","-6.7","6,0923","-11.1","6,1011","0.0","6,0704","-3.9","6,0620","-6.7","6,0524","-6.7","6,0524","-9.4","6,0411","    4943.3","3","    4943.3","6","    398.8"," ,6","     2148"," ,6","      4.88","6","     14.76","6","     -5.00","6","",""
"USC00053592","1947","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      6.8","","       6.8","6","        88","6","        71","6","         1","6","","","","","        38","6","       242","6","        46","6","       133","6","         2","6","","","  -31.7","6,0116, ","","","","","  29.2"," ,6,0612, ","   32.8","6,0729, ","-1.1","6,0911","-3.3","6,0912","-5.6","6,0915","-7.8","6,1023","-10.6","6,1025","-0.6","6,0624","-5.0","6,0613","-5.0","6,0613","-7.8","6,0427","-9.4","6,0416","    4912.0","0","    4912.0","6","    512.0"," ,6","","","      4.56","6","     13.88","6","     -4.76","6","",""
"USC00053592","1948","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      1.9","","       1.9","0","       104","0","        56","0","         0","0","","","        42","0","        42","0","       229","0","        66","0","       124","0","         0","0","","","  -38.3","0,0128, ","","","   229"," ,0,1223, ","  21.6"," ,0,1223, ","   29.4","0,0712, ","-2.8","0,0908","-2.8","0,0908","-5.6","0,1006","-12.2","0,1017","-12.2","0,1017","-0.6","6,0526","-4.4","6,0513","-4.4","6,0513","-7.8","6,0510","-12.8","6,0413","    5222.4","4","    5222.4","0","    373.3"," ,0","     2842"," ,0","      3.62","0","     12.33","0","     -5.09","0","",""
"USC00053592","1949","39.8789","-106.3333","2359.2","GREEN MOUNTAIN DAM, CO US","      0.3","","       0.3","0","       130","0","        59","0","         0","0","      129","","        22","0","        39","0","       237","0","        56","0","       104","0","         0","0","","","  -32.2","0,0129,+","   965"," ,0,0209,+","   130"," ,0,0328, ","  16.8"," ,0,0604, ","   28.3","0,0729, ","-2.2","0,0819","-2.2","0,0819","-6.1","0,1010","-10.0","0,1011","-10.0","0,1011","0.0","0,0603","-2.8","0,0602","-5.0","0,0501","-7.2","0,0416","-12.8","0,0415","    5429.8","8","    5429.8","0","    384.7"," ,0","     1361"," ,0","      3.82","0","     12.40","0","     -4.76","0","",""
