"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00418169","1989","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","   1649.7","","    1649.7","0","        74","0","        38","0","         6","0","","","","","         0","0","        27","0","         5","0","       264","0","       120","0","","","  -14.4","0,1223, ","","","","","  58.4"," ,0,0611, ","   38.9","0,0720,+","","","-1.1","0,1209","-3.9","0,1212","-5.0","0,1213","-8.9","0,1216","-8.9","0,1216","-0.6","0,0308","-3.9","0,0307","-6.7","0,0207","-6.7","0,0207","     813.5","5","     813.5","0","    635.2"," ,0","","","     19.80","0","     26.01","0","     13.60","0","     38731","0"
"USC00418169","1990","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","   1590.1","","    1590.1","0","       100","0","        44","0","         7","0","        0","","         0","0","         0","0","         9","0","         1","0","       280","0","       108","0","","","   -9.4","0,1223, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  63.5"," ,0,0716, ","   38.3","0,0625, ","    1947.5","0","0.0","0,1205","-3.9","0,1221","-6.1","0,1222","-9.4","0,1223","-9.4","0,1223","","","","","","","","","     932.7","7","     932.7","0","    670.9"," ,0","        0"," ,0","     20.68","0","     26.28","0","     15.07","0","     36013","0"
"USC00418169","1991","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","       131","0","        70","0","        11","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 143.0"," ,0,0404, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1309.4"," ,0","        0"," ,0","","","","","","","     28915","0"
"USC00418169","1992","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","   1416.8","","    1416.8","0","        96","0","        61","0","        25","0","        0","","         0","0","         0","0","         6","0","         0","0","       265","0","        81","0","","","   -2.2","0,0116, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  81.8"," ,0,0527, ","   36.1","0,0903,+","    1849.3","0","-1.7","0,1127","","","","","","","","","-0.6","0,0120","-2.2","0,0116","","","","","     804.5","5","     804.5","0","   1275.1"," ,0","        0"," ,0","     20.08","0","     25.52","0","     14.64","0","     22505","0"
"USC00418169","1993","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","   1464.9","","    1464.9","0","        81","0","        44","0","         6","0","        0","","         0","0","         0","0","        10","0","         0","0","       261","0","        88","0","","","   -4.4","0,1127, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  50.8"," ,0,0505, ","   36.7","0,0908,+","    1965.9","0","-1.7","0,1031","-4.4","0,1127","-4.4","0,1127","","","","","0.0","0,0314","","","","","","","     868.6","6","     868.6","0","    570.0"," ,0","        0"," ,0","     19.81","0","     25.28","0","     14.33","0","     29592","0"
"USC00418169","1995","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","   1578.1","","    1578.1","0","        82","0","        37","0","         9","0","        0","","         0","0","         0","0","         5","0","         0","0","       297","0","       126","0","","","   -3.9","0,1210, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  51.8"," ,0,0920, ","   38.9","0,0728, ","    1950.5","0","0.0","0,1209","-3.9","0,1210","","","","","","","-0.6","0,0308","","","","","","","","","","","    650.4"," ,0","        0"," ,0","     20.60","0","     27.17","0","     14.03","0","     24245","0"
"USC00418169","1996","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","   1746.0","","    1746.0","0","        73","0","        36","0","         1","0","        0","","         0","0","         0","0","        28","0","         2","0","       303","0","       143","0","","","   -7.2","0,1219, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.9"," ,0,0527, ","   38.9","0,0804,+","    2236.8","0","-0.6","0,1125","-5.6","0,1218","-5.6","0,1218","-7.2","0,1219","","","-1.1","0,0408","-3.3","0,0311","-5.6","0,0108","","","     794.9","9","     794.9","0","    444.4"," ,0","        0"," ,0","     21.05","0","     27.87","0","     14.22","0","",""
"USC00418169","1997","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","   1464.4","","    1464.4","0","        96","0","        55","0","         9","0","        0","","         0","0","         0","0","        19","0","         2","0","       253","0","       102","0","","","   -4.4","0,0114,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 104.4"," ,0,0622, ","   38.3","0,0820,+","","","0.0","0,1116","-3.9","0,1213","","","","","","","-0.6","0,0215","-3.3","0,0129","-4.4","0,0114","","","     810.1","1","     810.1","0","    936.3"," ,0","        0"," ,0","     19.82","0","     25.50","0","     14.15","0","     19509","0"
"USC00418169","1998","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","   1786.9","","    1786.9","0","        59","0","        41","0","        12","0","","","         0","0","         0","0","         5","0","         0","0","       284","0","       128","0","","","   -3.3","0,1226, ","","","     0"," ,0,1231,+"," 208.3"," ,0,1017, ","   41.1","0,0615, ","","","-2.8","0,1222","-2.8","0,1222","","","","","","","","","","","","","","","     775.7","7","     775.7","0","   1014.5"," ,0","        0"," ,0","     21.51","0","     27.41","0","     15.62","0","",""
"USC00418169","1999","29.4508","-98.7027","286.5","SAN ANTONIO SEAWORLD, TX US","","","","","        61","0","        33","0","         7","0","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","  50.8"," ,0,0614, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    551.3"," ,0","        0"," ,0","","","","","","","",""
