"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UPM00033929","1936","45.183","33.367","6.0","YEVPATORIIA, UP","        88","I","        44","I","         1","I","","","","","","","  28.9"," ,I,0627, ","","","","","","","","","","","","","","","    359.6"," ,I","",""
"UPM00033929","1937","45.183","33.367","6.0","YEVPATORIIA, UP","       100","I","        43","I","         2","I","","","","","","","  39.7"," ,I,1223, ","","","","","","","","","","","","","","","    430.5"," ,I","",""
"UPM00033929","1938","45.183","33.367","6.0","YEVPATORIIA, UP","        91","I","        45","I","         0","I","","","","","","","  21.9"," ,I,1025, ","","","","","","","","","","","","","","","    364.8"," ,I","",""
"UPM00033929","1939","45.183","33.367","6.0","YEVPATORIIA, UP","        97","I","        51","I","         3","I","","","","","","","  74.6"," ,I,0904, ","","","","","","","","","","","","","","","    564.5"," ,I","",""
"UPM00033929","1940","45.183","33.367","6.0","YEVPATORIIA, UP","        89","I","        37","I","         1","I","","","","","","","  90.7"," ,I,0805, ","","","","","","","","","","","","","","","    384.6"," ,I","",""
"UPM00033929","1946","45.183","33.367","6.0","YEVPATORIIA, UP","        66","I","        33","I","         2","I","","","","","","","  50.3"," ,I,1007, ","","","","","","","","","","","","","","","    345.0"," ,I","",""
"UPM00033929","1947","45.183","33.367","6.0","YEVPATORIIA, UP","        76","I","        40","I","         1","I","","","","","","","  42.1"," ,I,0722, ","","","","","","","","","","","","","","","    347.7"," ,I","",""
"UPM00033929","1948","45.183","33.367","6.0","YEVPATORIIA, UP","        62","I","        21","I","         0","I","","","","","","","  13.9"," ,I,0320, ","","","","","","","","","","","","","","","    196.6"," ,I","",""
"UPM00033929","1952","45.183","33.367","6.0","YEVPATORIIA, UP","        89","I","        42","I","         0","I","","","","","","","  17.0"," ,I,0206, ","","","","","","","","","","","","","","","    348.2"," ,I","",""
"UPM00033929","1953","45.183","33.367","6.0","YEVPATORIIA, UP","        72","I","        30","I","         1","I","","","","","","","  26.8"," ,I,0616, ","","","","","","","","","","","","","","","    266.1"," ,I","",""
"UPM00033929","1955","45.183","33.367","6.0","YEVPATORIIA, UP","       100","I","        54","I","         3","I","","","","","","","  36.6"," ,I,0827, ","","","","","","","","","","","","","","","    541.4"," ,I","",""
"UPM00033929","1958","45.183","33.367","6.0","YEVPATORIIA, UP","        91","I","        38","I","         0","I","","","","","","","  13.9"," ,I,0831, ","","","","","","","","","","","","","","","    295.4"," ,I","",""
"UPM00033929","1959","45.183","33.367","6.0","YEVPATORIIA, UP","        88","I","        38","I","         1","I","","","","","","","  43.4"," ,I,0803, ","","","","","","","","","","","","","","","    397.3"," ,I","",""
"UPM00033929","1960","45.183","33.367","6.0","YEVPATORIIA, UP","        83","I","        44","I","         2","I","","","","","","","  41.2"," ,I,0625, ","","","","","","","","","","","","","","","    432.9"," ,I","",""
"UPM00033929","1962","45.183","33.367","6.0","YEVPATORIIA, UP","        72","I","        38","I","         1","I","","","","","","","  36.5"," ,I,0721, ","","","","","","","","","","","","","","","    345.0"," ,I","",""
"UPM00033929","1963","45.183","33.367","6.0","YEVPATORIIA, UP","        67","I","        29","I","         1","I","","","","","","","  27.7"," ,I,0929, ","","","","","","","","","","","","","","","    265.0"," ,I","",""
"UPM00033929","1965","45.183","33.367","6.0","YEVPATORIIA, UP","        74","I","        35","I","         1","I","","","","","","","  48.0"," ,I,0711, ","","","","","","","","","","","","","","","    352.0"," ,I","",""
"UPM00033929","1966","45.183","33.367","6.0","YEVPATORIIA, UP","       110","I","        51","I","         2","I","","","","","","","  48.3"," ,I,0812, ","","","","","","","","","","","","","","","    452.8"," ,I","",""
"UPM00033929","1967","45.183","33.367","6.0","YEVPATORIIA, UP","        99","I","        50","I","         1","I","","","","","","","  35.3"," ,I,1213, ","","","","","","","","","","","","","","","    384.5"," ,I","",""
"UPM00033929","1968","45.183","33.367","6.0","YEVPATORIIA, UP","        97","I","        53","I","         1","I","","","","","","","  43.6"," ,I,0805, ","","","","","","","","","","","","","","","    462.0"," ,I","",""
"UPM00033929","1969","45.183","33.367","6.0","YEVPATORIIA, UP","        90","I","        42","I","         0","I","","","","","","","  24.4"," ,I,0921, ","","","","","","","","","","","","","","","    397.2"," ,I","",""
"UPM00033929","1970","45.183","33.367","6.0","YEVPATORIIA, UP","       114","I","        55","I","         1","I","","","","","","","  52.2"," ,I,0728, ","","","","","","","","","","","","","","","    471.4"," ,I","",""
"UPM00033929","1972","45.183","33.367","6.0","YEVPATORIIA, UP","        78","I","        36","I","         5","I","","","","","","","  41.2"," ,I,0706, ","","","","","","","","","","","","","","","    421.6"," ,I","",""
"UPM00033929","1973","45.183","33.367","6.0","YEVPATORIIA, UP","       111","I","        56","I","         2","I","","","","","","","  40.5"," ,I,0416, ","","","","","","","","","","","","","","","    545.7"," ,I","",""
"UPM00033929","1974","45.183","33.367","6.0","YEVPATORIIA, UP","        93","I","        39","I","         1","I","","","","","","","  33.9"," ,I,0517, ","","","","","","","","","","","","","","","    337.2"," ,I","",""
"UPM00033929","1975","45.183","33.367","6.0","YEVPATORIIA, UP","        66","I","        26","I","         1","I","","","","","","","  36.7"," ,I,0611, ","","","","","","","","","","","","","","","    252.3"," ,I","",""
"UPM00033929","1977","45.183","33.367","6.0","YEVPATORIIA, UP","       107","I","        47","I","         2","I","","","","","","","  56.5"," ,I,0629, ","","","","","","","","","","","","","","","    472.7"," ,I","",""
"UPM00033929","1979","45.183","33.367","6.0","YEVPATORIIA, UP","       103","I","        38","I","         1","I","","","","","","","  25.8"," ,I,0205, ","","","","","","","","","","","","","","","    331.2"," ,I","",""
"UPM00033929","1980","45.183","33.367","6.0","YEVPATORIIA, UP","       113","I","        49","I","         1","I","","","","","","","  58.0"," ,I,0728, ","","","","","","","","","","","","","","","    488.7"," ,I","",""
"UPM00033929","1981","45.183","33.367","6.0","YEVPATORIIA, UP","       115","I","        54","I","         2","I","","","","","","","  49.6"," ,I,0601, ","","","","","","","","","","","","","","","    514.9"," ,I","",""
"UPM00033929","1982","45.183","33.367","6.0","YEVPATORIIA, UP","        82","I","        42","I","         5","I","","","","","","","  51.8"," ,I,0716, ","","","","","","","","","","","","","","","    494.3"," ,I","",""
"UPM00033929","1984","45.183","33.367","6.0","YEVPATORIIA, UP","        82","I","        33","I","         2","I","","","","","","","  40.2"," ,I,0813, ","","","","","","","","","","","","","","","    337.6"," ,I","",""
"UPM00033929","1985","45.183","33.367","6.0","YEVPATORIIA, UP","       103","I","        55","I","         1","I","","","","","","","  36.8"," ,I,1016, ","","","","","","","","","","","","","","","    471.3"," ,I","",""
"UPM00033929","1986","45.183","33.367","6.0","YEVPATORIIA, UP","        92","I","        40","I","         1","I","","","","","","","  29.7"," ,I,0425, ","","","","","","","","","","","","","","","    360.3"," ,I","",""
"UPM00033929","1987","45.183","33.367","6.0","YEVPATORIIA, UP","       115","I","        48","I","         1","I","","","","","","","  26.4"," ,I,0412, ","","","","","","","","","","","","","","","    394.8"," ,I","",""
"UPM00033929","1988","45.183","33.367","6.0","YEVPATORIIA, UP","        99","I","        51","I","         1","I","","","","","","","  36.7"," ,I,0711, ","","","","","","","","","","","","","","","    491.1"," ,I","",""
"UPM00033929","1990","45.183","33.367","6.0","YEVPATORIIA, UP","        75","I","        31","I","         2","I","","","","","","","  37.4"," ,I,0501, ","","","","","","","","","","","","","","","    344.8"," ,I","",""
"UPM00033929","2003","45.183","33.367","6.0","YEVPATORIIA, UP","","","","","","","         0","u","        70","u","  -10.6","u,0204, ","","","-2.3","u,1029","-2.3","u,1029","-1.0","u,0330","-3.2","u,0329","-4.4","u,0322","-8.9","u,0227","-8.9","u,0227","","","      8.00","u"
