"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0009G09S","1996","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","       133","T","       133","T","         0","T","","","        71","T","       285","T","       112","T","        63","T","         0","T","  -34.0","T,1217, ","","","  20.3"," ,T,1210,+","   27.2","T,0812,+","-1.3","T,0804","-2.8","T,0805","-6.8","T,0906","-6.8","T,0906","-9.4","T,0918","-0.3","T,0721","-4.1","T,0623","-4.8","T,0601","-11.2","T,0521","-11.2","T,0521","    6952.8","8","    6952.8","T","    685.7"," ,T","     -0.98","T","      7.15","T","     -9.11","T"
"USS0009G09S","1997","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","        97","T","        97","T","         0","T","","","        90","T","       270","T","       117","T","        44","T","         0","T","  -29.0","T,0106, ","","","  22.9"," ,T,0608, ","   27.3","T,0716, ","-0.1","T,0912","-2.3","T,0915","-4.4","T,0917","-11.1","T,1008","-11.1","T,1008","-2.3","T,0714","-2.3","T,0714","-5.5","T,0702","-7.3","T,0509","-9.2","T,0508","    7004.3","3","    7004.3","T","    470.6"," ,T","     -0.84","T","      7.31","T","     -8.98","T"
"USS0009G09S","1998","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","       135","T","       135","T","         4","T","","","        68","T","       279","T","        99","T","        49","T","         0","T","  -36.1","T,1221, ","","","  33.0"," ,T,1228, ","   28.5","T,0718, ","-2.0","T,0824","-4.0","T,0919","-6.4","T,1004","-10.0","T,1005","-10.0","T,1005","-5.0","T,0628","-5.0","T,0628","-5.0","T,0628","-7.0","T,0606","-12.1","T,0421","    6915.8","8","    6915.8","T","    792.7"," ,T","     -0.32","T","      7.28","T","     -7.92","T"
"USS0009G09S","1999","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.0","","       0.0","T","       105","T","       105","T","         1","T","","","        62","T","       287","T","        96","T","        47","T","         0","T","  -30.3","T,0211, ","","","  25.4"," ,T,0920, ","   27.0","T,0727, ","-0.1","T,0903","-3.4","T,0908","-6.7","T,0926","-6.7","T,0926","-9.7","T,0928","-0.3","T,0716","-4.0","T,0628","-6.3","T,0518","-13.5","T,0517","-13.5","T,0517","    6776.1","1","    6776.1","T","    580.0"," ,T","      0.39","T","      8.44","T","     -7.65","T"
"USS0009G09S","2000","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      0.3","","       0.3","T","        98","T","        98","T","         1","T","","","        57","T","       258","T","        74","T","        63","T","         0","T","  -27.8","T,0103, ","","","  27.9"," ,T,0901, ","   29.6","T,0731, ","-0.8","T,0903","-3.6","T,0907","-5.1","T,0922","-8.9","T,0924","-8.9","T,0924","-1.0","T,0621","-3.6","T,0617","-5.3","T,0601","-12.5","T,0513","-12.5","T,0513","    5931.1","1","    5931.1","T","    597.8"," ,T","      1.41","T","      9.45","T","     -6.63","T"
"USS0009G09S","2001","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      1.7","","       1.7","T","        82","T","        82","T","         0","T","","","        55","T","       246","T","        69","T","        67","T","         0","T","  -29.3","T,0208, ","","","  20.3"," ,T,0612, ","   30.6","T,0806, ","-1.5","T,0906","-3.0","T,0907","-4.9","T,0908","-10.6","T,1005","-10.6","T,1005","-1.6","T,0619","-3.8","T,0614","-5.7","T,0613","-7.6","T,0521","-9.6","T,0423","    6201.7","7","    6201.7","T","    438.0"," ,T","      1.75","T","      9.93","T","     -6.43","T"
"USS0009G09S","2002","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","","","      4.1","","       4.1","T","        87","T","        87","T","         1","T","      238","","        66","T","       262","T","        83","T","        58","T","         0","T","  -33.4","T,0130, ","  1397"," ,T,0314, ","  25.4"," ,T,0427, ","   29.9","T,0714, ","-1.1","T,0810","-3.7","T,0921","-5.5","T,0922","-7.9","T,1012","-12.1","T,1025","-0.4","T,0620","-2.7","T,0612","-6.7","T,0610","-6.7","T,0610","-9.6","T,0523","    6185.9","9","    6185.9","T","    445.5"," ,T","      0.46","T","      8.57","T","     -7.65","T"
"USS0009G09S","2003","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","       0.5","T","      1.2","","       1.2","T","        95","T","        95","T","         1","T","      206","","        53","T","       258","T","        82","T","        61","T","         0","T","  -32.3","T,0224, ","  1397"," ,T,0307, ","  27.9"," ,T,0306, ","   29.2","T,0814, ","0.0","T,0908","-2.9","T,0912","-5.1","T,0914","-8.5","T,0918","-10.9","T,1011","-0.5","T,0627","-2.2","T,0607","-8.7","T,0520","-8.7","T,0520","-10.6","T,0519","    6217.7","7","    6217.7","T","    559.8"," ,T","      1.51","T","      9.28","T","     -6.27","T"
"USS0009G09S","2004","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","       0.5","T","      0.0","","       0.0","T","       117","T","       117","T","         4","T","      209","","        47","T","       265","T","        65","T","        31","T","         0","T","  -31.9","T,0106, ","  1321"," ,T,0306,+","  38.1"," ,T,1020, ","   26.4","T,0714, ","-0.5","T,0823","-2.3","T,0906","-5.2","T,0915","-7.0","T,1018","-12.5","T,1024","0.0","T,0706","-2.6","T,0612","-5.0","T,0525","-9.4","T,0425","-9.4","T,0425","    6150.5","5","    6150.5","T","    663.1"," ,T","      1.08","T","      8.51","T","     -6.35","T"
"USS0009G09S","2005","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","       0.4","T","      0.8","","       0.8","T","       104","T","       104","T","         1","T","      221","","        53","T","       268","T","        63","T","        47","T","         0","T","  -33.7","T,1207, ","  1600"," ,T,0324, ","  40.6"," ,T,1231, ","   28.9","T,0713, ","-2.3","T,0830","-2.3","T,0830","-5.4","T,0913","-7.2","T,1005","-11.6","T,1030","-0.4","T,0630","-2.7","T,0614","-5.6","T,0608","-8.1","T,0513","-9.2","T,0502","    6322.1","1","    6322.1","T","    623.3"," ,T","      1.25","T","      9.16","T","     -6.67","T"
"USS0009G09S","2006","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","       0.5","T","      2.9","","       2.9","T","       105","T","       105","T","         0","T","      220","","        57","T","       255","T","        77","T","        66","T","         0","T","  -31.3","T,1129, ","  1448"," ,T,0329, ","  22.9"," ,T,0102, ","   30.2","T,0729, ","-0.9","T,0831","-3.0","T,0901","-5.0","T,1010","-6.7","T,1017","-9.3","T,1020","-1.0","T,0623","-4.4","T,0531","-4.4","T,0531","-7.5","T,0511","-10.1","T,0510","    6192.1","1","    6192.1","T","    467.8"," ,T","      1.31","T","      9.38","T","     -6.77","T"
"USS0009G09S","2007","42.65","-109.26","2767.6","BIG SANDY OPENING, WY US","      19.1","T","      1.5","","       1.5","T","        94","T","        94","T","         0","T","      212","","        56","T","       258","T","        77","T","        67","T","         0","T","  -33.9","T,0202, ","  1270"," ,T,0227, ","  22.9"," ,T,1220, ","   29.2","T,0722, ","-0.9","T,0824","-4.7","T,0910","-4.7","T,0910","-13.0","T,1021","-13.0","T,1021","-0.2","T,0626","-2.2","T,0531","-4.6","T,0529","-7.4","T,0523","-8.9","T,0504","    6105.8","8","    6105.8","T","    481.0"," ,T","      1.87","T","      9.71","T","     -5.96","T"
