"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00027281","1906","33.649","-111.1088","794.0","ROOSEVELT 1 S, AZ US","","","","","        42","0","        35","0","         3","0","        0","","         1","0","","","","","","","","","","","","","         5"," ","","","     0","T,0,1229,+","    30"," ,0,0101, ","  32.0"," ,0,1204, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    405.2"," ,0","       30"," ,0","","","","","","","",""
"USC00027281","1907","33.649","-111.1088","794.0","ROOSEVELT 1 S, AZ US","","","","","        48","0","        35","0","         2","0","        0","","         0","0","","","","","","","","","","","         2"," ","        25"," ","","","     0"," ,0,1231,+","     0","T,0,0101, ","  45.2"," ,0,0830, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    412.0"," ,0","        0","T,0","","","","","","","",""
"USC00027281","1908","33.649","-111.1088","794.0","ROOSEVELT 1 S, AZ US","   1502.9","","    1502.9","0","        48","0","        32","0","         5","0","        0","","         0","0","         0","0","        24","0","         0","0","       238","0","       140","0","        13"," ","        34"," ","   -7.8","0,1218, ","     0"," ,0,1231,+","     0","T,0,0213,+","  40.4"," ,0,0817, ","   45.0","0,0624, ","","","0.0","0,1130","-2.2","0,1217","-7.8","0,1218","-7.8","0,1218","-1.7","0,0215","-3.3","0,0214","","","","","","","","","","","","","    491.2"," ,0","        0","T,0","     18.60","0","     26.34","0","     10.86","0","",""
"USC00027281","1909","33.649","-111.1088","794.0","ROOSEVELT 1 S, AZ US","   1730.2","","    1730.2","0","        40","0","        28","0","         1","0","        1","","         1","0","         0","0","        10","0","         0","0","       257","0","       139","0","         8"," ","        42"," ","   -2.8","0,1219, ","    25"," ,0,1205, ","    38"," ,0,1205, ","  27.4"," ,0,0905, ","   44.4","0,0713, ","","","-0.6","0,1204","-2.2","0,1205","","","","","-0.6","0,0223","","","","","","","    1215.8","8","    1215.8","0","","","","","    322.9"," ,0","       38"," ,0","     19.93","0","     27.32","0","     12.55","0","",""
"USC00027281","1910","33.649","-111.1088","794.0","ROOSEVELT 1 S, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","        28"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     979.1","1","     979.1","0","","","","","","","","","","","","","","","",""
"USC00027281","1911","33.649","-111.1088","794.0","ROOSEVELT 1 S, AZ US","","","","","        41","0","        37","0","         9","0","        0","","         0","0","","","","","         0","0","       240","0","       145","0","","","        11"," ","","","     0"," ,0,1231,+","     0","T,0,1225, ","  45.7"," ,0,0826, ","   42.8","0,0616, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    581.4"," ,0","        0","T,0","","","     26.69","0","","","",""
"USC00027281","1912","33.649","-111.1088","794.0","ROOSEVELT 1 S, AZ US","","","","","        33","0","        31","0","         6","0","        0","","         0","0","","","","","         0","0","       245","0","       119","0","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  54.6"," ,0,0310, ","   42.2","0,0712,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    478.7"," ,0","        0"," ,0","","","     26.44","0","","","",""
"USC00027281","1913","33.649","-111.1088","794.0","ROOSEVELT 1 S, AZ US","","","","","        39","0","        32","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.8"," ,0,0227, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    332.3"," ,0","        0"," ,0","","","","","","","",""
"USC00027281","1914","33.649","-111.1088","794.0","ROOSEVELT 1 S, AZ US","","","","","        46","0","        36","0","         6","0","        0","","         0","0","","","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  56.6"," ,0,1218, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    526.4"," ,0","        0"," ,0","","","","","","","",""
"USC00027281","1915","33.649","-111.1088","794.0","ROOSEVELT 1 S, AZ US","","","","","        67","0","        41","0","         5","0","        0","","         0","0","","","","","","","","","","","","","         5"," ","","","     0"," ,0,1231,+","     0","T,0,1231,+","  45.7"," ,0,1231, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    518.6"," ,0","        0","T,0","","","","","","","",""
