"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087648","2008","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","        26","S","   -3.6","S,0602, ","-0.6","S,0415","-3.6","S,0602","","","","","0.0","S,1008","","","","","      9.40","S"
"ARM00087648","2009","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","        44","S","   -8.0","S,0624, ","0.0","S,0506","-2.2","S,0529","-8.0","S,0624","-8.0","S,0624","-1.0","S,1008","","","","","      8.71","S"
"ARM00087648","2010","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","        12","S","   -4.0","S,0717, ","-0.6","S,0608","-3.0","S,0716","","","","","0.0","S,0815","","","","","      9.61","S"
"ARM00087648","2011","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","        44","S","   -5.3","S,0702, ","-0.5","S,0509","-3.0","S,0605","-5.3","S,0702","","","-0.5","S,1031","-2.5","S,0911","-4.4","S,0801","      8.67","S"
"ARM00087648","2012","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","        38","S","   -7.2","S,0727, ","-3.0","S,0424","-3.0","S,0424","-4.5","S,0707","-7.2","S,0727","-1.9","S,0926","","","","","      9.59","S"
"ARM00087648","2015","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","        18","S","   -4.6","S,0721, ","-1.8","S,0507","-2.5","S,0612","-4.6","S,0721","","","","","","","","","      9.89","S"
"ARM00087648","2017","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","         4","S","   -2.0","S,0620, ","-0.6","S,0531","","","","","","","","","","","","","     11.06","S"
"ARM00087648","2018","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","        12","S","   -3.8","S,0624, ","-0.4","S,0523","-3.8","S,0624","","","","","-0.2","S,0821","","","","","     10.16","S"
"ARM00087648","2019","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","        14","S","   -3.0","S,0814, ","-1.0","S,0706","","","","","","","-1.0","S,1003","-2.5","S,0905","","","      9.21","S"
"ARM00087648","2020","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","        19","S","   -4.9","S,0614, ","-1.9","S,0602","-4.9","S,0614","-4.9","S,0614","","","-0.4","S,0920","-2.3","S,0830","","","      9.03","S"
"ARM00087648","2022","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0","S","        43","S","   -6.4","S,0603, ","-1.7","S,0519","-2.9","S,0601","-6.4","S,0603","","","-2.0","S,1014","-2.4","S,0928","","","      8.21","S"
"ARM00087648","2023","-36.35","-57.733","9.0","DOLORES AIRPORT, AR","         0"," ","        21","S","   -4.4","S,0718, ","-0.9","S,0502","-2.4","S,0613","-4.4","S,0718","","","-1.9","S,1018","-2.9","S,1012","","","      9.16","S"
