"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00047031","1892","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        34","a","        18","a","         2","a","","","","","","","","","","","","","  43.7"," ,a,1108, ","","","","","","","","","","","","","","","    228.8"," ,a","","","","","",""
"ASN00047031","1893","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        34","a","        16","a","         2","a","","","","","","","","","","","","","  40.6"," ,a,0529, ","","","","","","","","","","","","","","","    187.1"," ,a","","","","","",""
"ASN00047031","1894","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        56","a","        22","a","         3","a","","","","","","","","","","","","","  40.6"," ,a,1213, ","","","","","","","","","","","","","","","    294.1"," ,a","","","","","",""
"ASN00047031","1895","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        28","a","        17","a","         0","a","","","","","","","","","","","","","  11.7"," ,a,0115, ","","","","","","","","","","","","","","","    118.9"," ,a","","","","","",""
"ASN00047031","1896","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        34","a","        17","a","         4","a","","","","","","","","","","","","","  41.7"," ,a,0225, ","","","","","","","","","","","","","","","    221.4"," ,a","","","","","",""
"ASN00047031","1897","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        22","a","        13","a","         0","a","","","","","","","","","","","","","  20.3"," ,a,0618, ","","","","","","","","","","","","","","","    113.5"," ,a","","","","","",""
"ASN00047031","1898","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        26","a","        14","a","         1","a","","","","","","","","","","","","","  58.2"," ,a,0210, ","","","","","","","","","","","","","","","    182.6"," ,a","","","","","",""
"ASN00047031","1899","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        21","a","        10","a","         0","a","","","","","","","","","","","","","  20.3"," ,a,0623, ","","","","","","","","","","","","","","","    109.6"," ,a","","","","","",""
"ASN00047031","1900","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        36","a","        15","a","         0","a","","","","","","","","","","","","","  19.1"," ,a,0120, ","","","","","","","","","","","","","","","    147.2"," ,a","","","","","",""
"ASN00047031","1901","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        34","a","        18","a","         1","a","","","","","","","","","","","","","  30.2"," ,a,0825, ","","","","","","","","","","","","","","","    180.4"," ,a","","","","","",""
"ASN00047031","1902","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        24","a","         7","a","         0","a","","","","","","","","","","","","","  17.0"," ,a,1217, ","","","","","","","","","","","","","","","     76.9"," ,a","","","","","",""
"ASN00047031","1903","-31.8803","141.593","238.0","BROKEN HILL STEPHENS CREEK RE, AS","        38","a","        26","a","         4","a","","","","","","","","","","","","","  43.4"," ,a,1022, ","","","","","","","","","","","","","","","    315.8"," ,a","","","","","",""
