"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087222","2012","-28.596","-65.752","463.9","CATAMARCA, AR","         0","S","        13","S","   -4.6","S,0608, ","-0.6","S,0607","-4.6","S,0608","-4.6","S,0608","-1.1","S,0808","     15.34","S"
"ARM00087222","2018","-28.596","-65.752","463.9","CATAMARCA, AR","         0","S","        14","S","   -5.1","S,0725, ","-0.1","S,0615","-2.2","S,0617","-5.1","S,0725","-0.1","S,0809","     14.14","S"
"ARM00087222","2019","-28.596","-65.752","463.9","CATAMARCA, AR","         0","S","        10","S","   -2.7","S,0627, ","-1.4","S,0618","-2.7","S,0627","","","-0.8","S,0812","     13.90","S"
"ARM00087222","2022","-28.596","-65.752","463.9","CATAMARCA, AR","         0","S","        14","S","   -2.7","S,0713,+","-1.7","S,0619","-2.7","S,0624","","","-1.2","S,0811","     13.38","S"
"ARM00087222","2023","-28.596","-65.752","463.9","CATAMARCA, AR","         0","S","         7","S","   -3.6","S,0618, ","-1.2","S,0615","-3.6","S,0618","","","","","     15.48","S"
