"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00066160","1901","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       125","a","        68","a","         8","a","","","","","","","","","","","",""," 110.7"," ,a,0427, ","","","","","","","   1018.3"," ,a","","","","","",""
"ASN00066160","1902","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       149","a","        82","a","        13","a","","","","","","","","","","","",""," 132.1"," ,a,1013, ","","","","","","","   1202.3"," ,a","","","","","",""
"ASN00066160","1903","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       149","a","        85","a","        12","a","","","","","","","","","","","","","  64.8"," ,a,1207, ","","","","","","","   1082.4"," ,a","","","","","",""
"ASN00066160","1904","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       133","a","        81","a","        14","a","","","","","","","","","","","",""," 117.3"," ,a,0709, ","","","","","","","   1288.1"," ,a","","","","","",""
"ASN00066160","1905","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       118","a","        65","a","        11","a","","","","","","","","","","","","","  71.9"," ,a,0215, ","","","","","","","    959.5"," ,a","","","","","",""
"ASN00066160","1906","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       129","a","        61","a","        10","a","","","","","","","","","","","",""," 134.1"," ,a,0529, ","","","","","","","    946.9"," ,a","","","","","",""
"ASN00066160","1907","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       109","a","        55","a","         6","a","","","","","","","","","","","","","  78.7"," ,a,0316, ","","","","","","","    827.6"," ,a","","","","","",""
"ASN00066160","1908","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       132","a","        81","a","        16","a","","","","","","","","","","","",""," 150.4"," ,a,0728, ","","","","","","","   1213.5"," ,a","","","","","",""
"ASN00066160","1909","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       131","a","        73","a","         7","a","","","","","","","","","","","","","  42.9"," ,a,0221, ","","","","","","","    911.5"," ,a","","","","","",""
"ASN00066160","1910","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       130","a","        64","a","         9","a","","","","","","","","","","","",""," 121.2"," ,a,1213, ","","","","","","","   1137.4"," ,a","","","","","",""
"ASN00066160","1911","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       128","a","        79","a","        14","a","","","","","","","","","","","",""," 150.1"," ,a,0113, ","","","","","","","   1212.0"," ,a","","","","","",""
"ASN00066160","1912","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       140","a","        75","a","        14","a","","","","","","","","","","","","","  76.2"," ,a,0301, ","","","","","","","   1190.2"," ,a","","","","","",""
"ASN00066160","1913","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       120","a","        65","a","        17","a","","","","","","","","","","","",""," 146.6"," ,a,0309, ","","","","","","","   1422.6"," ,a","","","","","",""
"ASN00066160","1914","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       138","a","        87","a","        21","a","","","","","","","","","","","","","  89.9"," ,a,0702, ","","","","","","","   1568.6"," ,a","","","","","",""
"ASN00066160","1915","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       101","a","        63","a","        12","a","","","","","","","","","","","","","  78.7"," ,a,0407, ","","","","","","","   1003.9"," ,a","","","","","",""
"ASN00066160","1916","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       142","a","        83","a","        13","a","","","","","","","","","","","",""," 100.6"," ,a,1005, ","","","","","","","   1195.9"," ,a","","","","","",""
"ASN00066160","1917","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       135","a","        74","a","        18","a","","","","","","","","","","","",""," 106.7"," ,a,0625, ","","","","","","","   1543.7"," ,a","","","","","",""
"ASN00066160","1918","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       167","a","        83","a","        10","a","","","","","","","","","","","",""," 109.7"," ,a,0112, ","","","","","","","   1192.8"," ,a","","","","","",""
"ASN00066160","1919","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       160","a","        80","a","        15","a","","","","","","","","","","","",""," 106.7"," ,a,0526, ","","","","","","","   1416.2"," ,a","","","","","",""
"ASN00066160","1920","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       158","a","        77","a","        13","a","","","","","","","","","","","",""," 117.3"," ,a,1213, ","","","","","","","   1193.5"," ,a","","","","","",""
"ASN00066160","1921","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       138","a","        64","a","        12","a","","","","","","","","","","","",""," 104.1"," ,a,0702, ","","","","","","","    997.8"," ,a","","","","","",""
"ASN00066160","1922","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       136","a","        74","a","         7","a","","","","","","","","","","","","","  81.3"," ,a,0703, ","","","","","","","    970.9"," ,a","","","","","",""
"ASN00066160","1923","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       114","a","        65","a","        10","a","","","","","","","","","","","","","  61.7"," ,a,0712, ","","","","","","","   1014.4"," ,a","","","","","",""
"ASN00066160","1924","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       138","a","        72","a","         8","a","","","","","","","","","","","","","  49.8"," ,a,0403, ","","","","","","","    988.0"," ,a","","","","","",""
"ASN00066160","1925","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       141","a","        74","a","        14","a","","","","","","","","","","","",""," 121.9"," ,a,0511, ","","","","","","","   1353.0"," ,a","","","","","",""
"ASN00066160","1926","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       120","a","        71","a","        10","a","","","","","","","","","","","",""," 116.8"," ,a,0325, ","","","","","","","    948.2"," ,a","","","","","",""
"ASN00066160","1927","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       137","a","        79","a","        18","a","","","","","","","","","","","",""," 115.6"," ,a,0417, ","","","","","","","   1359.0"," ,a","","","","","",""
"ASN00066160","1928","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       119","a","        79","a","        10","a","","","","","","","","","","","","","  69.3"," ,a,0726, ","","","","","","","   1133.1"," ,a","","","","","",""
"ASN00066160","1929","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       109","a","        82","a","        19","a","","","","","","","","","","","",""," 147.8"," ,a,0211, ","","","","","","","   1625.9"," ,a","","","","","",""
"ASN00066160","1930","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       123","a","        78","a","        17","a","","","","","","","","","","","","","  88.9"," ,a,0124, ","","","","","","","   1264.7"," ,a","","","","","",""
"ASN00066160","1931","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       124","a","        93","a","        15","a","","","","","","","","","","","",""," 176.5"," ,a,0707, ","","","","","","","   1377.2"," ,a","","","","","",""
"ASN00066160","1932","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       124","a","        83","a","        11","a","","","","","","","","","","","","","  86.9"," ,a,0915, ","","","","","","","   1195.3"," ,a","","","","","",""
"ASN00066160","1933","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       121","a","        82","a","         8","a","","","","","","","","","","","","","  85.1"," ,a,0520, ","","","","","","","   1298.6"," ,a","","","","","",""
"ASN00066160","1934","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       164","a","        97","a","        22","a","","","","","","","","","","","",""," 114.8"," ,a,0413, ","","","","","","","   1847.9"," ,a","","","","","",""
"ASN00066160","1935","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       116","a","        67","a","        10","a","","","","","","","","","","","","","  74.9"," ,a,1204, ","","","","","","","    958.1"," ,a","","","","","",""
"ASN00066160","1936","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       109","a","        61","a","         6","a","","","","","","","","","","","","","  47.8"," ,a,0624, ","","","","","","","    719.9"," ,a","","","","","",""
"ASN00066160","1937","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       131","a","        85","a","        17","a","","","","","","","","","","","",""," 109.2"," ,a,0424, ","","","","","","","   1517.3"," ,a","","","","","",""
"ASN00066160","1938","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       121","a","        66","a","        12","a","","","","","","","","","","","",""," 200.7"," ,a,0131, ","","","","","","","   1170.2"," ,a","","","","","",""
"ASN00066160","1939","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       105","a","        60","a","        11","a","","","","","","","","","","","","","  72.1"," ,a,0306, ","","","","","","","    912.4"," ,a","","","","","",""
"ASN00066160","1940","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","        89","a","        60","a","        11","a","","","","","","","","","","","",""," 110.5"," ,a,0708, ","","","","","","","   1197.5"," ,a","","","","","",""
"ASN00066160","1941","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       100","a","        73","a","         6","a","","","","","","","","","","","","","  56.6"," ,a,0127, ","","","","","","","    800.7"," ,a","","","","","",""
"ASN00066160","1942","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","        94","a","        67","a","        12","a","","","","","","","","","","","",""," 302.3"," ,a,0328, ","","","","","","","   1319.4"," ,a","","","","","",""
"ASN00066160","1943","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","        87","a","        74","a","        19","a","","","","","","","","","","","",""," 158.8"," ,a,0517, ","","","","","","","   1508.5"," ,a","","","","","",""
"ASN00066160","1944","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","        85","a","        55","a","         8","a","","","","","","","","","","","","","  72.6"," ,a,0321, ","","","","","","","    828.4"," ,a","","","","","",""
"ASN00066160","1945","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","        95","a","        69","a","        15","a","","","","","","","","","","","",""," 176.5"," ,a,0409, ","","","","","","","   1450.0"," ,a","","","","","",""
"ASN00066160","1946","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","        86","a","        38","a","        10","a","","","","","","","","","","","",""," 132.1"," ,a,0416, ","","","","","","","    885.7"," ,a","","","","","",""
"ASN00066160","1947","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       147","a","        80","a","         9","a","","","","","","","","","","","","","  69.1"," ,a,0422, ","","","","","","","   1008.2"," ,a","","","","","",""
"ASN00066160","1948","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       123","a","        74","a","        12","a","","","","","","","","","","","","","  88.4"," ,a,0503, ","","","","","","","   1077.7"," ,a","","","","","",""
"ASN00066160","1949","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       158","a","        94","a","        20","a","","","","","","","","","","","",""," 145.5"," ,a,0110, ","","","","","","","   1658.2"," ,a","","","","","",""
"ASN00066160","1950","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       193","a","       126","a","        26","a","","","","","","","","","","","",""," 116.6"," ,a,0119, ","","","","","","","   2189.1"," ,a","","","","","",""
"ASN00066160","1951","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       142","a","        87","a","        14","a","","","","","","","","","","","","","  75.2"," ,a,0801, ","","","","","","","   1296.5"," ,a","","","","","",""
"ASN00066160","1952","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       129","a","        79","a","        24","a","","","","","","","","","","","",""," 104.1"," ,a,0726, ","","","","","","","   1547.1"," ,a","","","","","",""
"ASN00066160","1953","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       105","a","        71","a","        10","a","","","","","","","","","","","","","  85.9"," ,a,0502, ","","","","","","","   1057.9"," ,a","","","","","",""
"ASN00066160","1954","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       113","a","        76","a","         8","a","","","","","","","","","","","","","  82.3"," ,a,0222, ","","","","","","","    922.0"," ,a","","","","","",""
"ASN00066160","1955","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       135","a","        90","a","        22","a","","","","","","","","","","","",""," 153.7"," ,a,0501, ","","","","","","","   1753.5"," ,a","","","","","",""
"ASN00066160","1956","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       144","a","        91","a","        18","a","","","","","","","","","","","",""," 192.3"," ,a,0210, ","","","","","","","   1722.6"," ,a","","","","","",""
"ASN00066160","1957","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","        98","a","        56","a","         8","a","","","","","","","","","","","",""," 154.9"," ,a,0710, ","","","","","","","    891.7"," ,a","","","","","",""
"ASN00066160","1958","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       119","a","        77","a","        15","a","","","","","","","","","","","",""," 185.4"," ,a,0209, ","","","","","","","   1495.1"," ,a","","","","","",""
"ASN00066160","1959","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       142","a","       105","a","        14","a","","","","","","","","","","","",""," 127.0"," ,a,0219, ","","","","","","","   1560.2"," ,a","","","","","",""
"ASN00066160","1960","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       131","a","        86","a","        14","a","","","","","","","","","","","",""," 138.4"," ,a,1022, ","","","","","","","   1342.7"," ,a","","","","","",""
"ASN00066160","1961","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       153","a","        87","a","        14","a","","","","","","","","","","","",""," 141.0"," ,a,1118, ","","","","","","","   1454.4"," ,a","","","","","",""
"ASN00066160","1962","-33.8959","151.2341","38.0","CENTENNIAL PARK, AS","       121","a","        80","a","         9","a","","","","","","","","","","","",""," 132.1"," ,a,0513, ","","","","","","","   1134.0"," ,a","","","","","",""
