"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00118146","1991","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","","","","","","","        16"," ","        14"," ","","","",""
"USC00118146","1992","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","       100","0","        79","0","        15","0","        42"," ","        27"," "," 101.6"," ,0,0707, ","   1188.4"," ,0"
"USC00118146","1993","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","       109","0","        89","0","        19","0","        34"," ","        54"," ","  66.0"," ,0,0809, ","   1414.4"," ,0"
"USC00118146","1994","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","        85","0","        73","0","         9","0","        13"," ","        35"," ","  45.7"," ,0,1105, ","    927.9"," ,0"
"USC00118146","1995","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","","","","","","","        37"," ","        46"," ","","","",""
"USC00118146","1996","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","        76","0","        65","0","        11","0","        33"," ","        42"," ","  85.9"," ,0,0720, ","   1006.2"," ,0"
"USC00118146","1997","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","","","","","","","        20"," ","        35"," ","","","",""
"USC00118146","1998","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","","","","","","","        32"," ","        44"," ","","","",""
"USC00118146","2010","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","","","","","","","         7"," ","        40"," ","","","",""
"USC00118146","2011","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","       108","7","        71","7","        17","7","        16"," ","        42"," ","  72.6"," ,7,0526, ","   1211.1"," ,7"
"USC00118146","2012","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","        80","7","        58","7","         6","7","        14"," ","        23"," ","  73.4"," ,7,0504, ","    728.2"," ,7"
"USC00118146","2013","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","       106","7","        72","7","         9","7","        14"," ","        27"," "," 132.3"," ,7,0418, ","   1082.4"," ,7"
"USC00118146","2014","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","","","","","","","         1"," ","","","","","",""
