"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00247295","1914","48.75","-113.433333","1371.6","ST. MARY S LAKE, MT US","","","","","","","         1"," ","","","","","","","",""
"USC00247295","1916","48.75","-113.433333","1371.6","ST. MARY S LAKE, MT US","        61","6","        60","6","         5","6","","","  61.0"," ,6,0209, ","    5671.0","0","    5671.0","6","    756.0"," ,6"
