"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00241919","1912","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     55.0","","      55.0","0","       119","0","        72","0","         0","0","        15","0","       212","0","        41","0","        89","0","        11","0","","","  -30.6","0,0107, ","  22.9"," ,0,0109, ","   36.7","0,0626, ","-3.9","0,0830","-3.9","0,0830","-5.0","0,1003","-6.7","0,1007","-8.9","0,1125","-0.6","0,0704","-2.8","0,0605","-6.7","0,0501","-6.7","0,0501","-8.9","0,0331","    4940.8","8","    4940.8","0","    577.2"," ,0","      5.44","0","     12.60","0","     -1.72","0"
"USC00241919","1913","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     96.4","","      96.4","0","        96","0","        63","0","         2","0","        21","0","       198","0","        71","0","       113","0","        10","0","","","  -26.1","0,0206, ","  28.4"," ,0,0623, ","   36.1","0,0719, ","-0.6","0,0819","-3.9","0,0910","-4.4","0,1010","-8.3","0,1017","-12.8","0,1208","0.0","0,0714","-2.8","0,0514","-5.0","0,0502","-7.2","0,0423","-21.1","0,0326","    4744.3","3","    4744.3","0","    515.4"," ,0","      5.48","0","     12.27","0","     -1.32","0"
"USC00241919","1914","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    104.3","","     104.3","0","        97","0","        66","0","         1","0","        13","0","       167","0","        42","0","       112","0","        19","0","","","  -28.9","0,0206, ","  43.4"," ,0,1004, ","   38.3","0,0730, ","-0.6","0,1004","-2.2","0,1006","-10.6","0,1116","-10.6","0,1116","-10.6","0,1116","0.0","0,0610","-3.9","0,0529","-4.4","0,0411","-8.3","0,0328","-12.8","0,0327","    4290.9","9","    4290.9","0","    496.7"," ,0","      6.85","0","     13.84","0","     -0.15","0"
"USC00241919","1915","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    123.0","","     123.0","0","       127","0","        83","0","         2","0","         5","0","       175","0","        37","0","        98","0","        23","0","","","  -30.6","0,1230, ","  27.2"," ,0,0717, ","   36.1","0,0806, ","-0.6","0,0912","-3.3","0,1006","-6.7","0,1106","-6.7","0,1106","-8.9","0,1112","-1.1","0,0529","-2.8","0,0424","-5.6","0,0420","-10.0","0,0327","-10.0","0,0327","    4193.2","2","    4193.2","0","    652.6"," ,0","      6.98","0","     13.73","0","      0.24","0"
"USC00241919","1916","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     71.3","","      71.3","0","       101","0","        81","0","         5","0","        41","0","       216","0","        70","0","        98","0","         9","0","","","  -32.8","0,0131, ","  35.6"," ,0,0808, ","   34.4","0,0730,+","0.0","0,0911","-3.3","0,0927","-7.2","0,1005","-7.2","0,1005","-8.9","0,1024","-1.7","0,0621","-3.9","0,0512","-5.6","0,0429","-7.2","0,0423","-8.9","0,0314","    4811.7","7","    4811.7","0","    703.6"," ,0","      3.92","0","     10.82","0","     -2.98","0"
"USC00241919","1917","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     93.1","","      93.1","0","        99","0","        72","0","         1","0","        26","0","       199","0","        50","0","       129","0","        29","0","","","  -27.8","0,0131, ","  26.4"," ,0,0425, ","   37.2","0,0722, ","-0.6","0,0915","-3.3","0,0929","-8.9","0,1018","-8.9","0,1018","-8.9","0,1018","-1.1","0,0612","-2.8","0,0604","-6.1","0,0505","-11.1","0,0401","-11.1","0,0401","    5143.8","8","    5143.8","0","    587.4"," ,0","      5.82","0","     13.23","0","     -1.60","0"
"USC00241919","1918","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    127.9","","     127.9","0","       100","0","        60","0","         1","0","        15","0","       194","0","        46","0","       117","0","        23","0","","","  -29.4","0,0131, ","  26.7"," ,0,0922, ","   36.7","0,0718, ","-0.6","0,0828","-5.6","0,1008","-5.6","0,1008","-7.8","0,1022","-8.9","0,1113","-0.6","0,0704","-4.4","0,0603","-4.4","0,0603","-7.2","0,0405","-8.9","0,0404","    4193.8","8","    4193.8","0","    436.1"," ,0","      6.54","0","     13.72","0","     -0.64","0"
"USC00241919","1919","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","        97","0","        53","0","         2","0","","","","","        61","0","       127","0","        25","0","","","","","  33.0"," ,0,0529, ","   37.2","0,0716,+","","","","","","","","","","","","","","","","","","","","","    4289.3","3","    4289.3","0","    415.7"," ,0","","","     13.37","0","",""
"USC00241919","1920","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    217.8","","     217.8","0","       114","0","        70","0","         0","0","         4","0","       166","0","        47","0","       104","0","        31","0","","","  -21.7","0,0306, ","  19.8"," ,0,0810, ","   38.3","0,0728, ","-1.1","0,1008","-5.0","0,1016","-5.0","0,1016","-7.2","0,1101","-8.9","0,1109","-1.1","0,0531","-3.9","0,0529","-4.4","0,0417","-11.7","0,0403","-11.7","0,0403","","","","","    479.9"," ,0","      6.98","0","     13.25","0","      0.72","0"
"USC00241919","1922","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    156.7","","     156.7","0","        81","0","        49","0","         1","0","        27","0","       179","0","        67","0","       130","0","        15","0","","","  -31.7","0,1214, ","  32.0"," ,0,0429, ","   36.1","0,0703, ","0.0","0,0923","-2.2","0,1006","-4.4","0,1018","-10.6","0,1104","-10.6","0,1104","-1.1","0,0523","-2.8","0,0512","-4.4","0,0509","-9.4","0,0327","-9.4","0,0327","","","","","    393.8"," ,0","      6.25","0","     12.95","0","     -0.45","0"
