"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN024041000","1901","26.333","89.467","43.0","COOCH BEHAR, IN","       123","I","       106","I","        35","I","","","","","","","","","","","",""," 163.3"," ,I,0807, ","","","","","","","   2779.7"," ,I","","","",""
"IN024041000","1902","26.333","89.467","43.0","COOCH BEHAR, IN","       141","I","       111","I","        50","I","","","","","","","","","","","",""," 229.4"," ,I,0708, ","","","","","","","   4518.3"," ,I","","","",""
"IN024041000","1903","26.333","89.467","43.0","COOCH BEHAR, IN","       117","I","        95","I","        44","I","","","","","","","","","","","",""," 169.7"," ,I,0628, ","","","","","","","   3412.0"," ,I","","","",""
"IN024041000","1904","26.333","89.467","43.0","COOCH BEHAR, IN","       131","I","       106","I","        46","I","","","","","","","","","","","",""," 160.0"," ,I,0926, ","","","","","","","   3398.2"," ,I","","","",""
"IN024041000","1905","26.333","89.467","43.0","COOCH BEHAR, IN","       142","I","       120","I","        50","I","","","","","","","","","","","",""," 171.5"," ,I,0802, ","","","","","","","   4767.5"," ,I","","","",""
"IN024041000","1906","26.333","89.467","43.0","COOCH BEHAR, IN","       120","I","        98","I","        60","I","","","","","","","","","","","",""," 185.9"," ,I,0710, ","","","","","","","   4769.6"," ,I","","","",""
"IN024041000","1907","26.333","89.467","43.0","COOCH BEHAR, IN","       136","I","       108","I","        57","I","","","","","","","","","","","",""," 157.7"," ,I,0912, ","","","","","","","   4866.3"," ,I","","","",""
"IN024041000","1908","26.333","89.467","43.0","COOCH BEHAR, IN","       117","I","       100","I","        37","I","","","","","","","","","","","",""," 198.4"," ,I,0716, ","","","","","","","   3212.1"," ,I","","","",""
"IN024041000","1909","26.333","89.467","43.0","COOCH BEHAR, IN","       121","I","        97","I","        43","I","","","","","","","","","","","",""," 264.7"," ,I,0611, ","","","","","","","   3595.8"," ,I","","","",""
"IN024041000","1910","26.333","89.467","43.0","COOCH BEHAR, IN","       125","I","       110","I","        62","I","","","","","","","","","","","",""," 237.0"," ,I,0715, ","","","","","","","   4528.0"," ,I","","","",""
