"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00348124","2010","35.3649","-96.9482","328.0","SHAWNEE 3 NNW MESONET, OK US","   1195.5","","    1195.5","0","","","","","","","        0","","         0","0","        73","0","        10","0","       213","0","        68","0","  -15.6","0,0109, ","     0"," ,0,1231,+","","","   40.0","0,0814,+","0.0","0,1106","-2.2","0,1125","-5.0","0,1126","-6.7","0,1212","","","0.0","0,0322","-2.8","0,0303","-6.7","0,0224","-6.7","0,0224","-14.4","0,0110","","","","","","","","","","","","","","","","","","","     16.09","0","     21.78","0","     10.40","0"
"USC00348124","2011","35.3649","-96.9482","328.0","SHAWNEE 3 NNW MESONET, OK US","   1547.4","","    1547.4","K","","","","","","","","","         2","K","        71","K","        11","K","       220","K","       103","K","  -21.1","K,0210, ","","","","","   44.4","K,0802, ","-3.3","K,1104","-3.3","K,1104","-4.4","K,1128","-6.7","K,1206","","","-2.2","K,0315","-2.2","K,0315","-10.0","K,0211","-10.0","K,0211","-10.0","K,0211","    1897.3","3","      32.8","K,3,2","    1897.3","K","      42.8","K,3,2","      -2.2","K,3,2","      -1.1","K,3,2","      15.1","K,3,2","      22.4","K,3,2","","","     17.22","K","     23.80","K","     10.64","K"
"USC00348124","2012","35.3649","-96.9482","328.0","SHAWNEE 3 NNW MESONET, OK US","   1389.5","","    1389.5","7","","","","","","","","","         0","7","        53","7","         3","7","       228","7","       101","7","  -11.1","7,1226, ","","","","","   45.0","7,0801, ","-0.6","7,1026","-3.3","7,1027","-4.4","7,1127","-6.7","7,1210","-11.1","7,1226","-2.2","K,0309","-2.2","K,0309","-9.4","K,0212","-9.4","K,0212","-9.4","K,0212","    1557.7","7","","","    1557.7","7","","","","","","","","","","","    663.2"," ,7","     17.93","7","     24.21","7","     11.65","7"
"USC00348124","2013","35.3649","-96.9482","328.0","SHAWNEE 3 NNW MESONET, OK US","   1061.2","","    1061.2","7","","","","","","","","","         0","7","        85","7","        11","7","       191","7","        65","7","  -15.0","7,1207, ","","","","","   38.3","7,0831,+","-4.4","7,1112","-4.4","7,1112","-4.4","7,1112","-6.7","7,1113","-11.7","7,1206","-1.1","7,0424","-5.0","7,0326","-5.0","7,0326","-7.2","7,0223","","","    1951.6","6","      28.9","7,3,2","    1951.6","7","      41.1","7,3,2","       0.6","7,3,2","       1.1","7,3,2","      12.7","7,3,2","      20.5","7,3,2","","","     15.26","7","     21.09","7","      9.42","7"
"USC00348124","2014","35.3649","-96.9482","328.0","SHAWNEE 3 NNW MESONET, OK US","   1062.9","","    1062.9","7","","","","","","","","","         0","7","        76","7","        14","7","       206","7","        58","7","  -16.7","7,0106, ","","","","","   38.3","7,0713, ","-1.7","7,1101","-2.2","7,1111","-6.1","7,1112","-6.7","7,1114","","","-1.1","7,0415","-2.2","7,0325","-8.9","7,0304","-8.9","7,0304","-8.9","7,0304","    2249.1","1","      28.3","7,3,2","    2249.1","7","      37.2","7,3,2","      -1.7","7,3,2","       0.0","7,3,2","      13.9","7,3,2","      19.8","7,3,2","","","     15.31","7","     21.22","7","      9.40","7"
"USC00348124","2015","35.3649","-96.9482","328.0","SHAWNEE 3 NNW MESONET, OK US","   1081.0","","    1081.0","7","","","","","","","","","         0","7","        63","7","         7","7","       209","7","        74","7","  -12.8","7,0108,+","","","","","   38.3","7,0908,+","-2.8","7,1121","-2.8","7,1121","-5.0","7,1218","","","","","-3.3","7,0306","-3.3","7,0306","-10.0","7,0305","-10.0","7,0305","-10.0","7,0305","    1948.4","4","","","    1948.4","7","","","","","","","","","","","   1678.3"," ,7","     16.22","7","     21.97","7","     10.48","7"
"USC00348124","2016","35.3649","-96.9482","328.0","SHAWNEE 3 NNW MESONET, OK US","   1175.8","","    1175.8","7","        84","7","        50","7","        10","7","","","         0","7","        57","7","         3","7","       226","7","        77","7","  -16.1","7,1218, ","","","  80.3"," ,7,0725, ","   37.2","7,0811,+","-2.8","7,1119","-2.8","7,1119","-6.7","7,1208","-6.7","7,1208","-9.4","7,1209","-1.1","7,0328","-5.0","7,0226","-5.0","7,0226","-7.2","7,0118","-10.0","7,0110","    1610.2","2","      30.0","7,3,2","    1610.2","7","      39.4","7,3,2","      -2.2","7,3,2","      -0.6","7,3,2","      15.2","7,3,2","      21.7","7,3,2","    929.8"," ,7","     17.09","7","     23.01","7","     11.15","7"
"USC00348124","2017","35.3649","-96.9482","328.0","SHAWNEE 3 NNW MESONET, OK US","   1052.9","","    1052.9","7","","","","","","","","","         0","7","        50","7","         4","7","       227","7","        60","7","  -17.2","7,0107, ","","","","","   38.9","7,0722, ","-1.7","7,1028","-3.9","7,1122","-7.2","7,1207","-7.2","7,1207","-10.0","7,1208","-2.2","7,0315","-2.2","7,0315","-6.7","7,0225","-6.7","7,0225","-17.2","7,0107","    1541.0","0","","","    1541.0","7","","","","","","","","","","","    978.5"," ,7","     16.78","7","     22.81","7","     10.74","7"
"USC00348124","2018","35.3649","-96.9482","328.0","SHAWNEE 3 NNW MESONET, OK US","   1196.0","","    1196.0","7","","","","","","","","","         0","7","        86","7","         6","7","       196","7","        72","7","  -15.6","7,0117,+","","","","","   43.3","7,0720, ","-3.3","7,1109","-3.3","7,1109","-6.7","7,1110","-6.7","7,1110","","","-1.7","7,0416","-4.4","7,0407","-4.4","7,0407","-12.8","7,0212","-12.8","7,0212","    1901.8","8","      30.0","7,3,2","    1901.8","7","      39.4","7,3,2","      -2.2","7,3,2","      -0.6","7,3,2","      13.9","7,3,2","      20.6","7,3,2","    998.5"," ,7","     15.86","7","     21.73","7","     10.00","7"
"USC00348124","2019","35.3649","-96.9482","328.0","SHAWNEE 3 NNW MESONET, OK US","   1109.1","","    1109.1","7","","","","","","","","","         0","7","        70","7","         6","7","       198","7","        71","7","  -12.2","7,0304, ","","","","","   38.3","7,0812,+","0.0","7,1011","-2.2","7,1030","-4.4","7,1031","-6.7","7,1111","-10.6","7,1112","-2.2","7,0331","-2.2","7,0331","-6.7","7,0306","-6.7","7,0306","-10.6","7,0305","    2092.8","8","","","    2092.8","7","","","","","","","","","","","   1173.1"," ,7","     15.81","7","     21.61","7","     10.00","7"
