"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00007099","1963","16.0333","-92.0833","719.9","ZAPALUTA, MX","    403.3","","     403.3","m","        80","m","        68","m","         1","m","         0","m","         0","m","         0","m","       345","m","         0","m","    1.1","m,1227, ","  28.4"," ,m,0925, ","   31.1","m,0611,+","     221.9","9","     221.9","m","    837.1"," ,m","     18.85","m","     26.02","m","     11.66","m"
"MXN00007099","1964","16.0333","-92.0833","719.9","ZAPALUTA, MX","    438.5","","     438.5","m","        81","m","        71","m","        11","m","         0","m","         0","m","         0","m","       345","m","         5","m","    0.6","m,0116, ","  90.9"," ,m,0927, ","   32.8","m,0503, ","     176.6","6","     176.6","m","   1012.9"," ,m","     19.11","m","     26.24","m","     11.99","m"
"MXN00007099","1965","16.0333","-92.0833","719.9","ZAPALUTA, MX","    374.6","","     374.6","m","        74","m","        58","m","         9","m","         0","m","         0","m","         0","m","       338","m","         0","m","    5.6","m,1216,+","  57.9"," ,m,1014, ","   31.7","m,0412, ","     121.2","2","     121.2","m","    819.9"," ,m","     18.97","m","     25.76","m","     12.19","m"
"MXN00007099","1966","16.0333","-92.0833","719.9","ZAPALUTA, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","     173.7","7","     173.7","m","","","","","","","",""
"MXN00007099","1967","16.0333","-92.0833","719.9","ZAPALUTA, MX","","","","","        46","m","        43","m","         7","m","","","","","","","","","","","","","  74.9"," ,m,0826, ","","","","","","","    699.5"," ,m","","","","","",""
"MXN00007099","1968","16.0333","-92.0833","719.9","ZAPALUTA, MX","    269.2","","     269.2","m","        69","m","        68","m","        20","m","         0","m","         0","m","         0","m","       352","m","         0","m","    3.3","m,0209, ","  45.0"," ,m,0924, ","   31.7","m,0513, ","","","","","   1209.8"," ,m","     18.49","m","     26.02","m","     10.95","m"
"MXN00007099","1969","16.0333","-92.0833","719.9","ZAPALUTA, MX","    531.4","","     531.4","m","        88","m","        84","m","        12","m","         0","m","         0","m","         0","m","       339","m","        15","m","    2.2","m,1226, ","  69.9"," ,m,0927, ","   33.3","m,0507,+","     120.1","1","     120.1","m","   1211.5"," ,m","     19.41","m","     26.59","m","     12.24","m"
"MXN00007099","1970","16.0333","-92.0833","719.9","ZAPALUTA, MX","    397.7","","     397.7","m","        85","m","        72","m","        12","m","         0","m","         0","m","         0","m","       313","m","         2","m","    3.9","m,0205, ","  50.8"," ,m,0923, ","   32.2","m,0501,+","     259.5","5","     259.5","m","    970.0"," ,m","     18.53","m","     24.18","m","     12.87","m"
"MXN00007099","1971","16.0333","-92.0833","719.9","ZAPALUTA, MX","    209.4","","     209.4","m","        66","m","        52","m","         4","m","         0","m","         0","m","         0","m","       325","m","         1","m","    4.4","m,0201, ","  42.9"," ,m,0725, ","   32.8","m,0430, ","     347.9","9","     347.9","m","    592.8"," ,m","     17.99","m","     23.87","m","     12.10","m"
"MXN00007099","1972","16.0333","-92.0833","719.9","ZAPALUTA, MX","    255.5","","     255.5","m","        74","m","        53","m","         9","m","         0","m","         0","m","         0","m","       331","m","         2","m","    1.7","m,1224, ","  47.8"," ,m,0604, ","   35.6","m,0417, ","     367.1","1","     367.1","m","    849.4"," ,m","     18.10","m","     24.23","m","     11.98","m"
"MXN00007099","1973","16.0333","-92.0833","719.9","ZAPALUTA, MX","    335.0","","     335.0","m","       108","m","        69","m","        11","m","         0","m","         0","m","         0","m","       338","m","         0","m","    1.1","m,1215, ","  69.9"," ,m,0825, ","   31.1","m,0328,+","     251.2","2","     251.2","m","   1029.4"," ,m","     18.47","m","     24.46","m","     12.47","m"
"MXN00007099","1974","16.0333","-92.0833","719.9","ZAPALUTA, MX","    178.4","","     178.4","m","        68","m","        45","m","         6","m","         0","m","         0","m","         0","m","       290","m","         4","m","    6.7","m,1129, ","  49.8"," ,m,0907, ","   38.9","m,0517,+","     365.3","3","     365.3","m","    616.7"," ,m","     17.59","m","     23.58","m","     11.61","m"
"MXN00007099","1975","16.0333","-92.0833","719.9","ZAPALUTA, MX","    280.6","","     280.6","m","        92","m","        61","m","        12","m","         0","m","         0","m","         0","m","       322","m","         0","m","    2.8","m,0112, ","  72.9"," ,m,0724, ","   31.7","m,0413,+","     385.2","2","     385.2","m","    870.4"," ,m","     18.22","m","     24.33","m","     12.11","m"
