"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00067959","1967","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       119","0","        97","0","        11","0","","","  51.3"," ,0,0525, ","   1377.4"," ,0"
"USC00067959","1973","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       107","0","        74","0","         9","0","         1"," ","  75.9"," ,0,0907, ","   1211.5"," ,0"
"USC00067959","1974","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       108","0","        75","0","        12","0","","","  55.6"," ,0,0929, ","   1250.1"," ,0"
"USC00067959","1975","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       107","0","        84","0","        14","0","",""," 102.9"," ,0,0927, ","   1334.3"," ,0"
"USC00067959","1976","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       104","0","        70","0","        12","0","","","  54.1"," ,0,0810, ","   1134.4"," ,0"
"USC00067959","1977","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       115","0","        91","0","        18","0","","","  49.3"," ,0,0323, ","   1378.9"," ,0"
"USC00067959","1978","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       109","0","        72","0","         8","0","","","  70.1"," ,0,0126, ","   1029.4"," ,0"
"USC00067959","1979","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       120","0","        79","0","        20","0","","","  60.2"," ,0,0307, ","   1441.6"," ,0"
"USC00067959","1980","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       111","0","        69","0","        11","0","","","  59.2"," ,0,0730, ","   1009.6"," ,0"
"USC00067959","1981","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       114","0","        76","0","        17","0","","","  47.5"," ,0,0923, ","   1185.5"," ,0"
"USC00067959","1982","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       118","0","        74","0","        12","0","","","  81.8"," ,0,0606, ","   1182.2"," ,0"
"USC00067959","1983","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       126","0","        79","0","        16","0","","","  69.1"," ,0,0420, ","   1478.9"," ,0"
"USC00067959","1984","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       126","0","        90","0","        11","0","","","  71.1"," ,0,0530, ","   1296.2"," ,0"
"USC00067959","1985","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       130","0","        81","0","        11","0","","","  48.5"," ,0,0715, ","   1115.3"," ,0"
"USC00067959","1986","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       124","0","        78","0","        11","0","","","  60.7"," ,0,0818, ","   1105.1"," ,0"
"USC00067959","1988","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       116","0","        76","0","        12","0","","","  63.2"," ,0,0724, ","   1144.6"," ,0"
"USC00067959","1989","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       139","0","        87","0","        17","0","","","  89.2"," ,0,0812, ","   1388.6"," ,0"
"USC00067959","1990","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       123","0","        81","0","        14","0","","","  96.5"," ,0,1014, ","   1257.8"," ,0"
"USC00067959","1992","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       124","0","        90","0","        13","0","","","  76.2"," ,0,1212, ","   1286.6"," ,0"
"USC00067959","1993","41.95","-72.3","138.7","STAFFORD SPRINGS 2, CT US","       123","0","        80","0","        11","0","","","  59.4"," ,0,0928, ","   1168.5"," ,0"
