"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00094940","2013","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","         7"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094940","2014","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","       103"," ","        19"," ","        35"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094940","2015","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","        82"," ","        11"," ","        30"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094940","2016","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","        82"," ","        23"," ","        38"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094940","2017","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","        86"," ","        31"," ","        47"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094940","2018","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","        99"," ","        22"," ","        36"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094940","2019","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","        99"," ","        14"," ","        43"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094940","2020","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","       2.2","W","    204.1","","     204.1","W","        13","W","       189","W","        53","W","       127","W","         8","W","        70"," ","        15"," ","        33"," ","  -33.8","W,0214, ","   33.9","W,0826, ","-0.5","W,0919","-6.0","W,1004","-6.0","W,1004","-7.1","W,1019","-10.5","W,1102","-3.2","W,0513","-3.2","W,0513","-6.6","W,0512","-8.2","W,0509","-9.9","W,0416","    4431.7","7","    4431.7","W","      6.86","W","     13.51","W","      0.20","W","       260","W","      11.2","W"
"USW00094940","2021","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","       111"," ","        16"," ","        21"," ","","","","","","","","","","","","","","","","","","","","","","","","","    4425.0","0","    4425.0","W","","","","","","","","","",""
"USW00094940","2022","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","       141"," ","        22"," ","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094940","2023","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","       159"," ","        18"," ","        13"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094940","2024","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","    216.6","","     216.6","D","        13","D","       162","D","        42","D","       159","D","         5","D","       142"," ","        39"," ","        26"," ","  -30.5","D,0120, ","   35.6","D,0826, ","-1.0","W,0907","-3.8","W,1007","-4.9","W,1015","-8.8","W,1016","-9.3","W,1127","0.0","W,0506","-3.8","W,0425","-5.5","W,0424","-8.8","W,0421","-11.6","W,0329","","","","","      8.62","D","     15.65","D","      1.60","D","","","",""
"USW00094940","2025","43.96667","-90.73333","252.7","SPARTA FORT MCCOY, WI US","","","","","","","","","","","","","","","","","        32"," ","         4"," ","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
