"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094173","2001","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.5","W","      0.0","","       0.0","W","       122","W","        48","W","         0","W","        53","W","       279","W","       113","W","        70","W","         0","W","","","","","  -34.4","W,0208, ","  21.3"," ,W,1106, ","   28.9","W,0806, ","-1.1","W,0801","-2.2","W,0907","-5.0","W,0908","-6.7","W,1004","-10.0","W,1005","0.0","W,0621","-2.2","W,0619","-8.3","W,0521","-8.3","W,0521","-8.9","W,0507","","","","","    357.8"," ,W","      0.48","W","      7.81","W","     -6.85","W","       310","W","       270","W","      11.6","W","      17.9","W"
"USW00094173","2002","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.6","W","","","","","       128","W","        42","W","         0","W","","","","","","","","","","","","","","","","","  23.6"," ,W,0906, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    405.0"," ,W","","","","","","","","","","","","","",""
"USW00094173","2003","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.6","W","","","","","       136","W","        52","W","         0","W","","","","","","","","","","","","","","","","","  18.0"," ,W,0426, ","","","","","","","","","","","","","","","","","","","","","","","    6544.5","5","    6544.5"," ","    405.2"," ,W","","","","","","","       270","W","       250","W","      10.3","W","      17.0","W"
"USW00094173","2004","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.5","W","      0.0","","       0.0","W","       188","W","        83","W","         0","W","        44","W","       278","W","       103","W","        34","W","         0","W","","","","","  -32.8","W,0105, ","  20.3"," ,W,0825, ","   26.1","W,0717, ","-0.6","W,0808","-2.2","W,0905","-5.6","W,0921","-12.2","W,1024","-12.2","W,1024","-1.1","W,0709","-2.2","W,0622","-5.0","W,0524","-6.7","W,0514","-11.7","W,0421","","","","","    659.1"," ,W","      0.32","W","      6.98","W","     -6.34","W","       260","W","       260","W","      11.2","W","      16.5","W"
"USW00094173","2005","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.4","B","      0.0","","       0.0","B","       174","B","        78","B","         2","B","        53","B","       282","B","        97","B","        47","B","         0","B","","","","","  -33.3","B,0216, ","  26.9"," ,B,0818, ","   29.4","B,0713, ","-1.7","B,0814","-2.2","B,0825","-4.4","B,0929","-8.9","B,1005","-8.9","B,1005","0.0","W,0727","-2.2","W,0614","-5.0","W,0527","-7.2","W,0503","-9.4","W,0502","    6629.4","4","    6629.4","B","    628.8"," ,B","      0.01","B","      7.09","B","     -7.07","B","        10","B","       230","B","      23.7","B","      38.9","B"
"USW00094173","2006","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.5","W","      0.0","","       0.0","W","       171","W","        71","W","         0","W","        54","W","       271","W","       120","W","        59","W","         0","W","","","","","  -35.5","W,0218, ","  24.6"," ,W,1215, ","   29.4","W,0715, ","0.0","W,0803","-2.7","W,0831","-4.9","W,0924","-7.7","W,1009","-9.3","W,1010","0.0","W,0623","-2.7","W,0601","-6.6","W,0511","-8.8","W,0510","-10.5","W,0509","    6546.3","3","    6546.3","W","    517.9"," ,W","      0.20","W","      7.39","W","     -6.99","W","       260","W","       270","W","      10.3","W","      17.4","W"
"USW00094173","2007","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","","","      1.2","","       1.2","W","       157","W","        70","W","         1","W","        53","W","       271","W","       102","W","        70","W","         0","W","","","","","  -37.7","W,0112, ","  33.5"," ,W,0712, ","   28.9","W,0723,+","0.0","W,0823","-3.2","W,0909","-5.5","W,0910","-9.9","W,1020","-9.9","W,1020","-2.7","W,0626","-2.7","W,0626","-5.5","W,0524","-13.8","W,0420","-13.8","W,0420","    6404.1","1","    6404.1","W","    557.1"," ,W","      0.89","W","      8.14","W","     -6.36","W","","","","","","","",""
"USW00094173","2008","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.2","W","      0.0","","       0.0","W","       117","W","        58","W","         4","W","        65","W","       296","W","       136","W","        56","W","         0","W","","","","","  -36.0","W,0122, ","  43.9"," ,W,0117, ","   27.2","W,0801, ","0.0","W,0812","-2.7","W,0822","-5.5","W,0908","-8.2","W,1010","-10.5","W,1013","0.0","W,0713","-2.7","W,0712","-8.2","W,0513","-8.2","W,0513","-9.3","W,0510","    6860.6","6","    6860.6","W","    572.9"," ,W","     -0.92","W","      6.39","W","     -8.23","W","       270","W","       280","W","       9.8","W","      20.1","W"
"USW00094173","2011","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.1","W","      0.0","","       0.0","W","       189","W","        80","W","         0","W","        53","W","       285","W","       129","W","        61","W","         0","W","","","","","  -37.7","W,0202, ","  22.9"," ,W,0524, ","   27.2","W,0725,+","0.0","W,0813","-2.7","W,0902","-4.9","W,1012","-9.3","W,1025","-9.3","W,1025","-0.5","W,0702","-6.0","W,0604","-6.0","W,0604","-8.8","W,0505","-9.3","W,0504","","","","","    666.4"," ,W","     -0.51","W","      6.50","W","     -7.52","W","       280","W","","","      10.3","W","",""
"USW00094173","2012","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","       1.2","W","","","","","       165","W","        74","W","         2","W","","","","","","","","","","","","","","","","","  27.4"," ,W,0901, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    598.7"," ,W","","","","","","","       280","W","","","      10.7","W","",""
