"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00053005","1895","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    139.0","","     139.0","6","","","","","","","","","","","        24","6","       185","6","        34","6","       141","6","        22","6","","","","","  -33.3","6,0212, ","","","","","","","   35.0","6,0916,+","-3.3","6,0922","-3.3","6,0922","-5.0","6,0929","-6.7","6,1023","-9.4","6,1027","-1.7","6,0517","-2.8","6,0512","-4.4","6,0416","-7.2","6,0408","-11.7","6,0317","","","","","","","","","      7.48","6","     16.01","6","     -1.05","6","","","","","",""
"USC00053005","1896","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    214.6","","     214.6","6","","","","","","","","","","","         6","6","       177","6","        18","6","       154","6","        23","6","","","","","  -23.9","6,1127, ","","","","","","","   35.6","6,0713, ","0.0","6,0928","-2.2","6,1006","-5.6","6,1011","-8.9","6,1104","-8.9","6,1104","-0.6","6,0514","-3.3","6,0419","-10.0","6,0418","-10.0","6,0418","-10.0","6,0418","    3609.0","0","    3609.0","6","","","","","      9.10","6","     17.58","6","      0.62","6","","","","","",""
"USC00053005","1897","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    132.7","","     132.7","6","","","","","","","","","","","        18","6","       173","6","        32","6","       159","6","        11","6","","","","","  -32.2","6,0127, ","","","","","","","   35.0","6,0707, ","0.0","6,1011","-2.2","6,1012","-4.4","6,1019","-10.6","6,1105","-10.6","6,1105","0.0","6,0509","-3.9","6,0414","-5.0","6,0413","-6.7","6,0408","-14.4","6,0324","    3601.4","4","    3601.4","6","","","","","      8.23","6","     16.58","6","     -0.13","6","","","","","",""
"USC00053005","1898","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    213.7","","     213.7","6","","","","","","","","","","","        14","6","       194","6","        21","6","       136","6","        33","6","","","","","  -30.0","6,1231, ","","","","","","","   36.1","6,0727,+","-1.1","6,0907","-2.2","6,1004","-5.0","6,1013","-8.9","6,1025","-8.9","6,1025","0.0","6,0507","-6.1","6,0428","-6.1","6,0428","-9.4","6,0405","-9.4","6,0405","    3745.7","7","    3745.7","6","","","","","      7.86","6","     16.55","6","     -0.83","6","","","","","",""
"USC00053005","1899","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    147.5","","     147.5","6","        87","6","        46","6","         1","6","","","","","        29","6","       196","6","        30","6","       147","6","        20","6","","","","","  -38.9","6,0212,+","","","","","  44.2"," ,6,0713, ","   35.6","6,0618, ","0.0","6,0917","-4.4","6,1004","-4.4","6,1004","-9.4","6,1102","-9.4","6,1102","-0.6","6,0517","-5.0","6,0504","-5.0","6,0504","-10.0","6,0406","-10.0","6,0406","    4460.4","4","    4460.4","6","    411.7"," ,6","","","      7.20","6","     15.88","6","     -1.48","6","","","","","",""
"USC00053005","1900","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    198.7","","     198.7","0","        77","0","        40","0","         4","0","","","        18","0","        12","0","       182","0","        17","0","       160","0","        25","0","","","","","  -30.6","0,0216, ","","","   178"," ,0,0404, ","  60.7"," ,0,0429, ","   34.4","0,0801,+","-1.1","0,0928","-4.4","0,1007","-4.4","0,1007","-11.1","0,1031","-11.1","0,1031","-1.1","0,0501","-10.6","0,0418","-10.6","0,0418","-10.6","0,0418","-10.6","0,0418","    3580.1","1","    3580.1","0","    485.9"," ,0","     1305"," ,0","      8.90","0","     17.51","0","      0.29","0","","","","","",""
"USC00053005","1901","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    237.9","","     237.9","0","        72","0","        38","0","         5","0","","","        15","0","        19","0","       183","0","        30","0","       153","0","        26","0","","","","","  -35.0","0,1214, ","","","   140"," ,0,0411, ","  58.9"," ,0,0522, ","   36.1","0,0801,+","0.0","0,0918","-3.3","0,1011","-5.6","0,1101","-9.4","0,1103","-9.4","0,1103","-0.6","0,0507","-12.8","0,0417","-12.8","0,0417","-12.8","0,0417","-12.8","0,0417","    3730.5","5","    3730.5","0","    537.7"," ,0","     1059"," ,0","      8.55","0","     17.02","0","      0.08","0","","","","","",""
"USC00053005","1902","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3663.2","2","    3663.2","0","","","","","","","","","","","","","","","",""
"USC00053005","1903","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","    154.6","","     154.6","0","        71","0","        29","0","         0","0","","","        11","0","        17","0","       191","0","        27","0","       133","0","        21","0","","","","","  -33.3","0,0215, ","","","   203"," ,0,0212, ","  21.6"," ,0,1030, ","   35.0","0,0804,+","-3.3","0,0915","-3.3","0,0915","-4.4","0,1023","-6.7","0,1031","-17.8","0,1117","-0.6","0,0523","-2.8","0,0503","-10.6","0,0430","-10.6","0,0430","-10.6","0,0430","","","","","    301.5"," ,0","      950"," ,0","      7.35","0","     15.98","0","     -1.29","0","","","","","",""
"USC00053005","1904","40.57629","-105.08575","1525.2","FORT COLLINS, CO US","","","     88.0","","      88.0","0","        60","0","        30","0","         2","0","","","         3","0","         3","0","       180","0","         8","0","       135","0","         6","0","","","","","  -21.7","0,0128, ","","","    76"," ,0,0120, ","  76.7"," ,0,0502, ","   32.8","0,0810,+","-1.1","0,0914","-2.2","0,1011","-4.4","0,1019","-7.8","0,1025","-17.2","0,1111","0.0","0,0514","-2.2","0,0509","-5.0","0,0416","-10.0","0,0409","-10.0","0,0409","    3608.0","0","    3608.0","0","    333.9"," ,0","      238"," ,0","      8.81","0","     17.62","0","      0.00","0","","","","","",""
