"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00042580","1956","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0211, ","","","","","","","","","","","","","","","","","","","","","    379.7"," ,0","        0","T,0","","","","","","","",""
"USC00042580","1957","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0","T,0,0128, ","     0","T,0,0128, ","","","","","","","","","","","","","","","","","","","","","","","        0","T,0","","","","","","","",""
"USC00042580","1958","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","    697.0"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1959","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","        27","0","        18","0","         6","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  59.9"," ,0,0216, ","","","","","","","","","","","","","","","","","","","    398.0"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1960","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","    489.2"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1961","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","    393.8"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1962","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","    560.5"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1963","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","    586.4"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1964","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","    400.0"," ,0","        0"," ,0","","","","","","","",""
"USC00042580","1965","38.2","-122.3","6.1","DUTTONS LANDING, CA US","","","","","        52","0","        35","0","         3","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  42.7"," ,0,1114, ","","","","","","","","","","","","","","","","","","","    481.9"," ,0","        0"," ,0","","","","","","","",""
