"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA002100FCG","1984","61.1833","-129.1333","890.0","HOUR LAKE, YT CA","","","","","       165","C","        74","C","         0","C","        32","C","        92","C","       268","C","","","","","","","  -49.0","C,1229, ","   102"," ,C,0101, ","  18.2"," ,C,0503, ","","","0.0","C,0813","-3.5","C,0830","-4.5","C,0914","-8.0","C,0922","-13.0","C,0926","0.0","C,0729","-2.5","C,0604","-6.0","C,0528","-8.0","C,0429","-10.0","C,0428","","","","","    566.0"," ,C","     2338"," ,C","","","","","     -9.36","C"
"CA002100FCG","1989","61.1833","-129.1333","890.0","HOUR LAKE, YT CA","","","","","       126","C","        48","C","         0","C","        26","C","","","","","       148","C","        68","C","         0","C","","","   204"," ,C,1031, ","  20.4"," ,C,1031, ","   31.0","C,0814,+","","","","","","","","","","","","","","","","","","","","","","","","","    441.8"," ,C","     2386"," ,C","","","      4.45","C","",""
"CA002100FCG","1994","61.1833","-129.1333","890.0","HOUR LAKE, YT CA","","","","","       149","C","        70","C","         0","C","        34","C","","","","","","","","","","","","","   102"," ,C,1030, ","  16.0"," ,C,0822, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    526.7"," ,C","     2354"," ,C","","","","","",""
"CA002100FCG","1995","61.1833","-129.1333","890.0","HOUR LAKE, YT CA","","","","","","","","","","","        33","C","","","","","","","","","","","","","   166"," ,C,0319, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     2288"," ,C","","","","","",""
"CA002100FCG","1997","61.1833","-129.1333","890.0","HOUR LAKE, YT CA","","","","","       167","C","        73","C","         1","C","        41","C","       113","C","       263","C","","","","","","","  -48.0","C,0127,+","   148"," ,C,1025, ","  32.2"," ,C,0629, ","","","-1.0","C,0803","-2.5","C,0906","-6.0","C,0917","-9.0","C,1004","-9.0","C,1004","-1.0","C,0615","-2.5","C,0610","-5.0","C,0528","-8.5","C,0429","-9.0","C,0423","","","","","    608.8"," ,C","     2772"," ,C","","","","","     -9.31","C"
"CA002100FCG","1998","61.1833","-129.1333","890.0","HOUR LAKE, YT CA","","","","","       138","C","        54","C","         1","C","        21","C","       111","C","       250","C","","","","","","","  -47.0","C,0113, ","   218"," ,C,1027, ","  26.8"," ,C,0513, ","","","-1.0","C,0803","-4.0","C,0820","-4.5","C,0905","-8.5","C,0916","-9.0","C,1027","-1.0","C,0623","-11.5","C,0518","-11.5","C,0518","-11.5","C,0518","-11.5","C,0518","","","","","    415.4"," ,C","     1642"," ,C","","","","","     -9.53","C"
"CA002100FCG","1999","61.1833","-129.1333","890.0","HOUR LAKE, YT CA","      1.8","","       1.8","C","","","","","","","        32","C","       106","C","       256","C","       126","C","        35","C","         1","C","  -44.5","C,0107, ","   128"," ,C,0103, ","","","   32.5","C,0805, ","-1.0","C,0819","-3.0","C,0824","-6.0","C,0930","-12.0","C,1001","-12.0","C,1001","-2.5","C,0730","-2.5","C,0730","-6.0","C,0523","-9.0","C,0418","-9.0","C,0418","    7616.5","5","    7616.5","C","","","     2568"," ,C","     -2.37","C","      3.79","C","     -8.52","C"
"CA002100FCG","2000","61.1833","-129.1333","890.0","HOUR LAKE, YT CA","      0.0","","       0.0","C","       167","C","        71","C","         1","C","        24","C","       100","C","       249","C","       137","C","        18","C","         0","C","  -48.0","C,0115, ","   124"," ,C,1218, ","  33.2"," ,C,0728, ","   27.5","C,0804, ","0.0","C,0808","-2.5","C,0908","-5.5","C,0919","-7.0","C,0921","-16.0","C,1002","-2.0","C,0603","-3.5","C,0531","-7.5","C,0521","-7.5","C,0521","-11.0","C,0425","    7200.8","8","    7200.8","C","    574.4"," ,C","     1834"," ,C","     -3.02","C","      2.96","C","     -9.00","C"
"CA002100FCG","2002","61.1833","-129.1333","890.0","HOUR LAKE, YT CA","","","","","       153","C","        68","C","         0","C","        30","C","       111","C","       256","C","       150","C","        20","C","         0","C","  -44.0","C,0127, ","   144"," ,C,0501, ","  23.0"," ,C,0827, ","   27.0","C,0708, ","-1.5","C,0802","-3.0","C,0815","-4.5","C,0914","-7.5","C,0930","-9.0","C,1011","-1.0","C,0628","-3.0","C,0619","-5.0","C,0523","-7.0","C,0508","-14.0","C,0507","","","","","    479.9"," ,C","     1933"," ,C","     -3.29","C","      3.38","C","     -9.96","C"
"CA002100FCG","2003","61.1833","-129.1333","890.0","HOUR LAKE, YT CA","","","","","       156","C","        68","C","         1","C","        34","C","       102","C","       259","C","       137","C","        28","C","         0","C","  -47.5","C,0124, ","   116"," ,C,0331, ","  32.2"," ,C,0618, ","   27.0","C,0711,+","0.0","C,0806","-3.0","C,0810","-6.0","C,0916","-7.0","C,0923","-10.5","C,1012","-1.0","C,0621","-3.0","C,0528","-5.0","C,0522","-7.0","C,0515","-13.5","C,0505","    7557.9","9","    7557.9"," ","    537.4"," ,C","     2554"," ,C","     -3.01","C","      3.50","C","     -9.52","C"
