"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYTS","DYTS_ATTRIBUTES"
"FMW00041303","1945","10.06667","139.66667","2.1","POTANGERAS CAROLINE ISLANDS, FM FM","        31"," "
"FMW00041303","1946","10.06667","139.66667","2.1","POTANGERAS CAROLINE ISLANDS, FM FM","         1"," "
