"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00040375","1979","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       279","S","       166","S","","","   44.0","S,0901, ","","","     30.34","S","",""
"SAM00040375","1980","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       273","S","       173","S","","","   43.0","S,0718, ","","","     30.31","S","",""
"SAM00040375","1981","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       266","S","       162","S","","","   45.0","S,0801, ","","","     29.95","S","",""
"SAM00040375","1984","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       280","S","       165","S","","","   42.4","S,0526, ","","","     29.71","S","",""
"SAM00040375","1986","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       267","S","       154","S","","","   42.5","S,0827, ","","","     29.33","S","",""
"SAM00040375","1993","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       273","S","       163","S","","","   43.0","S,0831,+","","","     29.37","S","",""
"SAM00040375","1995","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       272","S","       161","S","","","   43.2","S,0813, ","","","     29.83","S","",""
"SAM00040375","1996","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       288","S","       172","S","","","   43.8","S,0704, ","","","     30.53","S","",""
"SAM00040375","1997","28.365","36.619","777.5","TABUK, SA","         0","S","         7","S","","","","","","","   -0.5","S,0206, ","","","0.0","S,0214","","","     12.41","S"
"SAM00040375","2001","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       275","S","       158","S","","","   45.0","S,0810, ","","","     30.40","S","",""
"SAM00040375","2002","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       270","S","       155","S","","","   43.0","S,0804,+","","","     29.90","S","",""
"SAM00040375","2003","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       268","S","       174","S","","","   43.8","S,0813, ","","","     30.22","S","",""
"SAM00040375","2004","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       253","S","       162","S","","","   43.6","S,0802, ","","","     30.21","S","",""
"SAM00040375","2005","28.365","36.619","777.5","TABUK, SA","","","","","         0","S","       295","S","       168","S","","","   44.0","S,0823, ","","","     30.25","S","",""
