"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"GQW00041406","1948","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3165.5","","    3165.5","Z","       256","Z","       148","Z","        22","Z","","","","","         0","Z","         0","Z","         0","Z","       366","Z","         2","Z","","","","","","","   20.6","Z,1204, ","","","","","  81.3"," ,Z,1028, ","   32.2","Z,0804,+","       0.0","0","       0.0","Z","   2194.8"," ,Z","","","","","     26.98","Z","     29.52","Z","     24.44","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1949","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3078.2","","    3078.2","Z","       263","Z","       142","Z","        22","Z","","","","","         0","Z","         0","Z","         0","Z","       365","Z","         2","Z","","","","","","","   21.1","Z,0831,+","","","","","  82.0"," ,Z,0908, ","   32.2","Z,0906,+","       0.0","0","       0.0","Z","   1798.4"," ,Z","","","","","     26.76","Z","     29.71","Z","     23.81","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1950","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3017.9","","    3017.9","Z","       260","Z","       151","Z","        17","Z","","","","","         0","Z","         0","Z","         0","Z","       365","Z","         2","Z","","","","","","","   21.1","Z,1106,+","","","",""," 235.7"," ,Z,0907, ","   32.2","Z,0824,+","       0.0","0","       0.0","Z","   2332.8"," ,Z","","","","","     26.60","Z","     29.65","Z","     23.54","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1951","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3196.6","","    3196.6","Z","       252","Z","       141","Z","        19","Z","","","","","         0","Z","         0","Z","         0","Z","       364","Z","         9","Z","","","","","","","   21.1","Z,0523, ","","","",""," 159.3"," ,Z,1004, ","   33.3","Z,1003, ","       0.0","0","       0.0","Z","   2129.4"," ,Z","","","","","     27.11","Z","     30.10","Z","     24.13","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1952","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3133.4","","    3133.4","Z","       253","Z","       153","Z","        24","Z","","","","","         0","Z","         0","Z","         0","Z","       366","Z","         2","Z","","","","","","","   21.7","Z,1009,+","","","","","  86.1"," ,Z,0908, ","   32.8","Z,0917, ","       0.0","0","       0.0","Z","   2119.2"," ,Z","","","","","     26.89","Z","     29.83","Z","     23.96","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1953","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3167.3","","    3167.3","Z","       227","Z","       119","Z","        26","Z","","","","","         0","Z","         0","Z","         0","Z","       365","Z","         5","Z","","","","","","","   21.1","Z,1015,+","","","",""," 393.2"," ,Z,1015, ","   33.3","Z,0723, ","       0.0","0","       0.0","Z","   2569.1"," ,Z","","","","","     27.01","Z","     29.86","Z","     24.15","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1954","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3189.2","","    3189.2","Z","       242","Z","       140","Z","        18","Z","","","","","         0","Z","         0","Z","         0","Z","       365","Z","         4","Z","","","","","","","   21.7","Z,1008, ","","","",""," 119.1"," ,Z,0109, ","   32.2","Z,0729,+","       0.0","0","       0.0","Z","   2010.8"," ,Z","","","","","     27.07","Z","     29.92","Z","     24.21","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1955","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3113.4","","    3113.4","Z","       252","Z","       148","Z","        25","Z","","","","","         0","Z","         0","Z","         0","Z","       364","Z","         2","Z","","","","","","","   22.2","Z,0912,+","","","","","  67.3"," ,Z,0928, ","   32.2","Z,1020,+","       0.0","0","       0.0","Z","   2065.2"," ,Z","","","","","     26.89","Z","     29.30","Z","     24.48","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1956","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3094.0","","    3094.0","Z","       261","Z","       156","Z","        20","Z","","","","","         0","Z","         0","Z","         0","Z","       366","Z","         2","Z","","","","","","","   21.1","Z,0125, ","","","","","  88.4"," ,Z,1112, ","   32.2","Z,1022,+","       0.0","0","       0.0","Z","   2082.7"," ,Z","","","","","     26.79","Z","     29.29","Z","     24.28","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1957","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3214.5","","    3214.5","Z","       226","Z","       129","Z","        17","Z","","","","","         0","X","         0","Z","         0","X","       365","X","         3","X","","","","","","","   22.2","Z,0217,+","","","",""," 101.1"," ,Z,1115, ","   32.8","X,0731, ","       0.0","0","       0.0","X","   1822.4"," ,Z","","","","","     27.13","Z","     29.62","X","     24.64","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1958","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3108.8","","    3108.8","X","       224","Z","       133","Z","        23","Z","        0","","         0","X","         0","Z","         0","X","         0","Z","       365","Z","         0","Z","","","","","","","   21.1","X,0614, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  88.4"," ,Z,0114, ","   31.7","Z,0711, ","       0.0","0","       0.0","Z","   2059.7"," ,Z","","","        0"," ,X","     26.85","X","     29.25","Z","     24.44","X","","","","","","","","","","","","","","","","","",""
"GQW00041406","1959","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3121.3","","    3121.3","Z","       247","Z","       114","Z","        17","Z","        0","","         0","X","         0","Z","         0","Z","         0","Z","       365","Z","         1","Z","","","","","","","   21.7","Z,0212,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  77.2"," ,Z,0825, ","   32.2","Z,0619, ","       0.0","0","       0.0","Z","   1566.3"," ,Z","","","        0"," ,X","     26.88","Z","     29.28","Z","     24.48","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1960","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3166.2","","    3166.2","Z","       254","Z","       139","Z","        14","Z","        0","","         0","X","         0","X","         0","Z","         0","X","       366","X","         0","X","","","","","","","   21.7","Z,0821,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  45.7"," ,Z,1213, ","   31.1","X,1106,+","       0.0","0","       0.0","X","   1771.9"," ,Z","","","        0"," ,X","     26.99","Z","     29.39","X","     24.59","Z","","","","","","","","","","","","","","","","","",""
"GQW00041406","1961","13.48333","144.8","77.4","GUAM INTERNATIONAL AIRPORT, GU GQ","","","   3094.1","","    3094.1","Z","       272","Z","       167","Z","        20","Z","        0","","         0","X","         0","Z","         0","Z","         0","Z","       365","Z","         2","Z","","","","","","","   22.2","Z,1230,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  93.7"," ,Z,0825, ","   32.8","Z,0727, ","       0.0","0","       0.0","Z","   2309.4"," ,Z","","","        0"," ,X","     26.81","Z","     29.15","Z","     24.48","Z","","","","","","","","","","","","","","","","","",""
