"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA002100165","1973","64.2333","-140.35","1036.0","BOUNDARY, YT CA","    490.3"," ,C","     2395"," ,C"
"CA002100165","1974","64.2333","-140.35","1036.0","BOUNDARY, YT CA","    525.4"," ,C","     3176"," ,C"
