"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BL000085041","2006","-11.03","-68.78",,"COBIJA, BL","         0","S","         0","S","","","","","","","   12.0","S,0514, ","","","","","     20.21","S"
"BL000085041","2009","-11.03","-68.78",,"COBIJA, BL","","","","","         0","S","       343","S","       133","S","","","   38.2","S,0908, ","     31.29","S","",""
"BL000085041","2017","-11.03","-68.78",,"COBIJA, BL","         0","S","         0","S","","","","","","","   10.2","S,0719, ","","","","","     21.59","S"
"BL000085041","2018","-11.03","-68.78",,"COBIJA, BL","","","","","         0","S","       336","S","       147","S","","","   37.5","S,0910, ","     31.54","S","",""
"BL000085041","2022","-11.03","-68.78",,"COBIJA, BL","         0","S","         0","S","","","","","","","   10.0","S,0820, ","","","","","     20.25","S"
