"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001167260","1930","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","        78","C","        46","C","         1","C","        18","C","","","","","","","","","","","","","   203"," ,C,1211, ","  30.5"," ,C,1026, ","","","","","","","","","","","","","","","","","","","","","","","    367.7"," ,C","     1258"," ,C","","","","","",""
"CA001167260","1931","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       110","C","        69","C","         0","C","        24","C","","","","","","","","","","","","","   152"," ,C,0205, ","  18.8"," ,C,0906, ","","","","","","","","","","","","","","","","","","","","","","","    498.4"," ,C","     1643"," ,C","","","","","",""
"CA001167260","1932","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       136","C","        81","C","         1","C","        40","C","","","","","","","","","","","","","   140"," ,C,0221, ","  33.0"," ,C,0811, ","","","","","","","","","","","","","","","","","","","","","","","    522.8"," ,C","     2006"," ,C","","","","","",""
"CA001167260","1933","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       139","C","        66","C","         0","C","        34","C","","","","","","","","","","","","","   152"," ,C,1210, ","  23.9"," ,C,1102, ","","","","","","","","","","","","","","","","","","","","","","","    482.5"," ,C","     2033"," ,C","","","","","",""
"CA001167260","1934","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       123","C","        66","C","         0","C","        22","C","","","","","","","","","","","","","   152"," ,C,0306, ","  17.8"," ,C,0911, ","","","","","","","","","","","","","","","","","","","","","","","    430.3"," ,C","     1217"," ,C","","","","","",""
"CA001167260","1935","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       104","C","        70","C","         0","C","        34","C","","","","","","","","","","","","","   203"," ,C,0120, ","  23.9"," ,C,0701, ","","","","","","","","","","","","","","","","","","","","","","","    459.9"," ,C","     1848"," ,C","","","","","",""
"CA001167260","1936","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       115","C","        73","C","         1","C","        41","C","","","","","","","","","","","","","   483"," ,C,1206, ","  48.3"," ,C,1206, ","","","","","","","","","","","","","","","","","","","","","","","    551.3"," ,C","     2370"," ,C","","","","","",""
"CA001167260","1937","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       127","C","        78","C","         1","C","        43","C","","","","","","","","","","","","","   381"," ,C,0221, ","  38.1"," ,C,0221, ","","","","","","","","","","","","","","","","","","","","","","","    591.7"," ,C","     2829"," ,C","","","","","",""
"CA001167260","1938","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","        96","C","        58","C","         1","C","        32","C","","","","","","","","","","","","","   356"," ,C,1227, ","  35.6"," ,C,1227, ","","","","","","","","","","","","","","","","","","","","","","","    448.8"," ,C","     2130"," ,C","","","","","",""
"CA001167260","1939","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       110","C","        61","C","         0","C","        31","C","","","","","","","","","","","","","   152"," ,C,0115,+","  15.7"," ,C,1107, ","","","","","","","","","","","","","","","","","","","","","","","    439.3"," ,C","     1671"," ,C","","","","","",""
"CA001167260","1940","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       111","C","        62","C","         0","C","        28","C","","","","","","","","","","","","","   102"," ,C,0127, ","  21.6"," ,C,1024, ","","","","","","","","","","","","","","","","","","","","","","","    412.5"," ,C","     1062"," ,C","","","","","",""
"CA001167260","1941","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       128","C","        71","C","         0","C","        17","C","","","","","","","","","","","","","    51"," ,C,1204,+","  18.5"," ,C,0827, ","","","","","","","","","","","","","","","","","","","","","","","    431.0"," ,C","      631"," ,C","","","","","",""
"CA001167260","1942","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       102","C","        72","C","         0","C","        20","C","","","","","","","","","","","","","   127"," ,C,1202,+","  24.9"," ,C,0714, ","","","","","","","","","","","","","","","","","","","","","","","    562.6"," ,C","     1036"," ,C","","","","","",""
"CA001167260","1943","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","        86","C","        42","C","         0","C","        19","C","","","","","","","","","","","","","   185"," ,C,1224, ","  18.8"," ,C,0807, ","","","","","","","","","","","","","","","","","","","","","","","    390.7"," ,C","     1366"," ,C","","","","","",""
"CA001167260","1944","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       105","C","        57","C","         0","C","        12","C","","","","","","","","","","","","","   165"," ,C,0215, ","  24.1"," ,C,0601, ","","","","","","","","","","","","","","","","","","","","","","","    538.0"," ,C","      962"," ,C","","","","","",""
"CA001167260","1945","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       115","C","        54","C","         1","C","        15","C","","","","","","","","","","","","","   160"," ,C,0107, ","  25.9"," ,C,1025, ","","","","","","","","","","","","","","","","","","","","","","","    419.9"," ,C","     1023"," ,C","","","","","",""
"CA001167260","1946","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    479.7"," ,C","     1785"," ,C","","","","","",""
"CA001167260","1947","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       121","C","        63","C","         0","C","        14","C","","","","","","","","","","","","","   127"," ,C,1215, ","  16.3"," ,C,0714, ","","","","","","","","","","","","","","","","","","","","","","","    512.1"," ,C","     1228"," ,C","","","","","",""
"CA001167260","1948","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       144","C","        70","C","         0","C","        19","C","","","","","","","","","","","","","   147"," ,C,1219, ","  23.6"," ,C,0804, ","","","","","","","","","","","","","","","","","","","","","","","    550.8"," ,C","     1323"," ,C","","","","","",""
"CA001167260","1951","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       122","C","        68","C","         3","C","        26","C","","","","","","","","","","","","","   274"," ,C,0124, ","  37.3"," ,C,0209, ","","","","","","","","","","","","","","","","","","","","","","","    571.6"," ,C","     1843"," ,C","","","","","",""
"CA001167260","1952","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","        90","C","        36","C","         0","C","         8","C","","","","","","","","","","","","","   132"," ,C,0123, ","  22.1"," ,C,0612, ","","","","","","","","","","","","","","","","","","","","","","","    290.7"," ,C","      750"," ,C","","","","","",""
"CA001167260","1953","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       141","C","        74","C","         1","C","        11","C","","","","","","","","","","","","","   145"," ,C,0102, ","  35.6"," ,C,0820, ","","","","","","","","","","","","","","","","","","","","","","","    592.2"," ,C","      865"," ,C","","","","","",""
"CA001167260","1954","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       121","C","        66","C","         2","C","        13","C","","","","","","","","","","","","","   163"," ,C,0114, ","  41.1"," ,C,0511, ","","","","","","","","","","","","","","","","","","","","","","","    562.7"," ,C","     1039"," ,C","","","","","",""
"CA001167260","1955","50.3","-118.8167","427.0","SHUSWAP FALLS, BC CA","","","","","       133","C","        65","C","         0","C","        21","C","","","","","","","","","","","","","   140"," ,C,1127, ","  16.5"," ,C,0704, ","","","","","","","","","","","","","","","","","","","","","","","    470.5"," ,C","     1414"," ,C","","","","","",""
