"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00111655","2000","40.0084","-88.7267","209.7","CISCO, IL US","","","","","","","","","","","        67"," ","        49"," ","","","","","","","","","","","","","",""
"USC00111655","2001","40.0084","-88.7267","209.7","CISCO, IL US","","","","","","","","","","","        35"," ","        42"," ","","","","","","","    3365.9","9","    3365.9","0","","","",""
"USC00111655","2003","40.0084","-88.7267","209.7","CISCO, IL US","        95","0","        55","0","         8","0","       35","","         7","0","         3"," ","        14"," ","    76"," ,0,0118,+","    71"," ,0,0211, "," 131.8"," ,0,0901, ","","","","","    883.2"," ,0","      489"," ,0"
"USC00111655","2004","40.0084","-88.7267","209.7","CISCO, IL US","       106","0","        74","0","        12","0","       23","","         6","0","         8"," ","        26"," ","   102"," ,0,0209,+","    71"," ,0,0211, ","  79.0"," ,0,0826, ","","","","","   1102.9"," ,0","      448"," ,0"
"USC00111655","2005","40.0084","-88.7267","209.7","CISCO, IL US","","","","","","","","","","","        12"," ","        18"," ","","","","","","","","","","","","","",""
"USC00111655","2006","40.0084","-88.7267","209.7","CISCO, IL US","","","","","","","","","","","        20"," ","        23"," ","","","","","","","","","","","","","",""
"USC00111655","2007","40.0084","-88.7267","209.7","CISCO, IL US","","","","","","","","","","","        25"," ","        16"," ","","","","","","","","","","","","","",""
"USC00111655","2008","40.0084","-88.7267","209.7","CISCO, IL US","","","","","","","","","","","         4"," ","        28"," ","","","","","","","","","","","","","",""
"USC00111655","2009","40.0084","-88.7267","209.7","CISCO, IL US","       113","0","        71","0","        13","0","       30","","         7","0","        20"," ","        20"," ","   127"," ,0,1231,+","    74"," ,0,0128, ","  68.8"," ,0,1009, ","","","","","   1121.6"," ,0","      447"," ,0"
"USC00111655","2010","40.0084","-88.7267","209.7","CISCO, IL US","       106","0","        79","0","        13","0","       68","","        14","0","        27"," ","        38"," ","   279"," ,0,0108, ","   155"," ,0,0208, ","  83.3"," ,0,0903, ","","","","","   1147.1"," ,0","      956"," ,0"
"USC00111655","2011","40.0084","-88.7267","209.7","CISCO, IL US","       112","7","        72","7","         5","7","","","","","        24"," ","        27"," ","","","","","  47.5"," ,7,0526, ","","","","","    810.1"," ,7","",""
"USC00111655","2012","40.0084","-88.7267","209.7","CISCO, IL US","       100","7","        63","7","         4","7","","","","","        28"," ","        30"," ","","","","","  48.0"," ,7,0902, ","","","","","    680.5"," ,7","",""
