"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00048162","1959","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048162","1960","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","        83"," ","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","   1579.0"," ,0","        0"," ,0","","","","","",""
"USC00048162","1961","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","        55"," ","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","   1544.0"," ,0","        0"," ,0","","","","","",""
"USC00048162","1962","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","        64","0","        51","0","        17","0","        0","","         0","0","","","","","","","","","","","        32"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  85.9"," ,0,1126, ","","","","","","","","","   1320.5"," ,0","        0"," ,0","","","","","",""
"USC00048162","1963","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048162","1965","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048162","1966","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048162","1967","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048162","1968","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00048162","1969","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","   1528.9"," ,0","        0"," ,0","","","","","",""
"USC00048162","1970","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048162","1971","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","       118","0","        77","0","        16","0","        0","","         0","0","","","","","         0","0","        44","0","         0","0","","","         2"," ","","","     0"," ,0,1231,+","     0","T,0,0225,+","  88.1"," ,0,0323, ","   29.4","0,0915, ","","","","","","","   1478.2"," ,0","        0","T,0","","","     15.59","0","",""
"USC00048162","1972","40.03333","-124.06667","33.5","SHELTER COVE, CA US","     13.7","","      13.7","0","       121","0","        94","0","        17","0","        0","","         0","0","         0","0","         4","0","         0","0","        37","0","         0","0","","","         6"," ","   -2.8","0,1208, ","     0","T,0,0126, ","     0","T,0,1207,+"," 106.7"," ,0,0122, ","   31.1","0,0714, ","-2.8","0,1208","-2.8","0,1208","0.0","0,0127","   1752.8"," ,0","        0","T,0","     12.49","0","     15.98","0","      9.00","0"
"USC00048162","1973","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","       134","0","       110","0","        29","0","        0","","         0","0","","","","","","","","","","","","","         4"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  81.3"," ,0,0112, ","","","","","","","","","   2095.1"," ,0","        0"," ,0","","","","","",""
"USC00048162","1974","40.03333","-124.06667","33.5","SHELTER COVE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
