"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TUM00017234","1984","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       185","S","        93","S","","","","","   41.8","S,0717, ","","","","","","","","","","","","","     24.33","S","",""
"TUM00017234","1989","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       215","S","        89","S","","","","","   40.6","S,0714, ","","","","","","","","","","","","","     24.85","S","",""
"TUM00017234","1991","37.85","27.85","56.0","AYDIN, TU","","","","","","","         0","S","        22","S","","","","","","","   -4.8","S,0204, ","","","","","-0.4","S,1204","-2.3","S,1210","-1.8","S,0306","-3.4","S,0205","-4.8","S,0204","","","","","     11.34","S"
"TUM00017234","1992","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       209","S","        98","S","","","","","   40.6","S,0707, ","","","","","","","","","","","","","     24.14","S","",""
"TUM00017234","1993","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       204","S","       104","S","","","","","   40.7","S,0829, ","","","","","","","","","","","","","     24.84","S","",""
"TUM00017234","1995","37.85","27.85","56.0","AYDIN, TU","        70","S","        49","S","         1","S","","","","","         0","S","       210","S","       110","S","",""," 102.1"," ,S,0203, ","   40.4","S,0614, ","","","","","","","","","","","    540.5"," ,S","     24.60","S","",""
"TUM00017234","1996","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       210","S","       106","S","","","","","   42.1","S,0626, ","","","","","","","","","","","","","     24.74","S","",""
"TUM00017234","1997","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       192","S","        97","S","","","","","   41.8","S,0620, ","","","","","","","","","","","","","     24.16","S","",""
"TUM00017234","1999","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       221","S","       115","S","","","","","   41.0","S,0810, ","","","","","","","","","","","","","     25.63","S","",""
"TUM00017234","2000","37.85","27.85","56.0","AYDIN, TU","","","","","","","","","","","         0","S","       220","S","       107","S","","","","","   44.4","S,0706, ","","","","","","","","","","","","","     25.25","S","",""
