"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UY000001915","1964","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        49","I","        42","I","        12","I","","","","","",""," 102.0"," ,I,0207, ","","","","","","","","","   1050.0"," ,I","",""
"UY000001915","1973","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        73","I","        65","I","        16","I","","","","","","","  94.0"," ,I,0107, ","","","","","","","","","   1330.0"," ,I","",""
"UY000001915","1975","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        52","I","        47","I","        13","I","","","","","",""," 100.0"," ,I,1116, ","","","","","","","","","    994.0"," ,I","",""
"UY000001915","1976","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        67","I","        54","I","        13","I","","","","","","","  67.0"," ,I,0529, ","","","","","","","","","   1172.0"," ,I","",""
"UY000001915","1977","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        79","I","        64","I","        25","I","","","","","",""," 101.0"," ,I,0101, ","","","","","","","","","   1752.0"," ,I","",""
"UY000001915","1978","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        79","I","        74","I","        29","I","","","","","",""," 125.0"," ,I,0319, ","","","","","","","","","   1853.0"," ,I","",""
"UY000001915","1979","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        51","I","        45","I","        15","I","","","","","","","  72.0"," ,I,0305, ","","","","","","","","","    899.0"," ,I","",""
"UY000001915","1980","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        75","I","        66","I","        20","I","","","","","","","  89.0"," ,I,0217, ","","","","","","","","","   1362.0"," ,I","",""
"UY000001915","1981","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        72","I","        58","I","        16","I","","","","","","","  86.0"," ,I,0201, ","","","","","","","","","   1138.0"," ,I","",""
"UY000001915","1982","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        77","I","        69","I","        16","I","","","","","","","  74.0"," ,I,0608, ","","","","","","","","","   1203.0"," ,I","",""
"UY000001915","1983","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        61","I","        50","I","        18","I","","","","","","","  93.0"," ,I,0403, ","","","","","","","","","   1162.0"," ,I","",""
"UY000001915","1984","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        83","I","        77","I","        23","I","","","","","",""," 100.0"," ,I,0109, ","","","","","","","","","   1676.0"," ,I","",""
"UY000001915","1985","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        51","I","        41","I","        13","I","","","","","",""," 133.0"," ,I,0518, ","","","","","","","","","   1087.0"," ,I","",""
"UY000001915","1986","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        64","I","        52","I","        13","I","","","","","","","  76.0"," ,I,0520, ","","","","","","","","","   1097.0"," ,I","",""
"UY000001915","1987","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        69","I","        59","I","         9","I","","","","","","","  89.0"," ,I,0711, ","","","","","","","","","   1020.0"," ,I","",""
"UY000001915","1988","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        64","I","        51","I","        13","I","","","","","","","  82.0"," ,I,0121, ","","","","","","","","","    967.0"," ,I","",""
"UY000001915","1992","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        76","I","        61","I","        18","I","","","","","","","  62.0"," ,I,0429, ","","","","","","","","","   1169.0"," ,I","",""
"UY000001915","1993","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        84","I","        71","I","        18","I","         0","S","         6","S","   -2.0","S,0715, ","  83.0"," ,I,0115, ","0.0","S,0601","","","-0.5","S,0818","","","   1308.0"," ,I","     12.31","S"
"UY000001915","1994","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        89","I","        69","I","        18","I","","","","","","","  64.0"," ,I,0730, ","","","","","","","","","   1423.0"," ,I","",""
"UY000001915","1995","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        90","I","        73","I","        14","I","         0","S","         6","S","   -2.4","S,0804, "," 146.0"," ,I,0501, ","0.0","S,0620","-2.2","S,0629","-0.4","S,0810","-2.4","S,0804","   1278.0"," ,I","     12.04","S"
"UY000001915","1996","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        68","I","        54","I","        15","I","         0","S","        18","S","   -3.0","S,0701, "," 105.0"," ,I,1204, ","-0.8","S,0603","-2.2","S,0604","-0.6","S,0906","","","   1251.0"," ,I","     12.18","S"
"UY000001915","1997","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        83","I","        66","I","        14","I","","","","","",""," 104.0"," ,I,1213, ","","","","","","","","","   1247.0"," ,I","",""
"UY000001915","1998","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        85","I","        71","I","        19","I","","","","","","","  94.0"," ,I,0526, ","","","","","","","","","   1498.0"," ,I","",""
"UY000001915","2001","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","","","","","","","         0","S","         2","S","   -1.2","S,0728, ","","","0.0","S,0723","","","","","","","","","     13.35","S"
"UY000001915","2002","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","","","","","","","         0","S","         7","S","   -2.0","S,0625,+","","","-1.6","S,0612","","","","","","","","","     12.68","S"
"UY000001915","2003","-32.8","-56.517","75.0","PASO DE LOS TOROS, UY","        99","S","        79","S","        13","S","","","","","","","  74.9"," ,S,0205, ","","","","","","","","","   1279.1"," ,S","",""
