"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000FOCH","1989","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","","","","","","","","","         0","U","       349","U","       121","U","","","   36.1","U,0817,+","","","","","","","","","","","","","     29.70","U","",""
"USR0000FOCH","1990","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2222.6","","    2222.6","U","         0","U","         0","U","         0","U","       356","U","       139","U","    5.6","U,0114, ","   36.7","U,0709, ","","","","","","","","","","","     24.33","U","     30.25","U","     18.41","U"
"USR0000FOCH","1991","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","","","","","","","","","         0","U","       353","U","       107","U","","","   36.7","U,0907, ","","","","","","","      69.7","7","      69.7","U","","","     29.48","U","",""
"USR0000FOCH","1994","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2294.3","","    2294.3","U","         0","U","         0","U","         0","U","       343","U","       110","U","    3.9","U,0106, ","   35.6","U,0625, ","","","","","","","","","","","     24.54","U","     29.57","U","     19.51","U"
"USR0000FOCH","1995","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2261.9","","    2261.9","U","         0","U","         0","U","         0","U","       335","U","       113","U","    1.7","U,0209, ","   36.7","U,1008,+","","","","","","","     108.3","3","     108.3","U","     24.11","U","     28.87","U","     19.36","U"
"USR0000FOCH","1996","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   1970.3","","    1970.3","U","         0","U","         3","U","         0","U","       347","U","        90","U","   -1.7","U,0205, ","   35.6","U,0815,+","","","0.0","U,0217","","","     267.5","5","     267.5","U","     23.06","U","     28.66","U","     17.46","U"
"USR0000FOCH","1997","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2240.4","","    2240.4","U","         0","U","         1","U","         0","U","       347","U","       109","U","   -2.2","U,0119, ","   36.1","U,0829,+","","","-2.2","U,0119","-2.2","U,0119","      95.8","8","      95.8","U","     24.35","U","     29.58","U","     19.11","U"
"USR0000FOCH","1998","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2504.5","","    2504.5","U","         0","U","         0","U","         0","U","       354","U","       150","U","    6.1","U,0313, ","   38.3","U,0703,+","","","","","","","     102.1","1","     102.1","U","     24.95","U","     30.26","U","     19.63","U"
"USR0000FOCH","2000","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2079.8","","    2079.8","U","         0","U","         0","U","         0","U","       353","U","       129","U","    1.7","U,1221, ","   37.2","U,0903, ","","","","","","","     107.2","2","     107.2","U","     23.64","U","     29.56","U","     17.71","U"
"USR0000FOCH","2001","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2122.3","","    2122.3","U","         0","U","         3","U","         0","U","       351","U","       116","U","   -1.1","U,0105, ","   37.2","U,0816, ","","","0.0","U,0110","","","     208.6","6","     208.6","U","     23.70","U","     29.65","U","     17.74","U"
"USR0000FOCH","2002","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2357.9","","    2357.9","U","         0","U","         0","U","         0","U","       353","U","       155","U","    0.6","U,0228, ","   36.7","U,0716, ","","","","","","","      87.7","7","      87.7","U","     24.44","U","     30.21","U","     18.66","U"
"USR0000FOCH","2004","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2143.4","","    2143.4","U","         0","U","         0","U","         0","U","       354","U","       133","U","    2.8","U,0124, ","   37.8","U,0702, ","","","","","","","     146.8","8","     146.8","U","     23.85","U","     29.93","U","     17.77","U"
"USR0000FOCH","2006","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2196.5","","    2196.5","U","         0","U","         0","U","         0","U","       350","U","       144","U","    0.6","U,0214,+","   36.7","U,0828,+","","","","","","","","","","","     23.95","U","     30.01","U","     17.89","U"
"USR0000FOCH","2007","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2326.9","","    2326.9","U","         0","U","         1","U","         0","U","       356","U","       141","U","    0.0","U,0219, ","   38.3","U,0809,+","","","0.0","U,0219","","","     115.1","1","     115.1","U","     24.39","U","     30.45","U","     18.33","U"
"USR0000FOCH","2008","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2149.2","","    2149.2","U","         0","U","         1","U","         0","U","       357","U","       111","U","    0.0","U,0103, ","   36.1","U,0816, ","","","0.0","U,0103","","","      83.8","8","      83.8","U","     23.85","U","     29.61","U","     18.10","U"
"USR0000FOCH","2009","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","","","","","     190.8","8","     190.8","U","","","","","",""
"USR0000FOCH","2010","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2168.7","","    2168.7","U","         0","U","         6","U","         0","U","       323","U","       148","U","   -2.2","U,0111, ","   37.8","U,0820,+","0.0","U,1214","-2.2","U,0111","-2.2","U,0111","","","","","     23.17","U","     29.09","U","     17.26","U"
"USR0000FOCH","2011","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2294.2","","    2294.2","U","         0","U","         0","U","         0","U","       359","U","       168","U","    1.1","U,0123, ","   36.7","U,0911,+","","","","","","","     224.1","1","     224.1","U","     24.33","U","     30.75","U","     17.91","U"
"USR0000FOCH","2012","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2252.5","","    2252.5","U","         0","U","         1","U","         0","U","       360","U","       129","U","    0.0","U,0104, ","   36.1","U,0911,+","","","0.0","U,0104","","","      84.0","0","      84.0","U","     24.20","U","     30.08","U","     18.32","U"
"USR0000FOCH","2013","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","","","","","         0","U","         0","U","         0","U","       357","U","       118","U","    2.2","U,0218, ","   35.6","U,0823, ","","","","","","","     126.4","4","     126.4","U","     24.48","U","     29.90","U","     19.06","U"
"USR0000FOCH","2014","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2244.3","","    2244.3","U","         0","U","         0","U","         0","U","       349","U","       135","U","    1.1","U,0119,+","   36.1","U,0905,+","","","","","","","","","","","     24.13","U","     29.87","U","     18.39","U"
"USR0000FOCH","2015","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2525.0","","    2525.0","U","         0","U","         1","U","         0","U","       359","U","       140","U","    0.0","U,0220, ","   35.6","U,0825,+","","","0.0","U,0220","","","     116.6","6","     116.6","U","     25.00","U","     30.30","U","     19.70","U"
"USR0000FOCH","2016","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2455.8","","    2455.8","U","         0","U","         0","U","         0","U","       345","U","       129","U","    6.7","U,1231,+","   36.7","U,0709, ","","","","","","","      82.3","3","      82.3","U","     24.78","U","     29.81","U","     19.76","U"
"USR0000FOCH","2017","25.9167","-81.2833","2.1","OCHOPEE FLORIDA, FL US","   2409.6","","    2409.6","U","         0","U","         0","U","         0","U","       361","U","       108","U","    5.0","U,1211,+","   36.1","U,0816, ","","","","","","","      50.2","2","      50.2","U","     24.75","U","     29.83","U","     19.66","U"
