"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013824","1950","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","","","","","","","","","","","","","","","","","","","","","","","","","        40"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013824","1951","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1419.6","","    1419.6","X","       103","X","        79","X","        10","X","        0","","         0","X","         0","X","        18","X","         0","X","       262","X","        77","X","       148"," ","        66"," ","   -5.0","X,0202, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  89.2"," ,X,0823, ","   36.7","X,0808,+","-1.1","X,1118","-2.2","X,1120","","","","","0.0","X,0211","-3.3","X,0208","-5.0","X,0202","","","","","","","","","   1175.4"," ,X","        0"," ,X","     19.68","X","     24.99","X","     14.37","X","","","",""
"USW00013824","1952","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1426.3","","    1426.3","X","       100","X","        62","X","         9","X","        0","","         0","X","         0","X","         7","X","         0","X","       271","X","        70","X","       140"," ","        65"," ","   -3.3","X,1216, ","     0"," ,X,1231,+","     0","T,X,1214,+","  80.0"," ,X,0529, ","   40.0","X,0724,+","-2.2","X,1215","-2.2","X,1215","","","","","0.0","X,0201","","","","","","","","","     790.9","9","     790.9","X","    910.0"," ,X","        0","T,X","     19.91","X","     25.33","X","     14.48","X","       225","X","      22.8","X"
"USW00013824","1953","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1422.8","","    1422.8","X","       110","X","        71","X","        21","X","        0","","         0","X","         0","X","         6","X","         0","X","       265","X","        51","X","       128"," ","        39"," ","   -5.6","X,1218, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  98.3"," ,X,0726, ","   38.3","X,0601, ","-1.1","X,1217","-5.6","X,1218","-5.6","X,1218","","","-0.6","X,0113","","","","","","","","","     808.9","9","     808.9","X","   1617.2"," ,X","        0"," ,X","     20.11","X","     25.25","X","     14.96","X","        68","X","      26.4","X"
"USW00013824","1954","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1577.3","","    1577.3","X","        78","X","        47","X","         8","X","        0","","         0","X","         0","X","         9","X","         0","X","       259","X","        94","X","       107"," ","        36"," ","   -2.8","X,1207,+","     0"," ,X,1231,+","     0","T,X,0623,+"," 120.9"," ,X,0915, ","   40.6","X,0817, ","-2.8","X,1103","-2.8","X,1103","","","","","-1.1","X,0307","","","","","","","","","     799.3","3","     799.3","X","    716.8"," ,X","        0","T,X","     20.17","X","     25.72","X","     14.62","X","        45","X","      23.7","X"
"USW00013824","1955","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1327.6","","    1327.6","X","        92","X","        57","X","        13","X","        0","","         0","X","         0","X","        19","X","         0","X","       264","X","        48","X","       169"," ","        58"," ","   -5.0","X,0213,+","     0"," ,X,1231,+","     0","T,X,1212,+","  62.2"," ,X,0913, ","   35.6","X,0820, ","-2.8","X,1129","-2.8","X,1129","","","","","0.0","X,0329","-2.2","X,0327","-5.0","X,0213","","","","","     964.0","0","     964.0","X","    872.1"," ,X","        0","T,X","     19.22","X","     24.66","X","     13.77","X","       315","X","      26.2","X"
"USW00013824","1956","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1298.9","","    1298.9","X","        87","X","        55","X","        11","X","        0","","         0","X","         0","X","        26","X","         0","X","       265","X","        71","X","       127"," ","        48"," ","   -5.0","X,1128, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  95.5"," ,X,0804, ","   36.7","X,0523, ","-1.1","X,1110","-2.8","X,1123","-5.0","X,1128","","","-0.6","X,0322","-2.2","X,0118","-4.4","X,0115","","","","","    1080.4","4","    1080.4","X","    926.6"," ,X","        0"," ,X","     19.36","X","     25.21","X","     13.51","X","       248","X","      23.6","X"
"USW00013824","1957","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1266.0","","    1266.0","X","       116","X","        80","X","        19","X","        0","","         0","X","         0","X","        14","X","         0","X","       256","X","        43","X","       144"," ","        50"," ","   -8.3","X,1213,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  99.3"," ,X,0727, ","   37.2","X,0812, ","0.0","X,1029","-2.2","X,1201","-4.4","X,1211","-6.7","X,1212","0.0","X,0310","-8.3","X,0119","-8.3","X,0119","-8.3","X,0119","","","     808.4","4","     808.4","X","   1628.1"," ,X","        0"," ,X","     19.31","X","     24.37","X","     14.24","X","       135","X","      20.0","X"
"USW00013824","1958","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1270.8","","    1270.8","X","        92","X","        62","X","        11","X","        0","","         0","X","         0","X","        38","X","         0","X","       237","X","        55","X","       146"," ","        32"," ","   -8.9","X,0218,+","     0","T,X,0213, ","     0","T,X,1211,+","  55.1"," ,X,0607, ","   36.1","X,0729, ","-2.2","X,1211","-2.2","X,1211","-6.1","X,1212","","","-0.6","X,0322","-5.0","X,0221","-5.0","X,0221","-6.7","X,0219","-8.9","X,0218","    1323.7","7","    1323.7","X","   1002.5"," ,X","        0","T,X","     18.20","X","     23.48","X","     12.92","X","       180","X","      20.0","X"
"USW00013824","1959","32.01667","-81.13333","17.1","SAVANNAH HUNTER FIELD, GA US","   1402.7","","    1402.7","X","       115","X","        80","X","        15","X","        0","","         0","X","         0","X","        22","X","         0","X","       250","X","        50","X","       142"," ","        54"," ","   -8.3","X,0106, ","     0"," ,X,1231,+","     0"," ,X,1231,+"," 121.7"," ,X,0929, ","   38.3","X,0629, ","-2.8","X,1129","-2.8","X,1129","-5.0","X,1130","","","-1.1","X,0222","-3.9","X,0124","-6.1","X,0118","-7.8","X,0117","","","    1014.1","1","    1014.1","X","   1522.1"," ,X","        0"," ,X","     19.33","X","     24.42","X","     14.23","X","       315","X","      25.7","X"
