"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00341168","1965","34.13333","-94.7","135.0","BROKEN BOW DAM, OK US","","","","","        73","0","        57","0","        12","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0225, "," 134.9"," ,0,0922, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1041.1"," ,0","        0","T,0","","","","","","","",""
"USC00341168","1966","34.13333","-94.7","135.0","BROKEN BOW DAM, OK US","","","","","        86","0","        68","0","         9","0","","","","","","","","","","","","","","","","","","","","","  84.6"," ,0,0426, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1029.4"," ,0","","","","","","","","","",""
"USC00341168","1967","34.13333","-94.7","135.0","BROKEN BOW DAM, OK US","","","","","        82","0","        70","0","        19","0","","","","","","","","","","","","","","","","","","","","","  94.5"," ,0,1030, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1470.5"," ,0","","","","","","","","","",""
"USC00341168","1968","34.13333","-94.7","135.0","BROKEN BOW DAM, OK US","","","","","       100","0","        90","0","        23","0","","","         3","0","","","","","","","","","","","","","","","    38"," ,0,0222, ","  79.8"," ,0,0514, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1748.1"," ,0","       88"," ,0","","","","","","","",""
"USC00341168","1969","34.13333","-94.7","135.0","BROKEN BOW DAM, OK US","","","","","        81","0","        54","0","        16","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 127.0"," ,0,0130, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1351.3"," ,0","        0"," ,0","","","","","","","",""
"USC00341168","1970","34.13333","-94.7","135.0","BROKEN BOW DAM, OK US","   1138.3","","    1138.3","0","        86","0","        74","0","         8","0","        0","","         0","0","         0","0","        61","0","         3","0","       217","0","        73","0","  -13.9","0,0109, ","     0"," ,0,1231,+","     0","T,0,0321, "," 126.5"," ,0,0820, ","   40.0","0,0810,+","","","-6.1","0,1116","-6.1","0,1116","-6.1","0,1116","-8.9","0,1124","-8.9","0,1124","-0.6","0,0322","-2.2","0,0313","-4.4","0,0227","-7.2","0,0204","-8.9","0,0123","","","","","   1075.5"," ,0","        0","T,0","     16.50","0","     22.61","0","     10.38","0","",""
"USC00341168","1971","34.13333","-94.7","135.0","BROKEN BOW DAM, OK US","   1127.9","","    1127.9","0","        80","0","        63","0","        14","0","        0","","         0","0","         0","0","        49","0","         1","0","       231","0","        61","0","  -10.6","0,0108, ","     0"," ,0,1231,+","     0","T,0,0208, "," 209.6"," ,0,1210, ","   39.4","0,0716, ","","","-0.6","0,1120","","","","","","","","","0.0","0,0407","-3.9","0,0308","-6.1","0,0305","-8.3","0,0304","-10.0","0,0210","    1709.4","4","    1709.4","0","   1301.8"," ,0","        0","T,0","     17.05","0","     23.00","0","     11.10","0","",""
"USC00341168","1972","34.13333","-94.7","135.0","BROKEN BOW DAM, OK US","   1128.2","","    1128.2","0","        89","0","        68","0","        14","0","        0","","         0","0","         0","0","        59","0","         2","0","       232","0","        81","0","  -12.2","0,0105, ","     0"," ,0,1231,+","     0","T,0,0104, ","  97.8"," ,0,1031, ","   38.3","0,0821,+","","","-1.1","0,1123","-2.2","0,1206","-6.7","0,1207","-6.7","0,1207","","","0.0","0,0306","-4.4","0,0219","-4.4","0,0219","-10.0","0,0204","-10.0","0,0204","    1400.0","0","    1400.0","0","   1103.1"," ,0","        0","T,0","     16.75","0","     23.10","0","     10.39","0","",""
"USC00341168","1973","34.13333","-94.7","135.0","BROKEN BOW DAM, OK US","    921.8","","     921.8","0","       107","0","        92","0","        30","0","","","","","         0","0","        70","0","         4","0","       229","0","        69","0","  -10.6","0,0113, ","","","","","  75.9"," ,0,0906, ","   37.2","0,0822, ","    1465.9","0","0.0","0,1029","-5.6","0,1207","-5.6","0,1207","-7.2","0,1217","-8.9","0,1221","-1.7","0,0411","-2.8","0,0220","-5.6","0,0219","-7.2","0,0218","-10.6","0,0113","    1905.2","2","    1905.2","0","   1935.2"," ,0","","","     16.07","0","     22.95","0","      9.18","0","     20769","0"
"USC00341168","1974","34.13333","-94.7","135.0","BROKEN BOW DAM, OK US","    874.6","","     874.6","0","       100","0","        74","0","        21","0","","","","","         0","0","        71","0","         2","0","       237","0","        57","0","   -9.4","0,0101, ","","","","","  78.5"," ,0,0911, ","   41.1","0,0722, ","    1453.1","0","-2.8","0,1115","-2.8","0,1115","-5.0","0,1204","-8.3","0,1209","","","0.0","0,0410","-2.8","0,0323","-6.1","0,0227","-8.3","0,0226","-8.9","0,0102","    1534.4","4","    1534.4","0","   1537.2"," ,0","","","     16.33","0","     23.26","0","      9.39","0","     18981","0"
