"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087148","2006","-26.733","-60.483","93.0","PRESIDENCIA ROQUE SAENZ PENA, AR","         0","S","         4","S","   -4.2","S,0731, ","-4.2","S,0731","-4.2","S,0731","","","","","-2.0","S,0905","-3.0","S,0801","","","     15.41","S"
"ARM00087148","2012","-26.733","-60.483","93.0","PRESIDENCIA ROQUE SAENZ PENA, AR","         0","S","         8","S","   -5.8","S,0608, ","-4.2","S,0607","-4.2","S,0607","-5.8","S,0608","","","","","","","","","     16.16","S"
"ARM00087148","2013","-26.733","-60.483","93.0","PRESIDENCIA ROQUE SAENZ PENA, AR","         0","S","        11","S","   -6.2","S,0723, ","-1.5","S,0722","-6.2","S,0723","-6.2","S,0723","","","-0.1","S,0924","-4.3","S,0827","","","     14.87","S"
"ARM00087148","2014","-26.733","-60.483","93.0","PRESIDENCIA ROQUE SAENZ PENA, AR","         0","S","         3","S","   -1.8","S,0725, ","-1.8","S,0725","","","","","","","","","","","","","     16.40","S"
"ARM00087148","2015","-26.733","-60.483","93.0","PRESIDENCIA ROQUE SAENZ PENA, AR","         0","S","         2","S","   -0.4","S,0721, ","0.0","S,0705","","","","","","","","","","","","","     16.47","S"
"ARM00087148","2016","-26.733","-60.483","93.0","PRESIDENCIA ROQUE SAENZ PENA, AR","         0","S","        16","S","   -3.2","S,0622, ","-1.0","S,0607","-2.7","S,0612","","","","","-0.5","S,0907","","","","","     14.30","S"
"ARM00087148","2017","-26.733","-60.483","93.0","PRESIDENCIA ROQUE SAENZ PENA, AR","         0","S","         7","S","   -7.1","S,0718, ","-2.5","S,0620","-2.5","S,0620","-7.1","S,0718","-7.1","S,0718","","","","","","","     15.65","S"
"ARM00087148","2018","-26.733","-60.483","93.0","PRESIDENCIA ROQUE SAENZ PENA, AR","         0","S","        12","S","   -4.0","S,0616, ","0.0","S,0613","-4.0","S,0616","","","","","-0.5","S,0826","-2.2","S,0822","","","     15.17","S"
"ARM00087148","2020","-26.733","-60.483","93.0","PRESIDENCIA ROQUE SAENZ PENA, AR","         0","S","        12","S","   -6.1","S,0821, ","-0.4","S,0524","-4.7","S,0729","-4.7","S,0729","","","-0.7","S,0903","-3.5","S,0822","-6.1","S,0821","     14.52","S"
"ARM00087148","2022","-26.733","-60.483","93.0","PRESIDENCIA ROQUE SAENZ PENA, AR","         0","S","        11","S","   -6.0","S,0819, ","-1.0","S,0519","-2.2","S,0717","","","","","-2.1","S,0821","-2.6","S,0820","-6.0","S,0819","     13.21","S"
