"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00053977","2011","32.44444","-97.81694","237.1","GRANBURY MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        16"," ","         2"," ","        18"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053977","2012","32.44444","-97.81694","237.1","GRANBURY MUNICIPAL AIRPORT, TX US","       3.3","W","   1720.5","","    1720.5","W","        58","W","        32","W","         7","W","        0","","         0","W","         0","W","        41","W","         0","W","       277","W","       130","W","        48"," ","        13"," ","        48"," ","   -7.1","W,1211, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  64.0"," ,W,0124, ","   42.2","W,0802,+","0.0","W,1028","-2.7","W,1113","-7.1","W,1211","-7.1","W,1211","","","0.0","W,0225","-2.7","W,0103","","","","","","","","","","","    538.8"," ,W","        0"," ,W","     20.38","W","     27.04","W","     13.71","W","       290","W","      13.9","W"
"USW00053977","2013","32.44444","-97.81694","237.1","GRANBURY MUNICIPAL AIRPORT, TX US","       3.2","W","   1649.7","","    1649.7","W","        63","W","        44","W","         6","W","","","         0","W","         0","W","        53","W","         2","W","       251","W","       118","W","        63"," ","         4"," ","        44"," ","   -7.1","W,1210, ","","","     0"," ,W,1231,+","  69.3"," ,W,0920, ","   41.1","W,0807, ","-2.7","W,1113","-2.7","W,1113","-6.6","W,1207","-7.1","W,1210","","","-3.2","W,0326","-3.2","W,0326","-4.9","W,0116","","","","","    1155.4","4","    1155.4","W","    631.0"," ,W","        0"," ,W","     19.17","W","     25.67","W","     12.67","W","       170","W","      13.4","W"
"USW00053977","2014","32.44444","-97.81694","237.1","GRANBURY MUNICIPAL AIRPORT, TX US","       3.4","W","   1590.9","","    1590.9","W","        42","W","        28","W","         5","W","        0","","         0","W","         0","W","        46","W","         2","W","       258","W","       109","W","        60"," ","         9"," ","        34"," ","  -10.5","W,0106, ","     0"," ,W,1231,+","     0"," ,W,1231,+"," 125.2"," ,W,0622, ","   40.6","W,0808, ","0.0","W,1112","-2.7","W,1113","-4.9","W,1118","","","","","-1.0","W,0415","-8.8","W,0303","-8.8","W,0303","-8.8","W,0303","-9.3","W,0129","    1416.5","5","    1416.5","W","    472.0"," ,W","        0"," ,W","     19.14","W","     25.78","W","     12.49","W","       280","W","      13.4","W"
"USW00053977","2015","32.44444","-97.81694","237.1","GRANBURY MUNICIPAL AIRPORT, TX US","       2.8","W","   1674.4","","    1674.4","W","        85","W","        62","W","        16","W","        0","","","","         0","W","        39","W","         2","W","       263","W","       121","W","        72"," ","         7"," ","        55"," ","   -7.1","W,0108, ","     0"," ,W,1231,+","","","  99.6"," ,W,0509, ","   41.7","W,0809, ","-2.7","W,1122","-2.7","W,1122","","","","","","","-2.1","W,0307","-6.0","W,0306","-6.0","W,0306","-7.1","W,0108","","","    1207.7","7","    1207.7","W","   1143.8"," ,W","","","     19.73","W","     25.90","W","     13.57","W","       110","W","      13.0","W"
"USW00053977","2016","32.44444","-97.81694","237.1","GRANBURY MUNICIPAL AIRPORT, TX US","       3.0","W","   1691.8","","    1691.8","W","        75","W","        47","W","        11","W","        0","","         0","W","         0","W","        32","W","         1","W","       277","W","       114","W","        47"," ","         4"," ","        58"," ","   -9.3","W,1219, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  89.9"," ,W,0417, ","   40.6","W,0811, ","-1.0","W,1120","-3.2","W,1209","-5.5","W,1217","-8.2","W,1218","-9.3","W,1219","0.0","W,0321","-4.3","W,0204","-4.9","W,0123","","","","","     973.9","9","     973.9","W","    850.2"," ,W","        0"," ,W","     20.32","W","     26.52","W","     14.11","W","       240","W","      13.4","W"
"USW00053977","2017","32.44444","-97.81694","237.1","GRANBURY MUNICIPAL AIRPORT, TX US","       3.1","W","   1595.0","","    1595.0","W","        70","W","        46","W","        12","W","        0","","         0","W","         0","W","        25","W","         0","W","       289","W","       107","W","        50"," ","         4"," ","        43"," ","  -11.0","W,0107, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  70.4"," ,W,0624, ","   40.0","W,0729,+","-1.6","W,1028","-8.2","W,1208","-8.2","W,1208","-8.2","W,1208","","","0.0","W,0303","-4.3","W,0127","-6.6","W,0108","-11.0","W,0107","-11.0","W,0107","     795.1","1","     795.1","W","    747.6"," ,W","        0"," ,W","     20.34","W","     26.92","W","     13.75","W","       150","W","      13.0","W"
"USW00053977","2018","32.44444","-97.81694","237.1","GRANBURY MUNICIPAL AIRPORT, TX US","       3.2","W","   1837.6","","    1837.6","W","        67","W","        45","W","        12","W","        0","","","","         0","W","        43","W","         2","W","       243","W","       129","W","        56"," ","         7"," ","        55"," ","  -13.8","W,0117, ","     0"," ,W,1231,+","","","  74.4"," ,W,0811, ","   43.9","W,0722,+","-2.1","W,1113","-4.9","W,1114","-4.9","W,1114","","","","","0.0","W,0314","-4.9","W,0212","-4.9","W,0212","-11.0","W,0118","-11.0","W,0118","    1169.8","8","    1169.8","W","    880.8"," ,W","","","     19.66","W","     26.04","W","     13.27","W","       160","W","      14.3","W"
"USW00053977","2019","32.44444","-97.81694","237.1","GRANBURY MUNICIPAL AIRPORT, TX US","","","   1662.8","","    1662.8","W","        67","W","        44","W","         9","W","        0","","","","         0","W","        38","W","         1","W","       249","W","       127","W","        59"," ","        13"," ","        51"," ","   -6.6","W,0305, ","     0"," ,W,1231,+","","","  62.0"," ,W,0601, ","   40.6","W,0826, ","-2.1","W,1031","-2.7","W,1101","-4.9","W,1112","","","","","-5.5","W,0306","-5.5","W,0306","-5.5","W,0306","","","","","    1304.9","9","    1304.9","W","    806.5"," ,W","","","     19.37","W","     25.64","W","     13.11","W","","","",""
"USW00053977","2020","32.44444","-97.81694","237.1","GRANBURY MUNICIPAL AIRPORT, TX US","       3.4","W","   1608.1","","    1608.1","W","","","","","","","","","","","         0","W","        28","W","         0","W","       259","W","       117","W","        50"," ","         6"," ","        49"," ","   -3.8","W,0227,+","","","","","","","   42.8","W,0828,+","-1.6","W,1130","-3.2","W,1217","","","","","","","0.0","W,0228","-3.8","W,0227","","","","","","","    1169.1","1","    1169.1","W","","","","","     19.80","W","     26.28","W","     13.32","W","        50","W","      13.9","W"
