"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FP000091954","1991","-23.35","-149.483","3.0","TUBUAI, FP","       181","I","        87","I","        21","I","","","","","",""," 178.1"," ,I,1221, ","   1918.9"," ,I","",""
"FP000091954","1994","-23.35","-149.483","3.0","TUBUAI, FP","       180","I","       103","I","        24","I","","","","","",""," 149.1"," ,I,0830, ","   2030.8"," ,I","",""
"FP000091954","1996","-23.35","-149.483","3.0","TUBUAI, FP","       190","I","       109","I","        25","I","","","","","",""," 119.9"," ,I,0213, ","   1999.2"," ,I","",""
"FP000091954","1997","-23.35","-149.483","3.0","TUBUAI, FP","       184","I","       105","I","        19","I","","","","","",""," 137.9"," ,I,0308, ","   1900.2"," ,I","",""
"FP000091954","1998","-23.35","-149.483","3.0","TUBUAI, FP","       175","I","        80","I","        10","I","","","","","",""," 137.9"," ,I,0920, ","   1218.6"," ,I","",""
"FP000091954","2003","-23.35","-149.483","3.0","TUBUAI, FP","       199","I","       115","I","        24","I","","","","","","","  89.9"," ,I,0625, ","   1977.4"," ,I","",""
"FP000091954","2006","-23.35","-149.483","3.0","TUBUAI, FP","       186","S","       119","S","        15","S","","","","","",""," 127.0"," ,S,0221, ","   1787.9"," ,S","",""
"FP000091954","2009","-23.35","-149.483","3.0","TUBUAI, FP","       169","S","        98","S","        22","S","","","","","",""," 111.0"," ,S,1227, ","   1821.1"," ,S","",""
"FP000091954","2012","-23.35","-149.483","3.0","TUBUAI, FP","       150","S","        95","S","        17","S","","","","","","","  67.1"," ,S,0304, ","   1421.4"," ,S","",""
"FP000091954","2015","-23.35","-149.483","3.0","TUBUAI, FP","       183","S","        86","S","        25","S","         0","S","         0","S","   12.8","S,1002, "," 130.3"," ,S,0829, ","   1819.3"," ,S","     20.81","S"
"FP000091954","2016","-23.35","-149.483","3.0","TUBUAI, FP","       195","S","        77","S","        20","S","         0","S","         0","S","   14.6","S,0805, "," 117.3"," ,S,0425, ","   1485.2"," ,S","     21.35","S"
"FP000091954","2018","-23.35","-149.483","3.0","TUBUAI, FP","       238","S","        99","S","        25","S","         0","S","         0","S","   13.9","S,1022, "," 200.2"," ,S,1217, ","   2015.4"," ,S","     20.94","S"
"FP000091954","2019","-23.35","-149.483","3.0","TUBUAI, FP","       240","S","       104","S","        22","S","         0","S","         0","S","   12.7","S,0902, "," 144.5"," ,S,0224, ","   1988.2"," ,S","     21.06","S"
"FP000091954","2021","-23.35","-149.483","3.0","TUBUAI, FP","       224","S","        96","S","        15","S","","","","","",""," 122.7"," ,S,1210, ","   1402.9"," ,S","",""
